slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
1,bot_check,,Elizabeth,0,elizabeth,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
3,overinformativeness,pepper_big_green,pepper,5851,green pepper,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
4,overinformativeness,balloon_big_pink,balloon,3646,\npink baloon,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
5,overinformativeness,lock_big_gold,lock,2125,\nlock,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
6,adjective_ordering,woman_old_happy,woman,3025,\nold woman,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
7,adjective_ordering,cup_full_metal,cup,2893,\nmilky tea,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
8,overinformativeness,mirror_big_black,mirror,2913,\nmirror,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
9,overinformativeness,knife_big_blue,knife,1555,\nknife,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
10,overinformativeness,balloon_big_yellow,balloon,2842,\nyellow baloon,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
11,overinformativeness,key_big_silver,key,1254,\nkey,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
12,overinformativeness,socks_big_green,socks,3382,\ngreen socks,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
13,overinformativeness,lipstick_big_pink,lipstick,4740,\npink lipstick ,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
14,adjective_ordering,spoon_metal_dirty,spoon,6482,\ndirty tea spoon,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
15,overinformativeness,toothbrush_big_purple,toothbrush,6556,\npurple toothbrush,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
16,adjective_ordering,woman2_happy_fat,woman2,1979,\nwoman,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
17,overinformativeness,rosary_big_yellow,rosary,3491,\nnecklace,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
18,overinformativeness,skirt_big_green,skirt,2678,\ngreen skirt,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
19,adjective_ordering,nails_red_matte,nail_polish,1944,\nred nails,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
20,adjective_ordering,earring_big_round,earring,7170,\nearring on ear,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
21,overinformativeness,chair_big_yellow,chair,2523,\nyellow chair,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
22,overinformativeness,binoculars_big_red,binoculars,8868,\nred ,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
23,overinformativeness,chair_big_blue,chair,2887,blue chair,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
24,overinformativeness,toothbrush_big_green,toothbrush,3161,\ngreen toothbrush,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
25,overinformativeness,pot_big_green,pot,2239,\ngreen pot,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
26,overinformativeness,pants_big_pink,pants,3634,\npurple trousers,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
27,overinformativeness,clock_big_purple,clock,6635,\npurple alarm clock,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
28,overinformativeness,glasses_big_blue,glasses,2755,\nblue glasses,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
29,overinformativeness,umbrella_big_green,umbrella,3726,\ngreen umbrella,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
30,overinformativeness,knife_big_red,knife,1861,\nred knife,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
31,adjective_ordering,picture_bw_rectangular,picture,8491,\npainting,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
32,overinformativeness,car_big_blue,car,2992,blue toy car,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
33,overinformativeness,ball_big_yellow,ball,3583,\nyellow ball,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
34,overinformativeness,tie_big_blue,tie,2382,\nblue tie,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
35,overinformativeness,apple_big_green,apple,2666,\ngreen apple,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
36,overinformativeness,mirror_big_white,mirror,2212,\nmirror,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
37,overinformativeness,shoe_big_pink,shoe,2119,\nnothing,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
38,overinformativeness,brush_big_red,brush,7577,\nred paint brush,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
39,overinformativeness,umbrella_big_blue,umbrella,2900,\nblue umbrella,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
40,adjective_ordering,hair_straight_blond,hair,5141,\nlong blond hair,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
41,overinformativeness,flower_big_pink,flower,2780,\npink flower,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
42,overinformativeness,dress_big_green,dress,2503,\ngreen dress,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
43,adjective_ordering,table_wood_low,table,1405,\ntable,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
44,overinformativeness,cat_big_white,cat,2128,\nwhite cat,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
45,overinformativeness,button_big_green,button,3693,\ngreen button,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
46,overinformativeness,lock_big_silver,lock,1265,\nlock,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
47,overinformativeness,pants_big_green,pants,3291,\ngreen trousers,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
48,overinformativeness,key_big_gold,key,1518,\nkey,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
49,overinformativeness,flower_big_yellow,flower,2901,\nyellow flower,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
50,overinformativeness,button_big_blue,button,1830,\nblue button,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
51,adjective_ordering,man2_mustached_glassed,man2,4170,\nglasses on a man's face,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
52,overinformativeness,skirt_big_blue,skirt,2952,\nblue skirt,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
53,adjective_ordering,pencil_short_blue,pencil,4348,\nblue pencil,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
54,overinformativeness,glove_big_green,glove,3758,\ngreen glove,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
55,adjective_ordering,shorts_wet_red,shorts,3947,\nred swiming shorts,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
56,overinformativeness,lighter_big_black,lighter,5770,\nblack lighter,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
57,overinformativeness,rosary_big_blue,rosary,3405,\nblue necklace,Chrome,Windows,768,1366,spanish,2,Yes,29,Female,4,,a few times it took a bit longer to see the picture,1,544853
