slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,age,gender,education,comments,problems,fairprice,participant_id
1,bot_check,,Mary,0,Mary,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
3,overinformativeness,binoculars_big_red,binoculars,9695,binoculars,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
4,overinformativeness,mirror_big_white,mirror,6711,hand mirror,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
5,overinformativeness,socks_big_blue,socks,7672,blue socks,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
6,overinformativeness,hat_big_orange,hat,16648,hat,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
7,overinformativeness,cat_big_black,cat,7384,black cat,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
8,overinformativeness,chair_big_blue,chair,7568,blue chair,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
9,overinformativeness,rosary_big_blue,rosary,15759,rosary,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
10,overinformativeness,pot_big_blue,pot,12208,blue pot,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
11,overinformativeness,tshirt_big_orange,tshirt,9007,orange shirt,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
12,overinformativeness,key_big_silver,key,10944,key,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
13,overinformativeness,mirror_big_black,mirror,7237,hand mirror,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
14,overinformativeness,button_big_blue,button,5288,\nblue button,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
15,overinformativeness,glove_big_orange,glove,13915,\norange rubber glove,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
16,overinformativeness,button_big_green,button,7496,green button,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
17,overinformativeness,knife_big_blue,knife,12991,blue paring knife,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
18,overinformativeness,scissors_big_green,scissors,13664,green childrens scissors,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
19,overinformativeness,brush_big_blue,brush,13952,blue paintbrush,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
20,overinformativeness,toothbrush_big_purple,toothbrush,18112,purple plastic toothbrush,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
21,adjective_ordering,man2_mustached_glassed,man2,14744,caucasian man with glasses,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
22,overinformativeness,apple_big_red,apple,7552,red apple,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
23,overinformativeness,pants_big_pink,pants,8271,pink pants,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
24,adjective_ordering,earring_small_triangular,earring,20488,triangle dangle ear ring,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
25,overinformativeness,apple_big_green,apple,9528,green apple,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
26,overinformativeness,clock_big_yellow,clock,16192,yellow alarm clock,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
27,adjective_ordering,box_closed_wood,box,9144,wood crate,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
28,overinformativeness,hat_big_pink,hat,7600,pink hat,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
29,overinformativeness,dress_big_green,dress,8552,green dress,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
30,overinformativeness,skirt_big_blue,skirt,16735,blue pleated skirt,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
31,overinformativeness,glasses_big_red,glasses,7129,red glasses,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
32,overinformativeness,lighter_big_black,lighter,10200,black bic lighter,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
33,overinformativeness,shoe_big_pink,shoe,22383,pink converse high top shoes,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
34,overinformativeness,umbrella_big_green,umbrella,8815,green umbrella,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
35,overinformativeness,socks_big_green,socks,7448,green socks,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
36,overinformativeness,glasses_big_blue,glasses,7952,blue glasses,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
37,overinformativeness,balloon_big_pink,balloon,10264,pink balloon,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
38,overinformativeness,balloon_big_yellow,balloon,8696,yellow balloon,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
39,overinformativeness,tshirt_big_yellow,tshirt,8960,yellow tshirt,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
40,overinformativeness,clock_big_purple,clock,10584,purple alarm clock,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
41,overinformativeness,skirt_big_green,skirt,9640,green pleated skirt,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
42,overinformativeness,lipstick_big_pink,lipstick,12495,pink lipstick,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
43,adjective_ordering,cup_empty_metal,cup,8352,tin cup,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
44,adjective_ordering,hair_curly_blonde,hair,9808,curly blonde hair,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
45,overinformativeness,flower_big_yellow,flower,8520,yellow flower,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
46,adjective_ordering,spoon_metal_clean,spoon,9528,teaspoon,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
47,overinformativeness,ball_big_yellow,ball,8120,yellow ball,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
48,adjective_ordering,table_wood_high,table,9144,wooden table,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
49,overinformativeness,flower_big_pink,flower,7584,pink flower,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
50,overinformativeness,binoculars_big_blue,binoculars,8688,blue binoculars,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
51,overinformativeness,lipstick_big_red,lipstick,7431,red lipstick,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
52,overinformativeness,cat_big_white,cat,7201,white cat,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
53,adjective_ordering,pencil_short_blue,pencil,10231,blue pencil crayon,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
54,overinformativeness,toothbrush_big_green,toothbrush,10488,green plastic toothbrush,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
55,overinformativeness,bag_big_blue,bag,8336,blue backpack,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
56,overinformativeness,pepper_big_red,pepper,7632,red bell pepper,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
57,adjective_ordering,man_old_bearded,man,12456,bearded man,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
