gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
8796-a,1619065746149,1,clickedObj,,horse,filler,none,distractor,3,3,tomato,filler,none,target,2,2,pig,filler,none,distractor,4,4,fish,filler,none,distractor,1,1
8796-a,1619065748811,2,clickedObj,,guitar,filler,none,distractor,3,3,bowl,filler,none,distractor,2,4,elephant,filler,none,target,4,1,banana,filler,none,distractor,1,2
8796-a,1619065751456,3,clickedObj,,dog,filler,none,distractor,1,3,strawberry,filler,none,distractor,3,2,butterfly,filler,none,target,4,1,chick,filler,none,distractor,2,4
8796-a,1619065754202,4,clickedObj,,pig,filler,none,distractor,1,3,fish,filler,none,distractor,3,2,horse,filler,none,target,2,4,tomato,filler,none,distractor,4,1
8796-a,1619065756414,5,clickedObj,,chick,filler,none,distractor,2,3,dog,filler,none,distractor,3,1,butterfly,filler,none,distractor,1,4,strawberry,filler,none,target,4,2
8796-a,1619065758804,6,clickedObj,,frog_striped_green,adjective_ordering,none,distractor,1,3,frog_spotted_red,adjective_ordering,none,distractor,2,2,frog_spotted_green,adjective_ordering,none,target,3,1,frog_striped_red,adjective_ordering,none,distractor,4,4
8796-a,1619065761456,7,clickedObj,,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,2,2,tshirt_small_orange,overinformativeness,color_sufficient,target,1,1,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,4,3,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,3,4
8796-a,1619065764006,8,clickedObj,,toothbrush_big_green,overinformativeness,color_sufficient,distractor,4,3,toothbrush_big_green,overinformativeness,color_sufficient,distractor,1,4,toothbrush_small_green,overinformativeness,color_sufficient,distractor,3,1,toothbrush_big_purple,overinformativeness,color_sufficient,target,2,2
8796-a,1619065767306,9,clickedObj,,door,filler,none,distractor,1,3,pitcher,filler,none,distractor,2,1,carrot,filler,none,distractor,3,2,cow,filler,none,target,4,4
8796-a,1619065770309,10,clickedObj,,door,filler,none,target,3,3,pitcher,filler,none,distractor,2,4,carrot,filler,none,distractor,1,1,cow,filler,none,distractor,4,2
8796-a,1619065772855,11,clickedObj,,chair_big_blue,overinformativeness,size_sufficient,distractor,1,3,chair_small_blue,overinformativeness,size_sufficient,target,2,4,chair_big_yellow,overinformativeness,size_sufficient,distractor,4,2,chair_big_blue,overinformativeness,size_sufficient,distractor,3,1
8796-a,1619065775881,12,clickedObj,,flower_small_pink,overinformativeness,size_sufficient,distractor,1,3,flower_small_yellow,overinformativeness,size_sufficient,distractor,4,4,flower_big_yellow,overinformativeness,size_sufficient,target,2,1,flower_small_yellow,overinformativeness,size_sufficient,distractor,3,2
8796-a,1619065778653,13,clickedObj,,woman_young_happy,adjective_ordering,none,distractor,1,3,woman_young_sad,adjective_ordering,none,target,3,4,woman_old_sad,adjective_ordering,none,distractor,4,1,woman_old_happy,adjective_ordering,none,distractor,2,2
8796-a,1619065781932,14,clickedObj,,guitar,filler,none,distractor,1,3,banana,filler,none,distractor,3,1,elephant,filler,none,distractor,2,4,bowl,filler,none,target,4,2
8796-a,1619065785989,15,clickedObj,,pants_big_green,overinformativeness,color_sufficient,distractor,3,3,pants_big_pink,overinformativeness,color_sufficient,target,1,1,pants_small_green,overinformativeness,color_sufficient,distractor,4,4,pants_big_green,overinformativeness,color_sufficient,distractor,2,2
8796-a,1619065790228,16,clickedObj,,clock_small_yellow,overinformativeness,size_sufficient,distractor,4,3,clock_big_yellow,overinformativeness,size_sufficient,target,1,1,clock_small_yellow,overinformativeness,size_sufficient,distractor,2,2,clock_small_purple,overinformativeness,size_sufficient,distractor,3,4
8796-a,1619065794973,17,clickedObj,,lipstick_big_red,overinformativeness,color_sufficient,distractor,3,3,lipstick_small_red,overinformativeness,color_sufficient,distractor,2,4,lipstick_small_pink,overinformativeness,color_sufficient,target,1,2,lipstick_small_red,overinformativeness,color_sufficient,distractor,4,1
8796-a,1619065797287,18,clickedObj,,lock_big_gold,overinformativeness,color_sufficient,target,3,3,lock_small_silver,overinformativeness,color_sufficient,distractor,4,2,lock_big_silver,overinformativeness,color_sufficient,distractor,2,4,lock_big_silver,overinformativeness,color_sufficient,distractor,1,1
8796-a,1619065799663,19,clickedObj,,box_closed_cardboard,adjective_ordering,none,target,3,3,box_closed_wood,adjective_ordering,none,distractor,2,4,box_open_cardboard,adjective_ordering,none,distractor,1,1,box_open_wood,adjective_ordering,none,distractor,4,2
8796-a,1619065802778,20,clickedObj,,knife_big_red,overinformativeness,size_sufficient,distractor,4,3,knife_big_blue,overinformativeness,size_sufficient,distractor,2,2,knife_big_red,overinformativeness,size_sufficient,distractor,1,4,knife_small_red,overinformativeness,size_sufficient,target,3,1
8796-a,1619065806592,21,clickedObj,,glasses_small_red,overinformativeness,size_sufficient,target,2,3,glasses_big_blue,overinformativeness,size_sufficient,distractor,1,4,glasses_big_red,overinformativeness,size_sufficient,distractor,4,1,glasses_big_red,overinformativeness,size_sufficient,distractor,3,2
8796-a,1619065808994,22,clickedObj,,baloon_small_yellow,overinformativeness,size_sufficient,distractor,4,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,3,1,baloon_small_pink,overinformativeness,size_sufficient,distractor,2,4,balloon_big_yellow,overinformativeness,size_sufficient,target,1,2
8796-a,1619065811420,23,clickedObj,,glove_big_orange,overinformativeness,size_sufficient,distractor,2,3,glove_big_green,overinformativeness,size_sufficient,distractor,3,2,glove_small_orange,overinformativeness,size_sufficient,target,1,4,glove_big_orange,overinformativeness,size_sufficient,distractor,4,1
8796-a,1619065813572,24,clickedObj,,ball_small_yellow,overinformativeness,size_sufficient,target,4,3,ball_big_purple,overinformativeness,size_sufficient,distractor,2,1,ball_big_yellow,overinformativeness,size_sufficient,distractor,1,4,ball_big_yellow,overinformativeness,size_sufficient,distractor,3,2
8796-a,1619065816168,25,clickedObj,,butterfly,filler,none,distractor,1,3,dog,filler,none,target,3,1,strawberry,filler,none,distractor,4,4,chick,filler,none,distractor,2,2
