gameid,time,roundNum,sender,contents
1342-9,1619058075266,1,speaker,"The vegetable"
1342-9,1619058082743,2,speaker,"Animal"
1342-9,1619058094950,3,speaker,"It can fly, pink"
1342-9,1619058104134,4,speaker,"races"
1342-9,1619058110627,5,speaker,"fruit"
1342-9,1619058121701,6,speaker,"the silver one with short legs"
1342-9,1619058131300,7,speaker,"red and spots"
1342-9,1619058139188,8,speaker,"bird"
1342-9,1619058146252,9,speaker,"small"
1342-9,1619058155797,10,speaker,"smile, brown hair"
1342-9,1619058171133,11,speaker,"small"
1342-9,1619058181445,12,speaker,"small, not glass"
1342-9,1619058197387,13,speaker,"big beard, hat"
1342-9,1619058207299,14,speaker,"green guitar"
1342-9,1619058214043,15,speaker,"big"
1342-9,1619058220203,16,speaker,"big"
1342-9,1619058229596,17,speaker,"sad, large"
1342-9,1619058238442,18,speaker,"large"
1342-9,1619058245882,19,speaker,"long grey"
1342-9,1619058252250,20,speaker,"small"
1342-9,1619058257418,21,speaker,"big"
1342-9,1619058262322,22,speaker,"small"
1342-9,1619058267458,23,speaker,"carrot"
1342-9,1619058273194,24,speaker,"small blue"
1342-9,1619058279425,25,speaker,"pink"
1342-9,1619058283976,26,speaker,"cow"
1342-9,1619058288535,27,speaker,"pig"
1342-9,1619058297088,28,speaker,"gross silver"
1342-9,1619058307297,29,speaker,"big pink"
1342-9,1619058312013,30,speaker,"blue"
1342-9,1619058317752,31,speaker,"blue"
1342-9,1619058323055,32,speaker,"small"
1342-9,1619058328345,33,speaker,"big"
1342-9,1619058333808,34,speaker,"green"
1342-9,1619058339144,35,speaker,"blue"
1342-9,1619058343991,36,speaker,"door"
1342-9,1619058348616,37,speaker,"white"
1342-9,1619058352736,38,speaker,"dog"
1342-9,1619058357384,39,speaker,"big"
1342-9,1619058362872,40,speaker,"pink"
1342-9,1619058367575,41,speaker,"small"
1342-9,1619058378030,42,speaker,"closed cardboard"
1342-9,1619058387255,43,speaker,"small triangle"
1342-9,1619058396367,44,speaker,"wavy blonde"
1342-9,1619058401887,45,speaker,"small"
1342-9,1619058407094,46,speaker,"blue"
1342-9,1619058411878,47,speaker,"red"
1342-9,1619058416770,48,speaker,"bowl"
1342-9,1619058422166,49,speaker,"small"
1342-9,1619058426776,50,speaker,"pink"
1342-9,1619058432661,51,speaker,"nemo :P"
1342-9,1619058439125,52,speaker,"orange"
1342-9,1619058443285,53,speaker,"small"
1342-9,1619058454310,54,speaker,"beard not tilted"
1342-9,1619058472109,55,speaker,"red with less shine"
1342-9,1619058477868,56,speaker,"banana"
1342-9,1619058482685,57,speaker,"purple"
1342-9,1619058487716,58,speaker,"silver"
1342-9,1619058496477,59,speaker,"red wrinkled"
1342-9,1619058502317,60,speaker,"blue"
