gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
0837-8,1620234111265,1,clickedObj,,tomato,filler,none,target,1,3,fish,filler,none,distractor,4,2,horse,filler,none,distractor,2,4,pig,filler,none,distractor,3,1
0837-8,1620234139885,2,clickedObj,,elephant,filler,none,target,4,3,banana,filler,none,distractor,1,1,guitar,filler,none,distractor,2,4,bowl,filler,none,distractor,3,2
0837-8,1620234156184,3,clickedObj,,butterfly,filler,none,target,2,4,strawberry,filler,none,distractor,4,3,dog,filler,none,distractor,1,1,chick,filler,none,distractor,3,2
0837-8,1620234175465,4,clickedObj,,horse,filler,none,target,3,4,fish,filler,none,distractor,1,1,pig,filler,none,distractor,4,2,tomato,filler,none,distractor,2,3
0837-8,1620234216375,5,clickedObj,,strawberry,filler,none,target,1,1,butterfly,filler,none,distractor,2,2,chick,filler,none,distractor,4,3,dog,filler,none,distractor,3,4
0837-8,1620234233265,6,clickedObj,,dress_small_blue,overinformativeness,size_sufficient,target,4,2,dress_big_blue,overinformativeness,size_sufficient,distractor,1,3,dress_big_blue,overinformativeness,size_sufficient,distractor,2,4,dress_big_green,overinformativeness,size_sufficient,distractor,3,1
0837-8,1620234254264,7,clickedObj,,apple_big_red,overinformativeness,size_sufficient,target,1,1,apple_small_red,overinformativeness,size_sufficient,distractor,3,4,apple_small_green,overinformativeness,size_sufficient,distractor,2,2,apple_small_red,overinformativeness,size_sufficient,distractor,4,3
0837-8,1620234268125,8,clickedObj,,box_open_wood,adjective_ordering,none,distractor,4,4,box_closed_wood,adjective_ordering,none,distractor,2,2,box_closed_cardboard,adjective_ordering,none,distractor,3,3,box_open_cardboard,adjective_ordering,none,target,1,1
0837-8,1620234283576,9,clickedObj,,pencil_short_black,adjective_ordering,none,target,1,4,pencil_long_blue,adjective_ordering,none,distractor,3,2,pencil_long_black,adjective_ordering,none,distractor,2,1,pencil_short_blue,adjective_ordering,none,distractor,4,3
0837-8,1620234299805,10,clickedObj,,ball_big_yellow,overinformativeness,size_sufficient,target,3,3,ball_small_purple,overinformativeness,size_sufficient,distractor,2,1,ball_small_yellow,overinformativeness,size_sufficient,distractor,4,2,ball_small_yellow,overinformativeness,size_sufficient,distractor,1,4
0837-8,1620234326345,11,clickedObj,,spoon_wooden_clean,adjective_ordering,none,target,4,2,spoon_metal_clean,adjective_ordering,none,distractor,3,3,spoon_wooden_dirty,adjective_ordering,none,distractor,2,1,spoon_metal_dirty,adjective_ordering,none,distractor,1,4
0837-8,1620234356235,12,clickedObj,,baloon_small_pink,overinformativeness,size_sufficient,target,3,3,balloon_big_pink,overinformativeness,size_sufficient,distractor,2,4,balloon_big_pink,overinformativeness,size_sufficient,distractor,1,1,balloon_big_yellow,overinformativeness,size_sufficient,distractor,4,2
0837-8,1620234379405,13,clickedObj,,man_young_bearded,adjective_ordering,none,target,1,2,man_young_cleanshaven,adjective_ordering,none,distractor,2,1,man_old_bearded,adjective_ordering,none,distractor,4,4,man_old_cleanshaven,adjective_ordering,none,distractor,3,3
0837-8,1620234391153,14,clickedObj,,tie_small_red,overinformativeness,color_sufficient,target,2,1,tie_small_blue,overinformativeness,color_sufficient,distractor,4,4,tie_small_blue,overinformativeness,color_sufficient,distractor,1,2,tie_big_blue,overinformativeness,color_sufficient,distractor,3,3
0837-8,1620234402832,15,clickedObj,,cow,filler,none,target,4,2,door,filler,none,distractor,1,4,carrot,filler,none,distractor,3,1,pitcher,filler,none,distractor,2,3
0837-8,1620234416849,16,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,1,1,button_small_blue,overinformativeness,size_sufficient,distractor,3,2,button_small_blue,overinformativeness,size_sufficient,distractor,2,3,button_small_green,overinformativeness,size_sufficient,distractor,4,4
0837-8,1620234441988,17,clickedObj,,earring_small_triangular,adjective_ordering,none,target,4,3,earring_big_triangular,adjective_ordering,none,distractor,1,2,earring_big_round,adjective_ordering,none,distractor,2,4,earring_small_round,adjective_ordering,none,distractor,3,1
0837-8,1620234461454,18,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,2,1,shoe_big_pink,overinformativeness,color_sufficient,distractor,3,3,shoe_small_pink,overinformativeness,color_sufficient,distractor,1,2,shoe_small_pink,overinformativeness,color_sufficient,distractor,4,4
0837-8,1620234474196,19,clickedObj,,tshirt_small_orange,overinformativeness,color_sufficient,target,3,2,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,1,3,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,4,4,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,2,1
0837-8,1620234482773,20,clickedObj,,umbrella_small_green,overinformativeness,color_sufficient,target,4,2,umbrella_big_blue,overinformativeness,color_sufficient,distractor,3,4,umbrella_small_blue,overinformativeness,color_sufficient,distractor,2,1,umbrella_small_blue,overinformativeness,color_sufficient,distractor,1,3
0837-8,1620234500005,21,clickedObj,,glasses_small_blue,overinformativeness,size_sufficient,target,1,1,glasses_big_blue,overinformativeness,size_sufficient,distractor,3,3,glasses_big_red,overinformativeness,size_sufficient,distractor,2,2,glasses_big_blue,overinformativeness,size_sufficient,distractor,4,4
0837-8,1620234510324,22,clickedObj,,carrot,filler,none,target,3,2,door,filler,none,distractor,2,3,pitcher,filler,none,distractor,1,4,cow,filler,none,distractor,4,1
0837-8,1620234521244,23,clickedObj,,pepper_small_red,overinformativeness,color_sufficient,target,2,4,pepper_big_green,overinformativeness,color_sufficient,distractor,4,3,pepper_small_green,overinformativeness,color_sufficient,distractor,1,2,pepper_small_green,overinformativeness,color_sufficient,distractor,3,1
0837-8,1620234542197,24,clickedObj,,fish,filler,none,distractor,2,2,horse,filler,none,distractor,1,1,tomato,filler,none,distractor,3,3,pig,filler,none,target,4,4
0837-8,1620234554185,25,clickedObj,,fish,filler,none,target,2,2,tomato,filler,none,distractor,1,1,horse,filler,none,distractor,3,4,pig,filler,none,distractor,4,3
