gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
9706-e,1620236644669,1,clickedObj,,tomato,filler,none,target,3,2,pig,filler,none,distractor,1,1,horse,filler,none,distractor,2,3,fish,filler,none,distractor,4,4
9706-e,1620236663289,2,clickedObj,,elephant,filler,none,target,1,1,guitar,filler,none,distractor,3,2,banana,filler,none,distractor,2,4,bowl,filler,none,distractor,4,3
9706-e,1620236671052,3,clickedObj,,butterfly,filler,none,target,2,1,strawberry,filler,none,distractor,4,4,dog,filler,none,distractor,3,3,chick,filler,none,distractor,1,2
9706-e,1620236680568,4,clickedObj,,horse,filler,none,target,2,3,fish,filler,none,distractor,4,2,pig,filler,none,distractor,3,4,tomato,filler,none,distractor,1,1
9706-e,1620236688210,5,clickedObj,,strawberry,filler,none,target,2,4,dog,filler,none,distractor,4,2,butterfly,filler,none,distractor,1,3,chick,filler,none,distractor,3,1
9706-e,1620236696373,6,clickedObj,,carrot,filler,none,target,4,4,door,filler,none,distractor,2,1,pitcher,filler,none,distractor,3,2,cow,filler,none,distractor,1,3
9706-e,1620236714135,7,clickedObj,,picture_bw_square,adjective_ordering,none,target,1,3,picture_colored_square,adjective_ordering,none,distractor,3,1,picture_bw_rectangular,adjective_ordering,none,distractor,2,2,picture_colored_rectangular,adjective_ordering,none,distractor,4,4
9706-e,1620236721862,8,clickedObj,,lighter_small_white,overinformativeness,color_sufficient,target,3,3,lighter_small_black,overinformativeness,color_sufficient,distractor,4,2,lighter_big_black,overinformativeness,color_sufficient,distractor,1,1,lighter_small_black,overinformativeness,color_sufficient,distractor,2,4
9706-e,1620236732569,9,clickedObj,,chair_big_yellow,overinformativeness,size_sufficient,target,1,4,chair_small_yellow,overinformativeness,size_sufficient,distractor,4,2,chair_small_yellow,overinformativeness,size_sufficient,distractor,3,1,chair_small_blue,overinformativeness,size_sufficient,distractor,2,3
9706-e,1620236743815,10,clickedObj,,box_open_cardboard,adjective_ordering,none,target,4,1,box_closed_cardboard,adjective_ordering,none,distractor,2,4,box_closed_wood,adjective_ordering,none,distractor,1,2,box_open_wood,adjective_ordering,none,distractor,3,3
9706-e,1620236750903,11,clickedObj,,umbrella_big_green,overinformativeness,color_sufficient,target,4,2,umbrella_small_blue,overinformativeness,color_sufficient,distractor,1,4,umbrella_big_blue,overinformativeness,color_sufficient,distractor,2,3,umbrella_big_blue,overinformativeness,color_sufficient,distractor,3,1
9706-e,1620236762839,12,clickedObj,,man_young_cleanshaven,adjective_ordering,none,target,4,4,man_young_bearded,adjective_ordering,none,distractor,2,3,man_old_bearded,adjective_ordering,none,distractor,3,2,man_old_cleanshaven,adjective_ordering,none,distractor,1,1
9706-e,1620236769374,13,clickedObj,,scissors_small_green,overinformativeness,color_sufficient,target,4,4,scissors_small_blue,overinformativeness,color_sufficient,distractor,2,3,scissors_big_blue,overinformativeness,color_sufficient,distractor,3,2,scissors_small_blue,overinformativeness,color_sufficient,distractor,1,1
9706-e,1620236775577,14,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,4,2,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,1,shoe_small_pink,overinformativeness,color_sufficient,distractor,2,4,shoe_small_pink,overinformativeness,color_sufficient,distractor,3,3
9706-e,1620236801857,15,clickedObj,,shorts_wet_red,adjective_ordering,none,distractor,4,1,shorts_wet_green,adjective_ordering,none,distractor,2,4,shorts_dry_green,adjective_ordering,none,distractor,3,3,shorts_dry_red,adjective_ordering,none,target,1,2
9706-e,1620236815092,16,clickedObj,,lipstick_big_red,overinformativeness,color_sufficient,target,2,1,lipstick_big_pink,overinformativeness,color_sufficient,distractor,1,4,lipstick_small_pink,overinformativeness,color_sufficient,distractor,4,2,lipstick_big_pink,overinformativeness,color_sufficient,distractor,3,3
9706-e,1620236832126,17,clickedObj,,dog,filler,none,target,4,3,chick,filler,none,distractor,3,4,strawberry,filler,none,distractor,2,1,butterfly,filler,none,distractor,1,2
9706-e,1620236840077,18,clickedObj,,pot_big_blue,overinformativeness,color_sufficient,target,1,3,pot_big_green,overinformativeness,color_sufficient,distractor,4,4,pot_small_green,overinformativeness,color_sufficient,distractor,2,2,pot_big_green,overinformativeness,color_sufficient,distractor,3,1
9706-e,1620236846528,19,clickedObj,,fish,filler,none,target,4,2,pig,filler,none,distractor,1,1,tomato,filler,none,distractor,3,4,horse,filler,none,distractor,2,3
9706-e,1620236852538,20,clickedObj,,pepper_small_green,overinformativeness,color_sufficient,target,3,1,pepper_big_red,overinformativeness,color_sufficient,distractor,4,3,pepper_small_red,overinformativeness,color_sufficient,distractor,1,2,pepper_small_red,overinformativeness,color_sufficient,distractor,2,4
9706-e,1620236861240,21,clickedObj,,bottle_glass_small,adjective_ordering,none,distractor,1,4,bottle_glass_big,adjective_ordering,none,distractor,2,3,bottle_plastic_big,adjective_ordering,none,distractor,4,2,bottle_plastic_small,adjective_ordering,none,target,3,1
9706-e,1620236861965,21,clickedObj,,bottle_plastic_small,adjective_ordering,none,target,3,1,bottle_glass_small,adjective_ordering,none,distractor,1,4,bottle_glass_big,adjective_ordering,none,distractor,2,3,bottle_plastic_big,adjective_ordering,none,distractor,4,2
9706-e,1620236868965,23,clickedObj,,pants_big_green,overinformativeness,color_sufficient,target,2,1,pants_small_pink,overinformativeness,color_sufficient,distractor,3,2,pants_big_pink,overinformativeness,color_sufficient,distractor,4,4,pants_big_pink,overinformativeness,color_sufficient,distractor,1,3
9706-e,1620236876509,24,clickedObj,,bowl,filler,none,target,1,1,elephant,filler,none,distractor,2,3,banana,filler,none,distractor,4,4,guitar,filler,none,distractor,3,2
9706-e,1620236882846,25,clickedObj,,ball_big_yellow,overinformativeness,size_sufficient,target,3,4,ball_small_yellow,overinformativeness,size_sufficient,distractor,1,1,ball_small_yellow,overinformativeness,size_sufficient,distractor,4,2,ball_small_purple,overinformativeness,size_sufficient,distractor,2,3
9706-e,1620236898534,26,clickedObj,,table_wood_low,adjective_ordering,none,target,2,3,table_wood_high,adjective_ordering,none,distractor,4,1,table_metal_high,adjective_ordering,none,distractor,3,4,table_metal_low,adjective_ordering,none,distractor,1,2
9706-e,1620236906278,27,clickedObj,,chick,filler,none,target,4,3,butterfly,filler,none,distractor,2,1,strawberry,filler,none,distractor,1,2,dog,filler,none,distractor,3,4
9706-e,1620236918298,28,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,target,2,2,clock_small_purple,overinformativeness,size_sufficient,distractor,4,3,clock_small_yellow,overinformativeness,size_sufficient,distractor,1,4,clock_small_purple,overinformativeness,size_sufficient,distractor,3,1
