gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
3157-3,1620238794594,1,clickedObj,,tomato,filler,none,target,1,1,horse,filler,none,distractor,2,2,fish,filler,none,distractor,3,3,pig,filler,none,distractor,4,4
3157-3,1620238804468,2,clickedObj,,elephant,filler,none,target,2,1,banana,filler,none,distractor,1,4,guitar,filler,none,distractor,3,3,bowl,filler,none,distractor,4,2
3157-3,1620238813824,3,clickedObj,,butterfly,filler,none,target,1,1,dog,filler,none,distractor,2,2,strawberry,filler,none,distractor,4,4,chick,filler,none,distractor,3,3
3157-3,1620238820694,4,clickedObj,,horse,filler,none,target,2,3,fish,filler,none,distractor,3,2,pig,filler,none,distractor,1,4,tomato,filler,none,distractor,4,1
3157-3,1620238826320,5,clickedObj,,strawberry,filler,none,target,3,3,butterfly,filler,none,distractor,2,1,chick,filler,none,distractor,4,2,dog,filler,none,distractor,1,4
3157-3,1620238836098,6,clickedObj,,car_small_green,overinformativeness,size_sufficient,target,4,2,car_big_blue,overinformativeness,size_sufficient,distractor,1,4,car_big_green,overinformativeness,size_sufficient,distractor,3,1,car_big_green,overinformativeness,size_sufficient,distractor,2,3
3157-3,1620238844704,7,clickedObj,,woman_old_happy,adjective_ordering,none,target,3,1,woman_young_sad,adjective_ordering,none,distractor,1,4,woman_old_sad,adjective_ordering,none,distractor,2,2,woman_young_happy,adjective_ordering,none,distractor,4,3
3157-3,1620238853409,8,clickedObj,,dog,filler,none,target,2,1,chick,filler,none,distractor,3,2,strawberry,filler,none,distractor,4,3,butterfly,filler,none,distractor,1,4
3157-3,1620238859643,9,clickedObj,,banana,filler,none,target,4,1,elephant,filler,none,distractor,1,3,guitar,filler,none,distractor,3,4,bowl,filler,none,distractor,2,2
3157-3,1620238867924,10,clickedObj,,bowl,filler,none,target,2,3,guitar,filler,none,distractor,1,4,banana,filler,none,distractor,4,1,elephant,filler,none,distractor,3,2
3157-3,1620238880169,11,clickedObj,,woman2_sad_fat,adjective_ordering,none,target,4,4,woman2_sad_skinny,adjective_ordering,none,distractor,1,2,woman2_happy_fat,adjective_ordering,none,distractor,3,1,woman2_happy_skinny,adjective_ordering,none,distractor,2,3
3157-3,1620238894721,12,clickedObj,,hair_straight_brown,adjective_ordering,none,target,2,4,hair_straight_blond,adjective_ordering,none,distractor,4,2,hair_curly_blonde,adjective_ordering,none,distractor,1,1,hair_curly_brown,adjective_ordering,none,distractor,3,3
3157-3,1620238907210,13,clickedObj,,bag_small_blue,overinformativeness,size_sufficient,target,3,2,bag_big_blue,overinformativeness,size_sufficient,distractor,1,3,bag_big_blue,overinformativeness,size_sufficient,distractor,2,1,bag_big_red,overinformativeness,size_sufficient,distractor,4,4
3157-3,1620238914610,14,clickedObj,,brush_big_red,overinformativeness,size_sufficient,target,2,3,brush_small_blue,overinformativeness,size_sufficient,distractor,3,1,brush_small_red,overinformativeness,size_sufficient,distractor,4,2,brush_small_red,overinformativeness,size_sufficient,distractor,1,4
3157-3,1620238945158,15,clickedObj,,man2_bearded_glassed,adjective_ordering,none,target,3,3,man2_mustached_hatted,adjective_ordering,none,distractor,4,2,man2_bearded_hatted,adjective_ordering,none,distractor,1,1,man2_mustached_glassed,adjective_ordering,none,distractor,2,4
3157-3,1620238962034,16,clickedObj,,bottle_glass_big,adjective_ordering,none,target,1,4,bottle_plastic_small,adjective_ordering,none,distractor,3,2,bottle_plastic_big,adjective_ordering,none,distractor,4,1,bottle_glass_small,adjective_ordering,none,distractor,2,3
3157-3,1620238969884,17,clickedObj,,pot_small_blue,overinformativeness,color_sufficient,target,1,1,pot_big_green,overinformativeness,color_sufficient,distractor,4,4,pot_small_green,overinformativeness,color_sufficient,distractor,3,3,pot_small_green,overinformativeness,color_sufficient,distractor,2,2
