gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
4382-d,1620228565199,1,clickedObj,,tomato,filler,none,target,2,1,fish,filler,none,distractor,3,3,pig,filler,none,distractor,1,2,horse,filler,none,distractor,4,4
4382-d,1620228574513,2,clickedObj,,elephant,filler,none,target,3,4,bowl,filler,none,distractor,1,2,banana,filler,none,distractor,2,3,guitar,filler,none,distractor,4,1
4382-d,1620228590857,3,clickedObj,,butterfly,filler,none,target,4,3,dog,filler,none,distractor,3,4,chick,filler,none,distractor,2,1,strawberry,filler,none,distractor,1,2
4382-d,1620228599233,4,clickedObj,,horse,filler,none,target,3,2,fish,filler,none,distractor,2,3,pig,filler,none,distractor,4,4,tomato,filler,none,distractor,1,1
4382-d,1620228608086,5,clickedObj,,strawberry,filler,none,target,1,4,dog,filler,none,distractor,4,1,chick,filler,none,distractor,3,3,butterfly,filler,none,distractor,2,2
4382-d,1620228616373,6,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,3,4,brush_small_blue,overinformativeness,size_sufficient,distractor,4,1,brush_small_red,overinformativeness,size_sufficient,distractor,1,3,brush_small_blue,overinformativeness,size_sufficient,distractor,2,2
4382-d,1620228623526,7,clickedObj,,lock_big_silver,overinformativeness,color_sufficient,target,1,3,lock_big_gold,overinformativeness,color_sufficient,distractor,2,2,lock_small_gold,overinformativeness,color_sufficient,distractor,3,4,lock_big_gold,overinformativeness,color_sufficient,distractor,4,1
4382-d,1620228643861,8,clickedObj,,bottle_plastic_big,adjective_ordering,none,target,3,4,bottle_glass_small,adjective_ordering,none,distractor,4,2,bottle_plastic_small,adjective_ordering,none,distractor,1,3,bottle_glass_big,adjective_ordering,none,distractor,2,1
4382-d,1620228652929,9,clickedObj,,pepper_big_red,overinformativeness,color_sufficient,target,3,1,pepper_big_green,overinformativeness,color_sufficient,distractor,1,3,pepper_small_green,overinformativeness,color_sufficient,distractor,4,2,pepper_big_green,overinformativeness,color_sufficient,distractor,2,4
4382-d,1620228659025,10,clickedObj,,button_big_green,overinformativeness,size_sufficient,target,2,2,button_small_blue,overinformativeness,size_sufficient,distractor,4,3,button_small_green,overinformativeness,size_sufficient,distractor,1,4,button_small_green,overinformativeness,size_sufficient,distractor,3,1
4382-d,1620228666313,11,clickedObj,,scissors_big_blue,overinformativeness,color_sufficient,target,1,2,scissors_big_green,overinformativeness,color_sufficient,distractor,2,4,scissors_big_green,overinformativeness,color_sufficient,distractor,3,3,scissors_small_green,overinformativeness,color_sufficient,distractor,4,1
4382-d,1620228682530,12,clickedObj,,man_old_bearded,adjective_ordering,none,target,2,3,man_old_cleanshaven,adjective_ordering,none,distractor,4,1,man_young_bearded,adjective_ordering,none,distractor,1,4,man_young_cleanshaven,adjective_ordering,none,distractor,3,2
4382-d,1620228687581,13,clickedObj,,skirt_small_green,overinformativeness,color_sufficient,target,1,2,skirt_small_blue,overinformativeness,color_sufficient,distractor,2,1,skirt_big_blue,overinformativeness,color_sufficient,distractor,4,4,skirt_small_blue,overinformativeness,color_sufficient,distractor,3,3
4382-d,1620228698362,14,clickedObj,,picture_bw_rectangular,adjective_ordering,none,target,1,3,picture_colored_rectangular,adjective_ordering,none,distractor,4,1,picture_colored_square,adjective_ordering,none,distractor,2,2,picture_bw_square,adjective_ordering,none,distractor,3,4
4382-d,1620228713002,15,clickedObj,,spoon_wooden_dirty,adjective_ordering,none,target,4,3,spoon_metal_dirty,adjective_ordering,none,distractor,3,2,spoon_metal_clean,adjective_ordering,none,distractor,2,1,spoon_wooden_clean,adjective_ordering,none,distractor,1,4
4382-d,1620228719310,16,clickedObj,,bowl,filler,none,target,3,4,guitar,filler,none,distractor,1,1,elephant,filler,none,distractor,2,2,banana,filler,none,distractor,4,3
4382-d,1620228726190,17,clickedObj,,pencil_short_blue,adjective_ordering,none,target,3,2,pencil_long_black,adjective_ordering,none,distractor,1,1,pencil_long_blue,adjective_ordering,none,distractor,2,3,pencil_short_black,adjective_ordering,none,distractor,4,4
4382-d,1620228733246,18,clickedObj,,shorts_dry_green,adjective_ordering,none,target,3,3,shorts_dry_red,adjective_ordering,none,distractor,1,1,shorts_wet_green,adjective_ordering,none,distractor,2,4,shorts_wet_red,adjective_ordering,none,distractor,4,2
