gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
6362-d,1620228718277,1,clickedObj,,tomato,filler,none,target,3,4,horse,filler,none,distractor,1,3,fish,filler,none,distractor,4,2,pig,filler,none,distractor,2,1
6362-d,1620228728876,2,clickedObj,,elephant,filler,none,target,3,3,guitar,filler,none,distractor,1,4,bowl,filler,none,distractor,4,2,banana,filler,none,distractor,2,1
6362-d,1620228735363,3,clickedObj,,butterfly,filler,none,target,2,2,strawberry,filler,none,distractor,3,3,chick,filler,none,distractor,1,4,dog,filler,none,distractor,4,1
6362-d,1620228740566,4,clickedObj,,horse,filler,none,target,2,3,pig,filler,none,distractor,3,1,fish,filler,none,distractor,1,2,tomato,filler,none,distractor,4,4
6362-d,1620228748951,5,clickedObj,,strawberry,filler,none,target,4,2,chick,filler,none,distractor,3,3,dog,filler,none,distractor,1,1,butterfly,filler,none,distractor,2,4
6362-d,1620228761717,6,clickedObj,,cat_small_black,overinformativeness,size_sufficient,target,4,3,cat_big_black,overinformativeness,size_sufficient,distractor,3,2,cat_big_black,overinformativeness,size_sufficient,distractor,2,4,cat_big_white,overinformativeness,size_sufficient,distractor,1,1
6362-d,1620228770434,7,clickedObj,,chair_small_blue,overinformativeness,size_sufficient,target,3,4,chair_big_blue,overinformativeness,size_sufficient,distractor,4,3,chair_big_yellow,overinformativeness,size_sufficient,distractor,2,2,chair_big_blue,overinformativeness,size_sufficient,distractor,1,1
6362-d,1620228779294,8,clickedObj,,lock_small_silver,overinformativeness,color_sufficient,target,1,3,lock_small_gold,overinformativeness,color_sufficient,distractor,4,1,lock_big_gold,overinformativeness,color_sufficient,distractor,2,2,lock_small_gold,overinformativeness,color_sufficient,distractor,3,4
6362-d,1620228793833,9,clickedObj,,picture_colored_square,adjective_ordering,none,target,2,1,picture_bw_square,adjective_ordering,none,distractor,4,2,picture_bw_rectangular,adjective_ordering,none,distractor,1,3,picture_colored_rectangular,adjective_ordering,none,distractor,3,4
6362-d,1620228802445,10,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,4,3,button_small_green,overinformativeness,size_sufficient,distractor,2,4,button_small_blue,overinformativeness,size_sufficient,distractor,1,1,button_small_blue,overinformativeness,size_sufficient,distractor,3,2
6362-d,1620228825653,11,clickedObj,,balloon_big_pink,overinformativeness,size_sufficient,target,1,4,baloon_small_yellow,overinformativeness,size_sufficient,distractor,4,1,baloon_small_pink,overinformativeness,size_sufficient,distractor,3,2,baloon_small_pink,overinformativeness,size_sufficient,distractor,2,3
6362-d,1620228837485,12,clickedObj,,knife_small_blue,overinformativeness,size_sufficient,target,3,2,knife_big_red,overinformativeness,size_sufficient,distractor,4,1,knife_big_blue,overinformativeness,size_sufficient,distractor,2,4,knife_big_blue,overinformativeness,size_sufficient,distractor,1,3
6362-d,1620228851359,13,clickedObj,,woman_old_sad,adjective_ordering,none,target,2,3,woman_old_happy,adjective_ordering,none,distractor,4,4,woman_young_happy,adjective_ordering,none,distractor,3,2,woman_young_sad,adjective_ordering,none,distractor,1,1
6362-d,1620228864778,14,clickedObj,,hair_curly_brown,adjective_ordering,none,target,3,4,hair_curly_blonde,adjective_ordering,none,distractor,1,1,hair_straight_brown,adjective_ordering,none,distractor,4,2,hair_straight_blond,adjective_ordering,none,distractor,2,3
6362-d,1620228875563,15,clickedObj,,skirt_big_blue,overinformativeness,color_sufficient,target,4,2,skirt_big_green,overinformativeness,color_sufficient,distractor,2,1,skirt_small_green,overinformativeness,color_sufficient,distractor,1,4,skirt_big_green,overinformativeness,color_sufficient,distractor,3,3
6362-d,1620228888505,16,clickedObj,,glove_small_orange,overinformativeness,size_sufficient,target,2,3,glove_big_green,overinformativeness,size_sufficient,distractor,3,1,glove_big_orange,overinformativeness,size_sufficient,distractor,1,4,glove_big_orange,overinformativeness,size_sufficient,distractor,4,2
6362-d,1620228897129,17,clickedObj,,lighter_small_black,overinformativeness,color_sufficient,target,3,2,lighter_small_white,overinformativeness,color_sufficient,distractor,2,3,lighter_small_white,overinformativeness,color_sufficient,distractor,4,1,lighter_big_white,overinformativeness,color_sufficient,distractor,1,4
6362-d,1620228911715,18,clickedObj,,man_old_cleanshaven,adjective_ordering,none,target,1,4,man_young_bearded,adjective_ordering,none,distractor,3,1,man_young_cleanshaven,adjective_ordering,none,distractor,2,3,man_old_bearded,adjective_ordering,none,distractor,4,2
6362-d,1620228922020,19,clickedObj,,shoe_big_pink,overinformativeness,color_sufficient,target,4,3,shoe_big_yellow,overinformativeness,color_sufficient,distractor,2,1,shoe_big_yellow,overinformativeness,color_sufficient,distractor,3,2,show_small_yellow,overinformativeness,color_sufficient,distractor,1,4
6362-d,1620228928582,20,clickedObj,,pot_small_green,overinformativeness,color_sufficient,target,1,2,pot_big_blue,overinformativeness,color_sufficient,distractor,2,3,pot_small_blue,overinformativeness,color_sufficient,distractor,4,1,pot_small_blue,overinformativeness,color_sufficient,distractor,3,4
6362-d,1620228938861,21,clickedObj,,frog_spotted_green,adjective_ordering,none,target,2,2,frog_striped_red,adjective_ordering,none,distractor,4,3,frog_striped_green,adjective_ordering,none,distractor,1,4,frog_spotted_red,adjective_ordering,none,distractor,3,1
6362-d,1620228950187,22,clickedObj,,chick,filler,none,target,4,3,butterfly,filler,none,distractor,3,4,dog,filler,none,distractor,2,1,strawberry,filler,none,distractor,1,2
6362-d,1620228956090,23,clickedObj,,pig,filler,none,target,3,4,fish,filler,none,distractor,1,3,horse,filler,none,distractor,4,2,tomato,filler,none,distractor,2,1
6362-d,1620228963976,24,clickedObj,,pencil_short_blue,adjective_ordering,none,target,4,2,pencil_short_black,adjective_ordering,none,distractor,2,4,pencil_long_black,adjective_ordering,none,distractor,1,3,pencil_long_blue,adjective_ordering,none,distractor,3,1
6362-d,1620228970777,25,clickedObj,,fish,filler,none,target,2,2,horse,filler,none,distractor,4,3,pig,filler,none,distractor,3,1,tomato,filler,none,distractor,1,4
6362-d,1620228985142,26,clickedObj,,bottle_glass_small,adjective_ordering,none,target,3,1,bottle_plastic_big,adjective_ordering,none,distractor,1,3,bottle_plastic_small,adjective_ordering,none,distractor,4,2,bottle_glass_big,adjective_ordering,none,distractor,2,4
6362-d,1620228992087,27,clickedObj,,tshirt_small_orange,overinformativeness,color_sufficient,target,3,4,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,1,1,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,2,2,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,4,3
