gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
3187-1,1620229009187,1,clickedObj,,tomato,filler,none,target,3,1,pig,filler,none,distractor,4,3,horse,filler,none,distractor,2,2,fish,filler,none,distractor,1,4
3187-1,1620229021577,2,clickedObj,,elephant,filler,none,target,2,1,bowl,filler,none,distractor,4,3,banana,filler,none,distractor,1,4,guitar,filler,none,distractor,3,2
3187-1,1620229044300,3,clickedObj,,butterfly,filler,none,target,1,1,strawberry,filler,none,distractor,2,2,chick,filler,none,distractor,4,3,dog,filler,none,distractor,3,4
3187-1,1620229056838,4,clickedObj,,horse,filler,none,target,3,2,tomato,filler,none,distractor,1,4,fish,filler,none,distractor,4,1,pig,filler,none,distractor,2,3
3187-1,1620229064112,5,clickedObj,,strawberry,filler,none,target,1,4,chick,filler,none,distractor,2,1,butterfly,filler,none,distractor,4,3,dog,filler,none,distractor,3,2
3187-1,1620229076615,6,clickedObj,,earring_small_triangular,adjective_ordering,none,target,1,1,earring_big_round,adjective_ordering,none,distractor,2,2,earring_small_round,adjective_ordering,none,distractor,4,3,earring_big_triangular,adjective_ordering,none,distractor,3,4
3187-1,1620229098370,7,clickedObj,,woman2_sad_fat,adjective_ordering,none,target,2,2,woman2_happy_fat,adjective_ordering,none,distractor,4,3,woman2_happy_skinny,adjective_ordering,none,distractor,3,1,woman2_sad_skinny,adjective_ordering,none,distractor,1,4
3187-1,1620229119504,8,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,target,4,1,clock_small_purple,overinformativeness,size_sufficient,distractor,2,2,clock_small_purple,overinformativeness,size_sufficient,distractor,3,3,clock_small_yellow,overinformativeness,size_sufficient,distractor,1,4
3187-1,1620229128197,9,clickedObj,,woman_old_happy,adjective_ordering,none,target,3,4,woman_young_happy,adjective_ordering,none,distractor,4,2,woman_young_sad,adjective_ordering,none,distractor,2,3,woman_old_sad,adjective_ordering,none,distractor,1,1
3187-1,1620229138027,10,clickedObj,,bottle_glass_big,adjective_ordering,none,target,1,3,bottle_plastic_big,adjective_ordering,none,distractor,3,1,bottle_glass_small,adjective_ordering,none,distractor,2,2,bottle_plastic_small,adjective_ordering,none,distractor,4,4
3187-1,1620229147964,11,clickedObj,,man_old_bearded,adjective_ordering,none,target,1,3,man_young_bearded,adjective_ordering,none,distractor,3,1,man_old_cleanshaven,adjective_ordering,none,distractor,4,2,man_young_cleanshaven,adjective_ordering,none,distractor,2,4
3187-1,1620229159761,12,clickedObj,,box_closed_wood,adjective_ordering,none,target,1,4,box_open_cardboard,adjective_ordering,none,distractor,4,2,box_closed_cardboard,adjective_ordering,none,distractor,2,3,box_open_wood,adjective_ordering,none,distractor,3,1
3187-1,1620229167488,13,clickedObj,,glove_big_orange,overinformativeness,size_sufficient,target,1,2,glove_small_green,overinformativeness,size_sufficient,distractor,4,3,glove_small_orange,overinformativeness,size_sufficient,distractor,3,1,glove_small_orange,overinformativeness,size_sufficient,distractor,2,4
