gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
2429-5,1620229131009,1,clickedObj,,tomato,filler,none,target,1,2,fish,filler,none,distractor,4,1,pig,filler,none,distractor,3,3,horse,filler,none,distractor,2,4
2429-5,1620229140772,2,clickedObj,,elephant,filler,none,target,2,4,guitar,filler,none,distractor,4,3,bowl,filler,none,distractor,1,1,banana,filler,none,distractor,3,2
2429-5,1620229150346,3,clickedObj,,butterfly,filler,none,target,3,4,chick,filler,none,distractor,1,3,strawberry,filler,none,distractor,2,2,dog,filler,none,distractor,4,1
2429-5,1620229165167,4,clickedObj,,horse,filler,none,target,4,4,pig,filler,none,distractor,3,2,fish,filler,none,distractor,1,1,tomato,filler,none,distractor,2,3
2429-5,1620229175698,5,clickedObj,,strawberry,filler,none,target,1,3,chick,filler,none,distractor,3,2,butterfly,filler,none,distractor,4,1,dog,filler,none,distractor,2,4
2429-5,1620229203191,6,clickedObj,,glasses_big_red,overinformativeness,size_sufficient,target,4,2,glasses_small_red,overinformativeness,size_sufficient,distractor,1,1,glasses_small_red,overinformativeness,size_sufficient,distractor,3,4,glasses_small_blue,overinformativeness,size_sufficient,distractor,2,3
2429-5,1620229215216,7,clickedObj,,socks_small_green,overinformativeness,color_sufficient,target,2,4,socks_big_blue,overinformativeness,color_sufficient,distractor,4,2,socks_small_blue,overinformativeness,color_sufficient,distractor,1,1,socks_small_blue,overinformativeness,color_sufficient,distractor,3,3
2429-5,1620229229210,8,clickedObj,,scissors_big_blue,overinformativeness,color_sufficient,target,4,2,scissors_big_green,overinformativeness,color_sufficient,distractor,2,3,scissors_small_green,overinformativeness,color_sufficient,distractor,3,4,scissors_big_green,overinformativeness,color_sufficient,distractor,1,1
2429-5,1620229243814,9,clickedObj,,ball_small_yellow,overinformativeness,size_sufficient,target,4,4,ball_big_yellow,overinformativeness,size_sufficient,distractor,1,1,ball_big_purple,overinformativeness,size_sufficient,distractor,3,3,ball_big_yellow,overinformativeness,size_sufficient,distractor,2,2
2429-5,1620229261886,10,clickedObj,,man_young_bearded,adjective_ordering,none,target,4,4,man_old_cleanshaven,adjective_ordering,none,distractor,3,1,man_old_bearded,adjective_ordering,none,distractor,1,2,man_young_cleanshaven,adjective_ordering,none,distractor,2,3
2429-5,1620229275888,11,clickedObj,,car_big_blue,overinformativeness,size_sufficient,target,4,3,car_small_green,overinformativeness,size_sufficient,distractor,1,4,car_small_blue,overinformativeness,size_sufficient,distractor,3,2,car_small_blue,overinformativeness,size_sufficient,distractor,2,1
2429-5,1620229285287,12,clickedObj,,cat_big_white,overinformativeness,size_sufficient,target,2,2,cat_small_white,overinformativeness,size_sufficient,distractor,1,3,cat_small_black,overinformativeness,size_sufficient,distractor,3,1,cat_small_white,overinformativeness,size_sufficient,distractor,4,4
2429-5,1620229301309,13,clickedObj,,brush_small_blue,overinformativeness,size_sufficient,target,2,1,brush_big_red,overinformativeness,size_sufficient,distractor,3,2,brush_big_blue,overinformativeness,size_sufficient,distractor,4,4,brush_big_blue,overinformativeness,size_sufficient,distractor,1,3
2429-5,1620229311351,14,clickedObj,,door,filler,none,target,4,2,pitcher,filler,none,distractor,2,4,cow,filler,none,distractor,1,1,carrot,filler,none,distractor,3,3
2429-5,1620229324837,15,clickedObj,,frog_spotted_green,adjective_ordering,none,distractor,3,2,frog_striped_green,adjective_ordering,none,target,1,4,frog_striped_red,adjective_ordering,none,distractor,4,1,frog_spotted_red,adjective_ordering,none,distractor,2,3
2429-5,1620229338995,16,clickedObj,,cow,filler,none,target,4,4,door,filler,none,distractor,2,1,pitcher,filler,none,distractor,1,3,carrot,filler,none,distractor,3,2
2429-5,1620229355179,17,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,target,3,4,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,1,1,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,2,3,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,4,2
2429-5,1620229368595,18,clickedObj,,clock_small_purple,overinformativeness,size_sufficient,target,3,4,clock_big_purple,overinformativeness,size_sufficient,distractor,1,3,clock_big_purple,overinformativeness,size_sufficient,distractor,4,1,clock_big_yellow,overinformativeness,size_sufficient,distractor,2,2
2429-5,1620229393325,19,clickedObj,,glove_big_orange,overinformativeness,size_sufficient,target,4,4,glove_small_orange,overinformativeness,size_sufficient,distractor,3,2,glove_small_green,overinformativeness,size_sufficient,distractor,1,3,glove_small_orange,overinformativeness,size_sufficient,distractor,2,1
2429-5,1620229404950,20,clickedObj,,skirt_small_green,overinformativeness,color_sufficient,target,3,4,skirt_big_blue,overinformativeness,color_sufficient,distractor,1,3,skirt_small_blue,overinformativeness,color_sufficient,distractor,4,2,skirt_small_blue,overinformativeness,color_sufficient,distractor,2,1
