gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
9834-2,1620229189150,1,clickedObj,,tomato,filler,none,target,3,1,pig,filler,none,distractor,2,3,fish,filler,none,distractor,1,2,horse,filler,none,distractor,4,4
9834-2,1620229241832,2,clickedObj,,guitar,filler,none,distractor,3,3,bowl,filler,none,distractor,1,4,elephant,filler,none,target,4,1,banana,filler,none,distractor,2,2
9834-2,1620229264709,3,clickedObj,,butterfly,filler,none,target,1,2,strawberry,filler,none,distractor,4,1,dog,filler,none,distractor,2,4,chick,filler,none,distractor,3,3
9834-2,1620229298341,4,clickedObj,,horse,filler,none,target,3,2,pig,filler,none,distractor,2,4,tomato,filler,none,distractor,4,3,fish,filler,none,distractor,1,1
9834-2,1620229298639,4,clickedObj,,horse,filler,none,target,3,2,fish,filler,none,distractor,1,1,tomato,filler,none,distractor,4,3,pig,filler,none,distractor,2,4
9834-2,1620229325981,6,clickedObj,,cat_small_black,overinformativeness,size_sufficient,target,1,1,cat_big_white,overinformativeness,size_sufficient,distractor,4,3,cat_big_black,overinformativeness,size_sufficient,distractor,3,2,cat_big_black,overinformativeness,size_sufficient,distractor,2,4
9834-2,1620229346683,7,clickedObj,,lipstick_small_pink,overinformativeness,color_sufficient,target,2,2,lipstick_big_red,overinformativeness,color_sufficient,distractor,3,4,lipstick_small_red,overinformativeness,color_sufficient,distractor,4,3,lipstick_small_red,overinformativeness,color_sufficient,distractor,1,1
9834-2,1620229394594,8,clickedObj,,woman_old_sad,adjective_ordering,none,target,1,2,woman_young_sad,adjective_ordering,none,distractor,2,1,woman_old_happy,adjective_ordering,none,distractor,3,4,woman_young_happy,adjective_ordering,none,distractor,4,3
9834-2,1620229406296,9,clickedObj,,pepper_big_red,overinformativeness,color_sufficient,target,3,4,pepper_big_green,overinformativeness,color_sufficient,distractor,4,2,pepper_big_green,overinformativeness,color_sufficient,distractor,1,1,pepper_small_green,overinformativeness,color_sufficient,distractor,2,3
9834-2,1620229421949,10,clickedObj,,fish,filler,none,target,4,2,horse,filler,none,distractor,2,1,pig,filler,none,distractor,3,4,tomato,filler,none,distractor,1,3
9834-2,1620229449841,11,clickedObj,,woman2_happy_fat,adjective_ordering,none,target,3,2,woman2_happy_skinny,adjective_ordering,none,distractor,4,4,woman2_sad_fat,adjective_ordering,none,distractor,2,1,woman2_sad_skinny,adjective_ordering,none,distractor,1,3
9834-2,1620229479311,12,clickedObj,,pig,filler,none,target,2,2,fish,filler,none,distractor,1,3,horse,filler,none,distractor,4,4,tomato,filler,none,distractor,3,1
9834-2,1620229510498,13,clickedObj,,picture_bw_square,adjective_ordering,none,target,1,3,picture_colored_square,adjective_ordering,none,distractor,4,4,picture_colored_rectangular,adjective_ordering,none,distractor,3,2,picture_bw_rectangular,adjective_ordering,none,distractor,2,1
9834-2,1620229536190,14,clickedObj,,shorts_dry_red,adjective_ordering,none,target,1,3,shorts_wet_green,adjective_ordering,none,distractor,2,1,shorts_wet_red,adjective_ordering,none,distractor,3,4,shorts_dry_green,adjective_ordering,none,distractor,4,2
9834-2,1620229568423,15,clickedObj,,clock_big_yellow,overinformativeness,size_sufficient,target,3,4,clock_small_purple,overinformativeness,size_sufficient,distractor,1,3,clock_small_yellow,overinformativeness,size_sufficient,distractor,2,1,clock_small_yellow,overinformativeness,size_sufficient,distractor,4,2
9834-2,1620229584499,16,clickedObj,,cow,filler,none,target,4,1,door,filler,none,distractor,2,3,pitcher,filler,none,distractor,1,4,carrot,filler,none,distractor,3,2
9834-2,1620229598051,17,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,4,4,shoe_small_pink,overinformativeness,color_sufficient,distractor,1,3,shoe_big_pink,overinformativeness,color_sufficient,distractor,2,2,shoe_small_pink,overinformativeness,color_sufficient,distractor,3,1
9834-2,1620229634250,18,clickedObj,,nails_black_matte,adjective_ordering,none,target,3,3,nails_black_glossy,adjective_ordering,none,distractor,2,4,nails_red_glossy,adjective_ordering,none,distractor,1,2,nails_red_matte,adjective_ordering,none,distractor,4,1
9834-2,1620229647377,19,clickedObj,,tie_small_blue,overinformativeness,color_sufficient,target,4,4,tie_big_red,overinformativeness,color_sufficient,distractor,3,1,tie_small_red,overinformativeness,color_sufficient,distractor,1,3,tie_small_red,overinformativeness,color_sufficient,distractor,2,2
9834-2,1620229678282,20,clickedObj,,table_wood_low,adjective_ordering,none,target,2,3,table_metal_high,adjective_ordering,none,distractor,3,1,table_metal_low,adjective_ordering,none,distractor,4,2,table_wood_high,adjective_ordering,none,distractor,1,4
9834-2,1620229707114,21,clickedObj,,chair_small_blue,overinformativeness,size_sufficient,target,3,4,chair_big_yellow,overinformativeness,size_sufficient,distractor,2,2,chair_big_blue,overinformativeness,size_sufficient,distractor,1,3,chair_big_blue,overinformativeness,size_sufficient,distractor,4,1
9834-2,1620229728944,22,clickedObj,,flower_small_yellow,overinformativeness,size_sufficient,target,2,3,flower_big_yellow,overinformativeness,size_sufficient,distractor,1,2,flower_big_yellow,overinformativeness,size_sufficient,distractor,4,1,flower_big_pink,overinformativeness,size_sufficient,distractor,3,4
