gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7658-1,1620229362660,1,clickedObj,,tomato,filler,none,target,2,3,fish,filler,none,distractor,1,4,pig,filler,none,distractor,4,2,horse,filler,none,distractor,3,1
7658-1,1620229382175,2,clickedObj,,elephant,filler,none,target,3,4,guitar,filler,none,distractor,1,2,banana,filler,none,distractor,4,1,bowl,filler,none,distractor,2,3
7658-1,1620229393545,3,clickedObj,,butterfly,filler,none,target,4,1,strawberry,filler,none,distractor,2,3,dog,filler,none,distractor,1,4,chick,filler,none,distractor,3,2
7658-1,1620229405817,4,clickedObj,,horse,filler,none,target,1,3,pig,filler,none,distractor,2,2,fish,filler,none,distractor,3,4,tomato,filler,none,distractor,4,1
7658-1,1620229420879,5,clickedObj,,strawberry,filler,none,target,2,4,chick,filler,none,distractor,4,1,dog,filler,none,distractor,3,2,butterfly,filler,none,distractor,1,3
7658-1,1620229437206,6,clickedObj,,glove_big_green,overinformativeness,size_sufficient,target,2,4,glove_small_green,overinformativeness,size_sufficient,distractor,1,1,glove_small_green,overinformativeness,size_sufficient,distractor,4,2,glove_small_orange,overinformativeness,size_sufficient,distractor,3,3
7658-1,1620229450092,7,clickedObj,,apple_big_green,overinformativeness,size_sufficient,target,2,2,apple_small_green,overinformativeness,size_sufficient,distractor,3,3,apple_small_green,overinformativeness,size_sufficient,distractor,1,4,apple_small_red,overinformativeness,size_sufficient,distractor,4,1
7658-1,1620229476785,8,clickedObj,,man2_mustached_hatted,adjective_ordering,none,target,2,3,man2_bearded_hatted,adjective_ordering,none,distractor,3,2,man2_mustached_glassed,adjective_ordering,none,distractor,4,1,man2_bearded_glassed,adjective_ordering,none,distractor,1,4
7658-1,1620229489567,9,clickedObj,,bag_small_blue,overinformativeness,size_sufficient,target,2,3,bag_big_red,overinformativeness,size_sufficient,distractor,1,4,bag_big_blue,overinformativeness,size_sufficient,distractor,4,1,bag_big_blue,overinformativeness,size_sufficient,distractor,3,2
7658-1,1620229499366,10,clickedObj,,chair_big_yellow,overinformativeness,size_sufficient,target,2,3,chair_small_yellow,overinformativeness,size_sufficient,distractor,1,2,chair_small_blue,overinformativeness,size_sufficient,distractor,4,4,chair_small_yellow,overinformativeness,size_sufficient,distractor,3,1
7658-1,1620229508742,11,clickedObj,,guitar,filler,none,target,1,2,banana,filler,none,distractor,4,3,bowl,filler,none,distractor,2,4,elephant,filler,none,distractor,3,1
7658-1,1620229522119,12,clickedObj,,skirt_big_green,overinformativeness,color_sufficient,target,1,4,skirt_small_blue,overinformativeness,color_sufficient,distractor,4,1,skirt_big_blue,overinformativeness,color_sufficient,distractor,2,3,skirt_big_blue,overinformativeness,color_sufficient,distractor,3,2
7658-1,1620229532390,13,clickedObj,,clock_big_yellow,overinformativeness,size_sufficient,target,4,2,clock_small_yellow,overinformativeness,size_sufficient,distractor,3,4,clock_small_purple,overinformativeness,size_sufficient,distractor,1,3,clock_small_yellow,overinformativeness,size_sufficient,distractor,2,1
7658-1,1620229540191,14,clickedObj,,pig,filler,none,target,4,2,tomato,filler,none,distractor,1,4,fish,filler,none,distractor,3,1,horse,filler,none,distractor,2,3
7658-1,1620229549825,15,clickedObj,,fish,filler,none,target,2,4,pig,filler,none,distractor,4,3,tomato,filler,none,distractor,3,1,horse,filler,none,distractor,1,2
7658-1,1620229560697,16,clickedObj,,key_small_gold,overinformativeness,size_sufficient,target,2,2,key_big_gold,overinformativeness,size_sufficient,distractor,1,1,key_big_gold,overinformativeness,size_sufficient,distractor,3,4,key_big_silver,overinformativeness,size_sufficient,distractor,4,3
7658-1,1620229573984,17,clickedObj,,balloon_big_pink,overinformativeness,size_sufficient,target,2,2,baloon_small_pink,overinformativeness,size_sufficient,distractor,4,1,baloon_small_pink,overinformativeness,size_sufficient,distractor,1,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,3,4
7658-1,1620229582786,18,clickedObj,,scissors_big_green,overinformativeness,color_sufficient,target,4,1,scissors_big_blue,overinformativeness,color_sufficient,distractor,1,4,scissors_big_blue,overinformativeness,color_sufficient,distractor,3,3,scissors_small_blue,overinformativeness,color_sufficient,distractor,2,2
7658-1,1620229592158,19,clickedObj,,lighter_big_white,overinformativeness,color_sufficient,target,1,1,lighter_small_black,overinformativeness,color_sufficient,distractor,3,4,lighter_big_black,overinformativeness,color_sufficient,distractor,2,2,lighter_big_black,overinformativeness,color_sufficient,distractor,4,3
7658-1,1620229615188,20,clickedObj,,woman2_sad_skinny,adjective_ordering,none,target,4,4,woman2_happy_fat,adjective_ordering,none,distractor,2,1,woman2_happy_skinny,adjective_ordering,none,distractor,1,2,woman2_sad_fat,adjective_ordering,none,distractor,3,3
7658-1,1620229625089,21,clickedObj,,knife_small_red,overinformativeness,size_sufficient,target,2,1,knife_big_red,overinformativeness,size_sufficient,distractor,4,3,knife_big_blue,overinformativeness,size_sufficient,distractor,1,4,knife_big_red,overinformativeness,size_sufficient,distractor,3,2
7658-1,1620229633420,22,clickedObj,,carrot,filler,none,target,4,1,door,filler,none,distractor,1,2,cow,filler,none,distractor,3,3,pitcher,filler,none,distractor,2,4
7658-1,1620229644936,23,clickedObj,,umbrella_small_blue,overinformativeness,color_sufficient,target,2,2,umbrella_small_green,overinformativeness,color_sufficient,distractor,1,1,umbrella_big_green,overinformativeness,color_sufficient,distractor,3,3,umbrella_small_green,overinformativeness,color_sufficient,distractor,4,4
7658-1,1620229657318,24,clickedObj,,earring_big_round,adjective_ordering,none,target,2,4,earring_big_triangular,adjective_ordering,none,distractor,1,1,earring_small_triangular,adjective_ordering,none,distractor,4,3,earring_small_round,adjective_ordering,none,distractor,3,2
7658-1,1620229668336,25,clickedObj,,tshirt_big_orange,overinformativeness,color_sufficient,target,3,1,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,4,4,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,2,2,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,1,3
7658-1,1620229676988,26,clickedObj,,brush_big_red,overinformativeness,size_sufficient,target,4,4,brush_small_blue,overinformativeness,size_sufficient,distractor,1,2,brush_small_red,overinformativeness,size_sufficient,distractor,2,3,brush_small_red,overinformativeness,size_sufficient,distractor,3,1
7658-1,1620229692734,27,clickedObj,,box_closed_wood,adjective_ordering,none,target,2,1,box_open_wood,adjective_ordering,none,distractor,3,4,box_closed_cardboard,adjective_ordering,none,distractor,4,2,box_open_cardboard,adjective_ordering,none,distractor,1,3
7658-1,1620229703908,28,clickedObj,,pencil_short_blue,adjective_ordering,none,target,3,3,pencil_long_blue,adjective_ordering,none,distractor,1,2,pencil_long_black,adjective_ordering,none,distractor,2,1,pencil_short_black,adjective_ordering,none,distractor,4,4
7658-1,1620229723348,29,clickedObj,,shorts_dry_red,adjective_ordering,none,target,1,4,shorts_dry_green,adjective_ordering,none,distractor,2,1,shorts_wet_green,adjective_ordering,none,distractor,3,2,shorts_wet_red,adjective_ordering,none,distractor,4,3
7658-1,1620229750277,30,clickedObj,,hair_curly_brown,adjective_ordering,none,target,3,4,hair_curly_blonde,adjective_ordering,none,distractor,1,1,hair_straight_brown,adjective_ordering,none,distractor,4,2,hair_straight_blond,adjective_ordering,none,distractor,2,3
7658-1,1620229759001,31,clickedObj,,car_big_green,overinformativeness,size_sufficient,target,2,1,car_small_green,overinformativeness,size_sufficient,distractor,4,4,car_small_green,overinformativeness,size_sufficient,distractor,3,3,car_small_blue,overinformativeness,size_sufficient,distractor,1,2
7658-1,1620229773225,32,clickedObj,,glasses_big_blue,overinformativeness,size_sufficient,target,1,4,glasses_small_blue,overinformativeness,size_sufficient,distractor,3,1,glasses_small_blue,overinformativeness,size_sufficient,distractor,2,2,glasses_small_red,overinformativeness,size_sufficient,distractor,4,3
7658-1,1620229784989,33,clickedObj,,tie_small_red,overinformativeness,color_sufficient,target,3,1,tie_small_blue,overinformativeness,color_sufficient,distractor,4,3,tie_big_blue,overinformativeness,color_sufficient,distractor,2,4,tie_small_blue,overinformativeness,color_sufficient,distractor,1,2
7658-1,1620229812527,34,clickedObj,,man_old_cleanshaven,adjective_ordering,none,target,4,3,man_old_bearded,adjective_ordering,none,distractor,2,4,man_young_cleanshaven,adjective_ordering,none,distractor,3,1,man_young_bearded,adjective_ordering,none,distractor,1,2
7658-1,1620229837702,35,clickedObj,,spoon_wooden_dirty,adjective_ordering,none,distractor,2,4,spoon_metal_clean,adjective_ordering,none,distractor,1,1,spoon_wooden_clean,adjective_ordering,none,target,3,2,spoon_metal_dirty,adjective_ordering,none,distractor,4,3
7658-1,1620229846011,36,clickedObj,,dog,filler,none,target,3,4,butterfly,filler,none,distractor,4,2,chick,filler,none,distractor,2,3,strawberry,filler,none,distractor,1,1
7658-1,1620229854600,37,clickedObj,,shoe_small_pink,overinformativeness,color_sufficient,target,3,4,show_small_yellow,overinformativeness,color_sufficient,distractor,4,2,shoe_big_yellow,overinformativeness,color_sufficient,distractor,2,3,show_small_yellow,overinformativeness,color_sufficient,distractor,1,1
7658-1,1620229864167,38,clickedObj,,pot_small_green,overinformativeness,color_sufficient,target,2,4,pot_small_blue,overinformativeness,color_sufficient,distractor,1,3,pot_small_blue,overinformativeness,color_sufficient,distractor,4,2,pot_big_blue,overinformativeness,color_sufficient,distractor,3,1
7658-1,1620229882338,39,clickedObj,,lock_small_silver,overinformativeness,color_sufficient,target,2,2,lock_big_gold,overinformativeness,color_sufficient,distractor,1,4,lock_small_gold,overinformativeness,color_sufficient,distractor,3,3,lock_small_gold,overinformativeness,color_sufficient,distractor,4,1
7658-1,1620229896000,40,clickedObj,,lipstick_big_red,overinformativeness,color_sufficient,target,4,4,lipstick_big_pink,overinformativeness,color_sufficient,distractor,3,1,lipstick_big_pink,overinformativeness,color_sufficient,distractor,1,2,lipstick_small_pink,overinformativeness,color_sufficient,distractor,2,3
7658-1,1620229910829,41,clickedObj,,table_metal_high,adjective_ordering,none,target,2,2,table_wood_low,adjective_ordering,none,distractor,3,1,table_metal_low,adjective_ordering,none,distractor,4,3,table_wood_high,adjective_ordering,none,distractor,1,4
7658-1,1620229918901,42,clickedObj,,button_small_green,overinformativeness,size_sufficient,target,4,4,button_big_green,overinformativeness,size_sufficient,distractor,2,1,button_big_blue,overinformativeness,size_sufficient,distractor,3,3,button_big_green,overinformativeness,size_sufficient,distractor,1,2
7658-1,1620229926950,43,clickedObj,,pants_big_green,overinformativeness,color_sufficient,target,1,4,pants_big_pink,overinformativeness,color_sufficient,distractor,4,3,pants_big_pink,overinformativeness,color_sufficient,distractor,2,1,pants_small_pink,overinformativeness,color_sufficient,distractor,3,2
7658-1,1620229934756,44,clickedObj,,socks_big_green,overinformativeness,color_sufficient,target,4,4,socks_big_blue,overinformativeness,color_sufficient,distractor,1,1,socks_big_blue,overinformativeness,color_sufficient,distractor,3,3,socks_small_blue,overinformativeness,color_sufficient,distractor,2,2
7658-1,1620229955365,45,clickedObj,,nails_black_matte,adjective_ordering,none,target,4,3,nails_red_matte,adjective_ordering,none,distractor,1,4,nails_red_glossy,adjective_ordering,none,distractor,3,2,nails_black_glossy,adjective_ordering,none,distractor,2,1
7658-1,1620229963316,46,clickedObj,,pepper_big_red,overinformativeness,color_sufficient,target,4,2,pepper_big_green,overinformativeness,color_sufficient,distractor,3,1,pepper_small_green,overinformativeness,color_sufficient,distractor,2,4,pepper_big_green,overinformativeness,color_sufficient,distractor,1,3
7658-1,1620229970800,47,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,target,2,4,flower_small_pink,overinformativeness,size_sufficient,distractor,1,3,flower_small_yellow,overinformativeness,size_sufficient,distractor,4,2,flower_small_yellow,overinformativeness,size_sufficient,distractor,3,1
7658-1,1620229978338,48,clickedObj,,cat_small_white,overinformativeness,size_sufficient,target,1,4,cat_big_black,overinformativeness,size_sufficient,distractor,2,1,cat_big_white,overinformativeness,size_sufficient,distractor,4,2,cat_big_white,overinformativeness,size_sufficient,distractor,3,3
7658-1,1620229988739,49,clickedObj,,frog_spotted_red,adjective_ordering,none,target,1,4,frog_striped_green,adjective_ordering,none,distractor,4,2,frog_striped_red,adjective_ordering,none,distractor,3,3,frog_spotted_green,adjective_ordering,none,distractor,2,1
7658-1,1620229996730,50,clickedObj,,cow,filler,none,target,2,2,pitcher,filler,none,distractor,1,1,carrot,filler,none,distractor,4,4,door,filler,none,distractor,3,3
7658-1,1620230004406,51,clickedObj,,door,filler,none,target,2,1,cow,filler,none,distractor,3,3,carrot,filler,none,distractor,4,2,pitcher,filler,none,distractor,1,4
7658-1,1620230012476,52,clickedObj,,dress_big_green,overinformativeness,size_sufficient,target,2,2,dress_small_green,overinformativeness,size_sufficient,distractor,1,3,dress_small_green,overinformativeness,size_sufficient,distractor,4,4,dress_small_blue,overinformativeness,size_sufficient,distractor,3,1
7658-1,1620230019749,53,clickedObj,,banana,filler,none,target,3,2,guitar,filler,none,distractor,1,4,bowl,filler,none,distractor,2,3,elephant,filler,none,distractor,4,1
7658-1,1620230032757,54,clickedObj,,woman_old_happy,adjective_ordering,none,target,2,4,woman_young_sad,adjective_ordering,none,distractor,3,2,woman_young_happy,adjective_ordering,none,distractor,4,3,woman_old_sad,adjective_ordering,none,distractor,1,1
7658-1,1620230042349,55,clickedObj,,bowl,filler,none,target,3,1,banana,filler,none,distractor,2,4,elephant,filler,none,distractor,4,3,guitar,filler,none,distractor,1,2
7658-1,1620230060907,56,clickedObj,,bottle_glass_big,adjective_ordering,none,target,3,3,bottle_plastic_big,adjective_ordering,none,distractor,4,2,bottle_plastic_small,adjective_ordering,none,distractor,1,4,bottle_glass_small,adjective_ordering,none,distractor,2,1
7658-1,1620230071940,57,clickedObj,,chick,filler,none,target,4,4,dog,filler,none,distractor,2,3,butterfly,filler,none,distractor,1,2,strawberry,filler,none,distractor,3,1
7658-1,1620230080871,58,clickedObj,,toothbrush_small_purple,overinformativeness,color_sufficient,target,3,4,toothbrush_small_green,overinformativeness,color_sufficient,distractor,4,3,toothbrush_small_green,overinformativeness,color_sufficient,distractor,2,1,toothbrush_big_green,overinformativeness,color_sufficient,distractor,1,2
7658-1,1620230094607,59,clickedObj,,picture_colored_square,adjective_ordering,none,target,1,3,picture_colored_rectangular,adjective_ordering,none,distractor,4,4,picture_bw_rectangular,adjective_ordering,none,distractor,3,1,picture_bw_square,adjective_ordering,none,distractor,2,2
7658-1,1620230107385,60,clickedObj,,ball_small_purple,overinformativeness,size_sufficient,target,3,3,ball_big_yellow,overinformativeness,size_sufficient,distractor,4,2,ball_big_purple,overinformativeness,size_sufficient,distractor,2,4,ball_big_purple,overinformativeness,size_sufficient,distractor,1,1
