gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
3281-6,1620229687684,1,clickedObj,,fish,filler,none,distractor,4,3,tomato,filler,none,target,1,1,horse,filler,none,distractor,2,4,pig,filler,none,distractor,3,2
3281-6,1620229982526,2,clickedObj,,elephant,filler,none,target,1,3,guitar,filler,none,distractor,2,4,bowl,filler,none,distractor,3,2,banana,filler,none,distractor,4,1
3281-6,1620229990224,3,clickedObj,,butterfly,filler,none,target,1,3,chick,filler,none,distractor,2,4,strawberry,filler,none,distractor,3,1,dog,filler,none,distractor,4,2
3281-6,1620230008590,4,clickedObj,,horse,filler,none,target,4,3,fish,filler,none,distractor,1,1,pig,filler,none,distractor,3,4,tomato,filler,none,distractor,2,2
3281-6,1620230023559,5,clickedObj,,strawberry,filler,none,target,4,4,butterfly,filler,none,distractor,1,1,chick,filler,none,distractor,3,2,dog,filler,none,distractor,2,3
3281-6,1620230039553,6,clickedObj,,hair_straight_blond,adjective_ordering,none,target,2,3,hair_curly_brown,adjective_ordering,none,distractor,3,1,hair_curly_blonde,adjective_ordering,none,distractor,4,4,hair_straight_brown,adjective_ordering,none,distractor,1,2
3281-6,1620230052853,7,clickedObj,,tshirt_big_yellow,overinformativeness,color_sufficient,target,4,1,tshirt_small_orange,overinformativeness,color_sufficient,distractor,3,3,tshirt_big_orange,overinformativeness,color_sufficient,distractor,1,4,tshirt_big_orange,overinformativeness,color_sufficient,distractor,2,2
3281-6,1620230059776,8,clickedObj,,pepper_big_red,overinformativeness,color_sufficient,target,3,4,pepper_big_green,overinformativeness,color_sufficient,distractor,2,1,pepper_small_green,overinformativeness,color_sufficient,distractor,4,2,pepper_big_green,overinformativeness,color_sufficient,distractor,1,3
3281-6,1620230065784,9,clickedObj,,dog,filler,none,target,2,3,chick,filler,none,distractor,1,2,butterfly,filler,none,distractor,3,4,strawberry,filler,none,distractor,4,1
3281-6,1620230078465,10,clickedObj,,cat_small_black,overinformativeness,size_sufficient,target,1,2,cat_big_black,overinformativeness,size_sufficient,distractor,2,4,cat_big_white,overinformativeness,size_sufficient,distractor,4,3,cat_big_black,overinformativeness,size_sufficient,distractor,3,1
3281-6,1620230091696,11,clickedObj,,brush_big_red,overinformativeness,size_sufficient,target,3,4,brush_small_red,overinformativeness,size_sufficient,distractor,4,1,brush_small_red,overinformativeness,size_sufficient,distractor,2,3,brush_small_blue,overinformativeness,size_sufficient,distractor,1,2
3281-6,1620230101453,12,clickedObj,,earring_big_round,adjective_ordering,none,target,3,2,earring_big_triangular,adjective_ordering,none,distractor,2,1,earring_small_round,adjective_ordering,none,distractor,4,3,earring_small_triangular,adjective_ordering,none,distractor,1,4
3281-6,1620230110909,13,clickedObj,,bag_big_red,overinformativeness,size_sufficient,target,2,2,bag_small_red,overinformativeness,size_sufficient,distractor,3,4,bag_small_blue,overinformativeness,size_sufficient,distractor,1,3,bag_small_red,overinformativeness,size_sufficient,distractor,4,1
3281-6,1620230119262,14,clickedObj,,banana,filler,none,target,4,2,guitar,filler,none,distractor,2,4,elephant,filler,none,distractor,1,1,bowl,filler,none,distractor,3,3
3281-6,1620230129131,15,clickedObj,,box_open_wood,adjective_ordering,none,target,2,2,box_open_cardboard,adjective_ordering,none,distractor,3,1,box_closed_wood,adjective_ordering,none,distractor,4,3,box_closed_cardboard,adjective_ordering,none,distractor,1,4
3281-6,1620230139344,16,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,target,1,2,clock_small_yellow,overinformativeness,size_sufficient,distractor,4,4,clock_small_purple,overinformativeness,size_sufficient,distractor,2,3,clock_small_purple,overinformativeness,size_sufficient,distractor,3,1
3281-6,1620230150775,17,clickedObj,,table_wood_high,adjective_ordering,none,target,2,4,table_metal_high,adjective_ordering,none,distractor,4,1,table_metal_low,adjective_ordering,none,distractor,1,3,table_wood_low,adjective_ordering,none,distractor,3,2
3281-6,1620230162082,18,clickedObj,,man_old_bearded,adjective_ordering,none,target,1,3,man_young_cleanshaven,adjective_ordering,none,distractor,4,4,man_young_bearded,adjective_ordering,none,distractor,2,2,man_old_cleanshaven,adjective_ordering,none,distractor,3,1
3281-6,1620230175805,19,clickedObj,,scissors_small_green,overinformativeness,color_sufficient,target,2,3,scissors_small_blue,overinformativeness,color_sufficient,distractor,3,1,scissors_small_blue,overinformativeness,color_sufficient,distractor,1,4,scissors_big_blue,overinformativeness,color_sufficient,distractor,4,2
3281-6,1620230210421,20,clickedObj,,dress_big_green,overinformativeness,size_sufficient,target,1,4,dress_small_blue,overinformativeness,size_sufficient,distractor,2,2,dress_small_green,overinformativeness,size_sufficient,distractor,4,1,dress_small_green,overinformativeness,size_sufficient,distractor,3,3
3281-6,1620230217893,21,clickedObj,,fish,filler,none,target,4,2,horse,filler,none,distractor,2,4,pig,filler,none,distractor,3,1,tomato,filler,none,distractor,1,3
3281-6,1620230224137,22,clickedObj,,socks_small_blue,overinformativeness,color_sufficient,target,2,4,socks_small_green,overinformativeness,color_sufficient,distractor,4,3,socks_big_green,overinformativeness,color_sufficient,distractor,1,2,socks_small_green,overinformativeness,color_sufficient,distractor,3,1
3281-6,1620230235789,23,clickedObj,,woman_young_happy,adjective_ordering,none,target,3,2,woman_old_sad,adjective_ordering,none,distractor,2,1,woman_young_sad,adjective_ordering,none,distractor,1,3,woman_old_happy,adjective_ordering,none,distractor,4,4
3281-6,1620230242307,24,clickedObj,,carrot,filler,none,target,2,3,pitcher,filler,none,distractor,3,4,door,filler,none,distractor,1,2,cow,filler,none,distractor,4,1
3281-6,1620230252989,25,clickedObj,,chair_small_yellow,overinformativeness,size_sufficient,target,2,4,chair_big_blue,overinformativeness,size_sufficient,distractor,1,3,chair_big_yellow,overinformativeness,size_sufficient,distractor,3,1,chair_big_yellow,overinformativeness,size_sufficient,distractor,4,2
3281-6,1620230261038,26,clickedObj,,flower_big_pink,overinformativeness,size_sufficient,target,2,4,flower_small_pink,overinformativeness,size_sufficient,distractor,1,3,flower_small_pink,overinformativeness,size_sufficient,distractor,3,2,flower_small_yellow,overinformativeness,size_sufficient,distractor,4,1
3281-6,1620230268879,27,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,2,3,shoe_small_pink,overinformativeness,color_sufficient,distractor,1,4,shoe_big_pink,overinformativeness,color_sufficient,distractor,3,1,shoe_small_pink,overinformativeness,color_sufficient,distractor,4,2
3281-6,1620230275182,28,clickedObj,,umbrella_small_green,overinformativeness,color_sufficient,target,3,2,umbrella_small_blue,overinformativeness,color_sufficient,distractor,2,3,umbrella_small_blue,overinformativeness,color_sufficient,distractor,4,4,umbrella_big_blue,overinformativeness,color_sufficient,distractor,1,1
3281-6,1620230283908,29,clickedObj,,chick,filler,none,target,3,1,butterfly,filler,none,distractor,4,2,strawberry,filler,none,distractor,2,3,dog,filler,none,distractor,1,4
3281-6,1620230291512,30,clickedObj,,ball_big_yellow,overinformativeness,size_sufficient,target,2,4,ball_small_purple,overinformativeness,size_sufficient,distractor,4,1,ball_small_yellow,overinformativeness,size_sufficient,distractor,3,3,ball_small_yellow,overinformativeness,size_sufficient,distractor,1,2
3281-6,1620230301874,31,clickedObj,,pencil_short_black,adjective_ordering,none,target,4,3,pencil_short_blue,adjective_ordering,none,distractor,1,2,pencil_long_black,adjective_ordering,none,distractor,2,1,pencil_long_blue,adjective_ordering,none,distractor,3,4
3281-6,1620230308303,32,clickedObj,,cow,filler,none,target,3,2,carrot,filler,none,distractor,2,4,door,filler,none,distractor,4,1,pitcher,filler,none,distractor,1,3
3281-6,1620230318526,33,clickedObj,,woman2_happy_skinny,adjective_ordering,none,target,4,1,woman2_sad_fat,adjective_ordering,none,distractor,1,3,woman2_happy_fat,adjective_ordering,none,distractor,3,4,woman2_sad_skinny,adjective_ordering,none,distractor,2,2
3281-6,1620230327253,34,clickedObj,,apple_small_green,overinformativeness,size_sufficient,target,2,3,apple_big_red,overinformativeness,size_sufficient,distractor,3,4,apple_big_green,overinformativeness,size_sufficient,distractor,1,1,apple_big_green,overinformativeness,size_sufficient,distractor,4,2
3281-6,1620230336999,35,clickedObj,,nails_black_matte,adjective_ordering,none,target,2,3,nails_red_glossy,adjective_ordering,none,distractor,3,2,nails_black_glossy,adjective_ordering,none,distractor,4,1,nails_red_matte,adjective_ordering,none,distractor,1,4
3281-6,1620230351432,36,clickedObj,,picture_bw_rectangular,adjective_ordering,none,target,4,1,picture_colored_square,adjective_ordering,none,distractor,3,4,picture_colored_rectangular,adjective_ordering,none,distractor,2,2,picture_bw_square,adjective_ordering,none,distractor,1,3
3281-6,1620230359685,37,clickedObj,,glasses_small_blue,overinformativeness,size_sufficient,target,4,3,glasses_big_red,overinformativeness,size_sufficient,distractor,1,4,glasses_big_blue,overinformativeness,size_sufficient,distractor,2,2,glasses_big_blue,overinformativeness,size_sufficient,distractor,3,1
3281-6,1620230368616,38,clickedObj,,key_small_silver,overinformativeness,size_sufficient,target,2,3,key_big_silver,overinformativeness,size_sufficient,distractor,1,2,key_big_gold,overinformativeness,size_sufficient,distractor,3,1,key_big_silver,overinformativeness,size_sufficient,distractor,4,4
3281-6,1620230374973,39,clickedObj,,tie_big_blue,overinformativeness,color_sufficient,target,2,4,tie_big_red,overinformativeness,color_sufficient,distractor,3,2,tie_big_red,overinformativeness,color_sufficient,distractor,4,3,tie_small_red,overinformativeness,color_sufficient,distractor,1,1
3281-6,1620230381855,40,clickedObj,,toothbrush_big_purple,overinformativeness,color_sufficient,target,2,1,toothbrush_big_green,overinformativeness,color_sufficient,distractor,1,2,toothbrush_small_green,overinformativeness,color_sufficient,distractor,4,3,toothbrush_big_green,overinformativeness,color_sufficient,distractor,3,4
3281-6,1620230387778,41,clickedObj,,skirt_small_blue,overinformativeness,color_sufficient,target,1,2,skirt_small_green,overinformativeness,color_sufficient,distractor,4,4,skirt_big_green,overinformativeness,color_sufficient,distractor,3,1,skirt_small_green,overinformativeness,color_sufficient,distractor,2,3
3281-6,1620230394968,42,clickedObj,,bowl,filler,none,target,1,4,banana,filler,none,distractor,4,3,guitar,filler,none,distractor,3,2,elephant,filler,none,distractor,2,1
3281-6,1620230400991,43,clickedObj,,pants_small_pink,overinformativeness,color_sufficient,target,1,3,pants_small_green,overinformativeness,color_sufficient,distractor,4,2,pants_big_green,overinformativeness,color_sufficient,distractor,2,1,pants_small_green,overinformativeness,color_sufficient,distractor,3,4
3281-6,1620230406506,44,clickedObj,,balloon_big_yellow,overinformativeness,size_sufficient,target,3,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,4,4,baloon_small_pink,overinformativeness,size_sufficient,distractor,1,1,baloon_small_yellow,overinformativeness,size_sufficient,distractor,2,2
3281-6,1620230416718,45,clickedObj,,spoon_metal_clean,adjective_ordering,none,target,1,3,spoon_metal_dirty,adjective_ordering,none,distractor,4,1,spoon_wooden_dirty,adjective_ordering,none,distractor,2,2,spoon_wooden_clean,adjective_ordering,none,distractor,3,4
3281-6,1620230425332,46,clickedObj,,bottle_plastic_big,adjective_ordering,none,target,2,1,bottle_plastic_small,adjective_ordering,none,distractor,1,2,bottle_glass_small,adjective_ordering,none,distractor,4,3,bottle_glass_big,adjective_ordering,none,distractor,3,4
3281-6,1620230435634,47,clickedObj,,lighter_big_white,overinformativeness,color_sufficient,target,2,4,lighter_big_black,overinformativeness,color_sufficient,distractor,4,2,lighter_small_black,overinformativeness,color_sufficient,distractor,1,3,lighter_big_black,overinformativeness,color_sufficient,distractor,3,1
3281-6,1620230442679,48,clickedObj,,knife_small_red,overinformativeness,size_sufficient,target,1,4,knife_big_red,overinformativeness,size_sufficient,distractor,3,1,knife_big_red,overinformativeness,size_sufficient,distractor,2,2,knife_big_blue,overinformativeness,size_sufficient,distractor,4,3
3281-6,1620230449776,49,clickedObj,,car_small_green,overinformativeness,size_sufficient,target,3,4,car_big_green,overinformativeness,size_sufficient,distractor,4,1,car_big_green,overinformativeness,size_sufficient,distractor,2,2,car_big_blue,overinformativeness,size_sufficient,distractor,1,3
3281-6,1620230457688,50,clickedObj,,lock_big_silver,overinformativeness,color_sufficient,target,1,2,lock_big_gold,overinformativeness,color_sufficient,distractor,2,3,lock_small_gold,overinformativeness,color_sufficient,distractor,3,4,lock_big_gold,overinformativeness,color_sufficient,distractor,4,1
3281-6,1620230463639,51,clickedObj,,pot_big_green,overinformativeness,color_sufficient,target,1,3,pot_big_blue,overinformativeness,color_sufficient,distractor,2,2,pot_big_blue,overinformativeness,color_sufficient,distractor,4,4,pot_small_blue,overinformativeness,color_sufficient,distractor,3,1
3281-6,1620230476508,52,clickedObj,,shorts_dry_green,adjective_ordering,none,target,1,4,shorts_wet_red,adjective_ordering,none,distractor,2,3,shorts_wet_green,adjective_ordering,none,distractor,4,2,shorts_dry_red,adjective_ordering,none,distractor,3,1
3281-6,1620230482969,53,clickedObj,,button_small_blue,overinformativeness,size_sufficient,target,1,3,button_big_green,overinformativeness,size_sufficient,distractor,2,1,button_big_blue,overinformativeness,size_sufficient,distractor,3,2,button_big_blue,overinformativeness,size_sufficient,distractor,4,4
3281-6,1620230488866,54,clickedObj,,door,filler,none,target,2,1,pitcher,filler,none,distractor,1,4,cow,filler,none,distractor,4,3,carrot,filler,none,distractor,3,2
3281-6,1620230494815,55,clickedObj,,lipstick_big_pink,overinformativeness,color_sufficient,target,4,1,lipstick_small_red,overinformativeness,color_sufficient,distractor,1,2,lipstick_big_red,overinformativeness,color_sufficient,distractor,2,3,lipstick_big_red,overinformativeness,color_sufficient,distractor,3,4
