gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
0834-b,1620230002466,1,clickedObj,,tomato,filler,none,target,1,4,pig,filler,none,distractor,2,2,horse,filler,none,distractor,3,1,fish,filler,none,distractor,4,3
0834-b,1620230011684,2,clickedObj,,elephant,filler,none,target,3,2,bowl,filler,none,distractor,1,4,guitar,filler,none,distractor,4,3,banana,filler,none,distractor,2,1
0834-b,1620230018725,3,clickedObj,,butterfly,filler,none,target,1,4,chick,filler,none,distractor,2,3,strawberry,filler,none,distractor,4,1,dog,filler,none,distractor,3,2
0834-b,1620230028104,4,clickedObj,,horse,filler,none,target,3,3,pig,filler,none,distractor,2,2,tomato,filler,none,distractor,1,1,fish,filler,none,distractor,4,4
0834-b,1620230033685,5,clickedObj,,strawberry,filler,none,target,2,3,chick,filler,none,distractor,3,4,butterfly,filler,none,distractor,4,1,dog,filler,none,distractor,1,2
0834-b,1620230046155,6,clickedObj,,chair_big_yellow,overinformativeness,size_sufficient,target,2,1,chair_small_yellow,overinformativeness,size_sufficient,distractor,3,3,chair_small_yellow,overinformativeness,size_sufficient,distractor,4,4,chair_small_blue,overinformativeness,size_sufficient,distractor,1,2
0834-b,1620230054560,7,clickedObj,,apple_big_green,overinformativeness,size_sufficient,target,2,4,apple_small_green,overinformativeness,size_sufficient,distractor,3,2,apple_small_red,overinformativeness,size_sufficient,distractor,1,1,apple_small_green,overinformativeness,size_sufficient,distractor,4,3
0834-b,1620230063494,8,clickedObj,,glasses_big_blue,overinformativeness,size_sufficient,target,3,1,glasses_small_red,overinformativeness,size_sufficient,distractor,4,4,glasses_small_blue,overinformativeness,size_sufficient,distractor,2,2,glasses_small_blue,overinformativeness,size_sufficient,distractor,1,3
0834-b,1620230076383,9,clickedObj,,box_open_wood,adjective_ordering,none,target,4,2,box_closed_cardboard,adjective_ordering,none,distractor,2,1,box_open_cardboard,adjective_ordering,none,distractor,3,4,box_closed_wood,adjective_ordering,none,distractor,1,3
0834-b,1620230084264,10,clickedObj,,dress_big_green,overinformativeness,size_sufficient,target,3,3,dress_small_green,overinformativeness,size_sufficient,distractor,4,4,dress_small_green,overinformativeness,size_sufficient,distractor,1,1,dress_small_blue,overinformativeness,size_sufficient,distractor,2,2
