gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
2334-6,1620231154905,1,clickedObj,,tomato,filler,none,target,3,1,fish,filler,none,distractor,2,3,pig,filler,none,distractor,1,4,horse,filler,none,distractor,4,2
2334-6,1620231168117,2,clickedObj,,elephant,filler,none,target,4,3,banana,filler,none,distractor,2,4,guitar,filler,none,distractor,1,1,bowl,filler,none,distractor,3,2
2334-6,1620231181641,3,clickedObj,,butterfly,filler,none,target,2,1,strawberry,filler,none,distractor,3,3,dog,filler,none,distractor,1,2,chick,filler,none,distractor,4,4
2334-6,1620231191157,4,clickedObj,,horse,filler,none,target,3,3,fish,filler,none,distractor,4,1,pig,filler,none,distractor,2,2,tomato,filler,none,distractor,1,4
2334-6,1620231203424,5,clickedObj,,strawberry,filler,none,target,2,3,chick,filler,none,distractor,4,1,butterfly,filler,none,distractor,1,2,dog,filler,none,distractor,3,4
2334-6,1620231226768,6,clickedObj,,picture_bw_square,adjective_ordering,none,distractor,4,1,picture_colored_square,adjective_ordering,none,distractor,3,4,picture_colored_rectangular,adjective_ordering,none,distractor,2,2,picture_bw_rectangular,adjective_ordering,none,target,1,3
2334-6,1620231235600,7,clickedObj,,pig,filler,none,target,3,2,fish,filler,none,distractor,4,1,tomato,filler,none,distractor,1,3,horse,filler,none,distractor,2,4
2334-6,1620231249294,8,clickedObj,,pepper_small_green,overinformativeness,color_sufficient,target,4,3,pepper_small_red,overinformativeness,color_sufficient,distractor,2,4,pepper_big_red,overinformativeness,color_sufficient,distractor,1,2,pepper_small_red,overinformativeness,color_sufficient,distractor,3,1
2334-6,1620231259987,9,clickedObj,,glove_big_orange,overinformativeness,size_sufficient,target,4,1,glove_small_orange,overinformativeness,size_sufficient,distractor,1,3,glove_small_green,overinformativeness,size_sufficient,distractor,3,4,glove_small_orange,overinformativeness,size_sufficient,distractor,2,2
2334-6,1620231277865,10,clickedObj,,bottle_glass_big,adjective_ordering,none,target,2,3,bottle_plastic_small,adjective_ordering,none,distractor,3,2,bottle_plastic_big,adjective_ordering,none,distractor,1,4,bottle_glass_small,adjective_ordering,none,distractor,4,1
2334-6,1620231295802,11,clickedObj,,button_big_green,overinformativeness,size_sufficient,target,1,1,button_small_green,overinformativeness,size_sufficient,distractor,2,2,button_small_green,overinformativeness,size_sufficient,distractor,4,3,button_small_blue,overinformativeness,size_sufficient,distractor,3,4
2334-6,1620231305457,12,clickedObj,,carrot,filler,none,target,3,2,pitcher,filler,none,distractor,2,1,door,filler,none,distractor,4,3,cow,filler,none,distractor,1,4
2334-6,1620231324269,13,clickedObj,,box_closed_wood,adjective_ordering,none,target,1,2,box_open_wood,adjective_ordering,none,distractor,4,3,box_open_cardboard,adjective_ordering,none,distractor,3,1,box_closed_cardboard,adjective_ordering,none,distractor,2,4
2334-6,1620231338075,14,clickedObj,,bowl,filler,none,target,2,2,banana,filler,none,distractor,1,1,elephant,filler,none,distractor,3,3,guitar,filler,none,distractor,4,4
2334-6,1620231370532,15,clickedObj,,ball_big_yellow,overinformativeness,size_sufficient,target,4,3,ball_small_purple,overinformativeness,size_sufficient,distractor,1,4,ball_small_yellow,overinformativeness,size_sufficient,distractor,2,1,ball_small_yellow,overinformativeness,size_sufficient,distractor,3,2
