gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
1884-8,1620231610755,1,clickedObj,,tomato,filler,none,target,4,1,pig,filler,none,distractor,1,4,horse,filler,none,distractor,3,2,fish,filler,none,distractor,2,3
1884-8,1620231623212,2,clickedObj,,elephant,filler,none,target,4,3,guitar,filler,none,distractor,2,4,banana,filler,none,distractor,1,2,bowl,filler,none,distractor,3,1
1884-8,1620231631290,3,clickedObj,,butterfly,filler,none,target,3,4,chick,filler,none,distractor,2,2,dog,filler,none,distractor,4,1,strawberry,filler,none,distractor,1,3
1884-8,1620231642442,4,clickedObj,,horse,filler,none,target,3,4,tomato,filler,none,distractor,4,2,fish,filler,none,distractor,2,3,pig,filler,none,distractor,1,1
1884-8,1620231653643,5,clickedObj,,strawberry,filler,none,target,3,2,chick,filler,none,distractor,2,3,dog,filler,none,distractor,1,4,butterfly,filler,none,distractor,4,1
1884-8,1620231685785,6,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,target,3,1,flower_small_pink,overinformativeness,size_sufficient,distractor,2,3,flower_small_yellow,overinformativeness,size_sufficient,distractor,1,2,flower_small_yellow,overinformativeness,size_sufficient,distractor,4,4
1884-8,1620231710571,7,clickedObj,,woman_old_sad,adjective_ordering,none,target,3,4,woman_young_happy,adjective_ordering,none,distractor,1,3,woman_young_sad,adjective_ordering,none,distractor,4,2,woman_old_happy,adjective_ordering,none,distractor,2,1
1884-8,1620231745648,8,clickedObj,,man2_mustached_glassed,adjective_ordering,none,target,4,3,man2_bearded_hatted,adjective_ordering,none,distractor,2,4,man2_mustached_hatted,adjective_ordering,none,distractor,1,2,man2_bearded_glassed,adjective_ordering,none,distractor,3,1
1884-8,1620231756035,9,clickedObj,,pants_big_pink,overinformativeness,color_sufficient,target,2,1,pants_big_green,overinformativeness,color_sufficient,distractor,4,4,pants_big_green,overinformativeness,color_sufficient,distractor,1,2,pants_small_green,overinformativeness,color_sufficient,distractor,3,3
1884-8,1620231793455,10,clickedObj,,table_metal_low,adjective_ordering,none,target,4,2,table_wood_low,adjective_ordering,none,distractor,1,4,table_wood_high,adjective_ordering,none,distractor,3,1,table_metal_high,adjective_ordering,none,distractor,2,3
1884-8,1620231804072,11,clickedObj,,bag_big_red,overinformativeness,size_sufficient,target,4,1,bag_small_red,overinformativeness,size_sufficient,distractor,2,2,bag_small_red,overinformativeness,size_sufficient,distractor,3,3,bag_small_blue,overinformativeness,size_sufficient,distractor,1,4
1884-8,1620231818870,12,clickedObj,,shoe_small_pink,overinformativeness,color_sufficient,target,3,4,show_small_yellow,overinformativeness,color_sufficient,distractor,4,3,show_small_yellow,overinformativeness,color_sufficient,distractor,2,2,shoe_big_yellow,overinformativeness,color_sufficient,distractor,1,1
1884-8,1620231842656,13,clickedObj,,earring_big_triangular,adjective_ordering,none,target,2,4,earring_big_round,adjective_ordering,none,distractor,1,1,earring_small_triangular,adjective_ordering,none,distractor,3,2,earring_small_round,adjective_ordering,none,distractor,4,3
1884-8,1620231852702,14,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,1,3,button_small_blue,overinformativeness,size_sufficient,distractor,2,1,button_small_blue,overinformativeness,size_sufficient,distractor,4,4,button_small_green,overinformativeness,size_sufficient,distractor,3,2
1884-8,1620231873414,15,clickedObj,,pepper_big_green,overinformativeness,color_sufficient,target,3,2,pepper_big_red,overinformativeness,color_sufficient,distractor,1,3,pepper_small_red,overinformativeness,color_sufficient,distractor,2,1,pepper_big_red,overinformativeness,color_sufficient,distractor,4,4
1884-8,1620231896231,16,clickedObj,,door,filler,none,target,1,2,carrot,filler,none,distractor,2,3,cow,filler,none,distractor,4,4,pitcher,filler,none,distractor,3,1
1884-8,1620231928292,17,clickedObj,,nails_red_glossy,adjective_ordering,none,target,2,3,nails_black_matte,adjective_ordering,none,distractor,1,2,nails_black_glossy,adjective_ordering,none,distractor,3,4,nails_red_matte,adjective_ordering,none,distractor,4,1
1884-8,1620231937268,18,clickedObj,,knife_big_red,overinformativeness,size_sufficient,target,4,1,knife_small_red,overinformativeness,size_sufficient,distractor,3,4,knife_small_blue,overinformativeness,size_sufficient,distractor,1,3,knife_small_red,overinformativeness,size_sufficient,distractor,2,2
1884-8,1620231949054,19,clickedObj,,chair_small_yellow,overinformativeness,size_sufficient,target,1,3,chair_big_yellow,overinformativeness,size_sufficient,distractor,4,1,chair_big_yellow,overinformativeness,size_sufficient,distractor,2,2,chair_big_blue,overinformativeness,size_sufficient,distractor,3,4
