gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
6611-1,1620231771734,1,clickedObj,,tomato,filler,none,target,1,1,fish,filler,none,distractor,3,2,horse,filler,none,distractor,4,3,pig,filler,none,distractor,2,4
6611-1,1620231778929,2,clickedObj,,elephant,filler,none,target,1,4,guitar,filler,none,distractor,2,2,banana,filler,none,distractor,4,3,bowl,filler,none,distractor,3,1
6611-1,1620231786964,3,clickedObj,,butterfly,filler,none,target,2,3,chick,filler,none,distractor,4,2,strawberry,filler,none,distractor,1,4,dog,filler,none,distractor,3,1
6611-1,1620231797074,4,clickedObj,,horse,filler,none,target,3,1,pig,filler,none,distractor,1,4,tomato,filler,none,distractor,4,3,fish,filler,none,distractor,2,2
6611-1,1620231804537,5,clickedObj,,strawberry,filler,none,target,2,1,dog,filler,none,distractor,4,2,butterfly,filler,none,distractor,3,3,chick,filler,none,distractor,1,4
6611-1,1620231842425,6,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,target,2,2,clock_small_purple,overinformativeness,size_sufficient,distractor,1,3,clock_small_purple,overinformativeness,size_sufficient,distractor,3,4,clock_small_yellow,overinformativeness,size_sufficient,distractor,4,1
6611-1,1620231871671,7,clickedObj,,bottle_glass_big,adjective_ordering,none,target,1,3,bottle_plastic_big,adjective_ordering,none,distractor,2,4,bottle_plastic_small,adjective_ordering,none,distractor,4,2,bottle_glass_small,adjective_ordering,none,distractor,3,1
6611-1,1620231879930,8,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,1,1,brush_small_red,overinformativeness,size_sufficient,distractor,3,4,brush_small_blue,overinformativeness,size_sufficient,distractor,4,2,brush_small_blue,overinformativeness,size_sufficient,distractor,2,3
6611-1,1620231886538,9,clickedObj,,banana,filler,none,target,1,2,guitar,filler,none,distractor,4,1,elephant,filler,none,distractor,2,4,bowl,filler,none,distractor,3,3
6611-1,1620231892422,10,clickedObj,,apple_small_red,overinformativeness,size_sufficient,target,2,2,apple_big_red,overinformativeness,size_sufficient,distractor,3,3,apple_big_green,overinformativeness,size_sufficient,distractor,4,4,apple_big_red,overinformativeness,size_sufficient,distractor,1,1
6611-1,1620231898960,11,clickedObj,,ball_big_purple,overinformativeness,size_sufficient,target,3,4,ball_small_purple,overinformativeness,size_sufficient,distractor,2,2,ball_small_purple,overinformativeness,size_sufficient,distractor,4,3,ball_small_yellow,overinformativeness,size_sufficient,distractor,1,1
6611-1,1620231905985,12,clickedObj,,knife_small_red,overinformativeness,size_sufficient,target,3,1,knife_big_blue,overinformativeness,size_sufficient,distractor,4,3,knife_big_red,overinformativeness,size_sufficient,distractor,2,2,knife_big_red,overinformativeness,size_sufficient,distractor,1,4
6611-1,1620231931312,13,clickedObj,,spoon_metal_dirty,adjective_ordering,none,target,1,4,spoon_wooden_dirty,adjective_ordering,none,distractor,2,1,spoon_wooden_clean,adjective_ordering,none,distractor,4,3,spoon_metal_clean,adjective_ordering,none,distractor,3,2
6611-1,1620231944143,14,clickedObj,,pencil_long_black,adjective_ordering,none,target,2,2,pencil_long_blue,adjective_ordering,none,distractor,1,1,pencil_short_blue,adjective_ordering,none,distractor,3,4,pencil_short_black,adjective_ordering,none,distractor,4,3
