gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
2436-e,1620231855403,1,clickedObj,,tomato,filler,none,target,4,1,pig,filler,none,distractor,2,4,horse,filler,none,distractor,1,3,fish,filler,none,distractor,3,2
2436-e,1620231861759,2,clickedObj,,elephant,filler,none,target,3,2,bowl,filler,none,distractor,1,4,banana,filler,none,distractor,2,1,guitar,filler,none,distractor,4,3
2436-e,1620231870284,3,clickedObj,,butterfly,filler,none,target,4,1,dog,filler,none,distractor,2,2,chick,filler,none,distractor,1,3,strawberry,filler,none,distractor,3,4
2436-e,1620231876215,4,clickedObj,,horse,filler,none,target,2,3,fish,filler,none,distractor,4,1,pig,filler,none,distractor,3,4,tomato,filler,none,distractor,1,2
2436-e,1620231882459,5,clickedObj,,strawberry,filler,none,target,2,4,dog,filler,none,distractor,1,3,butterfly,filler,none,distractor,4,2,chick,filler,none,distractor,3,1
2436-e,1620231892588,6,clickedObj,,baloon_small_yellow,overinformativeness,size_sufficient,target,3,4,balloon_big_pink,overinformativeness,size_sufficient,distractor,4,1,balloon_big_yellow,overinformativeness,size_sufficient,distractor,2,3,balloon_big_yellow,overinformativeness,size_sufficient,distractor,1,2
2436-e,1620231906671,7,clickedObj,,hair_curly_blonde,adjective_ordering,none,target,1,4,hair_straight_brown,adjective_ordering,none,distractor,2,3,hair_straight_blond,adjective_ordering,none,distractor,3,1,hair_curly_brown,adjective_ordering,none,distractor,4,2
2436-e,1620231924353,8,clickedObj,,nails_red_glossy,adjective_ordering,none,target,1,2,nails_black_matte,adjective_ordering,none,distractor,3,4,nails_black_glossy,adjective_ordering,none,distractor,4,3,nails_red_matte,adjective_ordering,none,distractor,2,1
2436-e,1620231931343,9,clickedObj,,apple_small_red,overinformativeness,size_sufficient,target,4,2,apple_big_red,overinformativeness,size_sufficient,distractor,3,4,apple_big_green,overinformativeness,size_sufficient,distractor,1,1,apple_big_red,overinformativeness,size_sufficient,distractor,2,3
2436-e,1620231939211,10,clickedObj,,clock_small_yellow,overinformativeness,size_sufficient,target,4,3,clock_big_yellow,overinformativeness,size_sufficient,distractor,1,2,clock_big_yellow,overinformativeness,size_sufficient,distractor,3,4,clock_big_purple,overinformativeness,size_sufficient,distractor,2,1
2436-e,1620231945862,11,clickedObj,,socks_big_blue,overinformativeness,color_sufficient,target,3,4,socks_big_green,overinformativeness,color_sufficient,distractor,1,1,socks_small_green,overinformativeness,color_sufficient,distractor,4,2,socks_big_green,overinformativeness,color_sufficient,distractor,2,3
2436-e,1620231953875,12,clickedObj,,lipstick_big_red,overinformativeness,color_sufficient,target,2,2,lipstick_big_pink,overinformativeness,color_sufficient,distractor,1,4,lipstick_big_pink,overinformativeness,color_sufficient,distractor,3,1,lipstick_small_pink,overinformativeness,color_sufficient,distractor,4,3
