gameid,time,roundNum,sender,contents
4762-9,1620234688164,1,speaker,"tomato"
4762-9,1620234698774,2,listener,"ty"
4762-9,1620234698988,2,speaker,"elephant"
4762-9,1620234704976,3,speaker,"butterfly"
4762-9,1620234710095,4,speaker,"horse"
4762-9,1620234716797,5,speaker,"strawberry"
4762-9,1620234722903,6,speaker,"small cat"
4762-9,1620234730005,7,speaker,"yellow shoes"
4762-9,1620234738884,8,speaker,"green toothbrush"
4762-9,1620234746364,9,speaker,"large blue dress"
4762-9,1620234755235,10,speaker,"clownfish"
4762-9,1620234761840,11,speaker,"small key"
4762-9,1620234768746,12,speaker,"green pepper"
4762-9,1620234774846,13,speaker,"green pants"
4762-9,1620234781002,14,speaker,"carrot"
4762-9,1620234794383,15,speaker,"happy face not fat"
4762-9,1620234803306,16,speaker,"silver lock"
4762-9,1620234810100,17,speaker,"banana"
4762-9,1620234816185,18,speaker,"red lipstick"
4762-9,1620234826987,19,speaker,"striped red frog"
4762-9,1620234836473,20,speaker,"small yellow chair"
4762-9,1620234843440,21,speaker,"large blue brush"
4762-9,1620234857620,22,speaker,"old smiling lady"
4762-9,1620234865119,23,speaker,"green umbrella "
4762-9,1620234873450,24,speaker,"small green car"
4762-9,1620234883515,25,speaker,"open cardboard box"
4762-9,1620234897009,26,speaker,"large silver table"
4762-9,1620234914619,27,speaker,"man with glasses and short beard"
4762-9,1620234944128,28,speaker,"wood spoon with spotted pattern on top"
4762-9,1620234961403,29,speaker,"large blue button"
4762-9,1620234971794,30,speaker,"small red apple"
4762-9,1620234978567,31,speaker,"green socks"
4762-9,1620234985463,32,speaker,"cow"
4762-9,1620234996523,33,speaker,"large yellow clock"
4762-9,1620235011450,34,speaker,"colorful square painting"
4762-9,1620235023770,35,speaker,"large glass bottle"
4762-9,1620235031379,36,speaker,"red tie"
4762-9,1620235051911,37,speaker,"young man with beard looking straight ahead"
4762-9,1620235068183,38,speaker,"half blue pencil "
4762-9,1620235080191,39,speaker,"chicken"
4762-9,1620235089223,40,speaker,"blue pot"
4762-9,1620235095785,41,speaker,"blue dress"
4762-9,1620235102004,42,speaker,"small blue bag"
4762-9,1620235107395,43,speaker,"yellow shirt"
4762-9,1620235112888,44,speaker,"door"
4762-9,1620235122734,45,speaker,"dog"
4762-9,1620235129474,46,speaker,"black lighter"
4762-9,1620235139366,47,speaker,"small yellow ball"
4762-9,1620235146953,48,speaker,"small red glasses"
4762-9,1620235158100,49,speaker,"green scissor "
4762-9,1620235166978,50,speaker,"large yellow flower"
4762-9,1620235194233,51,speaker,"small yellow ballon? My picture is blank"
4762-9,1620235202992,51,listener,"same here"
4762-9,1620235216432,52,speaker,"straight brown hair"
4762-9,1620235228615,53,speaker,"large circle earring "
4762-9,1620235237976,54,speaker,"pig"
4762-9,1620235248701,55,speaker,"black shiny nails"
4762-9,1620235265069,56,speaker,"green creased shorts"
4762-9,1620235286176,57,speaker,"large blue knife"
4762-9,1620235296017,58,speaker,"bowl"
4762-9,1620235314948,59,speaker,"guitar"
4762-9,1620235323588,60,speaker,"large green gloves"
