gameid,time,roundNum,sender,contents
2220-4,1620235396669,1,speaker,"tomatto"
2220-4,1620235407930,2,speaker,"elephant"
2220-4,1620235418734,3,speaker,"butterfly"
2220-4,1620235426238,4,speaker,"HORSE"
2220-4,1620235438113,5,speaker,"STRAWBERRY"
2220-4,1620235450593,6,speaker,"BLUE ONE"
2220-4,1620235458019,7,speaker,"CARROT"
2220-4,1620235468459,8,speaker,"PINK LIPSTICK"
2220-4,1620235495489,9,speaker,"BEARD OLD"
2220-4,1620235502005,10,speaker,"DOOR"
2220-4,1620235512919,11,speaker,"BIG HAND"
2220-4,1620235523809,12,speaker,"SMALL ONE"
2220-4,1620235532459,13,speaker,"COW"
2220-4,1620235541851,14,speaker,"YELLOW"
2220-4,1620235551339,15,speaker,"BLUE"
2220-4,1620235563589,16,speaker,"SMALL BLUE BAG"
2220-4,1620235582614,17,speaker,"BLACK SOLID HAIR"
2220-4,1620235598139,18,speaker,"BIG BLUE BRUSH"
2220-4,1620235607590,19,speaker,"FISH"
2220-4,1620235619164,20,speaker,"SMALL KNIF"
2220-4,1620235634169,21,speaker,"IRONED RED "
2220-4,1620235650264,22,speaker,"SMALL WOOD TABLE"
2220-4,1620235660538,23,speaker,"SILVER LOCK"
2220-4,1620235676550,24,speaker,"BANANA"
2220-4,1620235684590,25,speaker,"PINK"
2220-4,1620235692109,26,speaker,"BLUE"
2220-4,1620235713270,27,speaker,"UN-POLISHED RED"
2220-4,1620235722809,28,speaker,"WHITE"
2220-4,1620235730959,29,speaker,"BOWL"
2220-4,1620235743703,30,speaker,"BIG BLACK PENCIL"
2220-4,1620235752419,31,speaker,"BIG BLUE"
2220-4,1620235763658,32,speaker,"LARGE FLOWER"
2220-4,1620235772614,33,speaker,"LARGE KEY"
2220-4,1620235787379,34,speaker,"SMALL GLASS BOTTLE"
2220-4,1620235809270,35,speaker,"OPENED PAPER BOX"
2220-4,1620235818349,36,speaker,"BLUE"
2220-4,1620235843075,37,speaker,"LANDSCAPED DIGITAL COLORED"
2220-4,1620235866829,38,speaker,"GREN"
2220-4,1620235870180,38,speaker,"GREN"
2220-4,1620235872909,38,speaker,"GREEN"
2220-4,1620235879109,39,speaker,"YELLOW"
2220-4,1620235888254,40,speaker,"SMALL"
2220-4,1620235900529,41,speaker,"BIG CAT"
2220-4,1620235912149,42,speaker,"RED DOTTED "
2220-4,1620235928619,43,speaker,"BEARED CAPED"
2220-4,1620235951582,44,speaker,"BLANK"
2220-4,1620235963989,45,speaker,"GREEN"
2220-4,1620235983430,46,speaker,"UN-CLEANED WOODEN"
2220-4,1620235994369,47,speaker,"GREEN"
2220-4,1620236010529,48,speaker,"DOG"
2220-4,1620236015969,48,speaker,"PUPPY"
2220-4,1620236023409,49,speaker,"BIG"
2220-4,1620236036770,50,speaker,"CHIK"
2220-4,1620236044663,51,speaker,"BIG"
2220-4,1620236057319,52,speaker,"SMALL YEELOW"
2220-4,1620236059910,52,speaker,"YELLOW"
2220-4,1620236069820,53,speaker,"PIG"
2220-4,1620236099949,54,speaker,"SMALL SMILY FACE"
2220-4,1620236112154,55,speaker,"GREEN"
2220-4,1620236118768,56,speaker,"BIG"
2220-4,1620236160330,57,speaker,"BIG FACE NOT SMILLING"
2220-4,1620236174650,57,listener,"old or young?"
2220-4,1620236179249,57,speaker,"OLD"
2220-4,1620236190009,58,speaker,"BIG BLUE"
2220-4,1620236205749,59,speaker,"GUITAR"
2220-4,1620236222309,60,speaker,"SMALL TRIANGLE"
