gameid,time,roundNum,sender,contents
7368-d,1620237527372,1,speaker,"hi, the object is red. "
7368-d,1620237556189,2,speaker,"The object is an animal. "
7368-d,1620237568750,3,speaker,"The object can fly. "
7368-d,1620237585824,4,speaker,"The object is brown. "
7368-d,1620237597256,6,speaker,"The object is clear. "
7368-d,1620237614529,7,speaker,"The object is big and round. "
7368-d,1620237664833,8,speaker,"The object is large and has a cork top. "
7368-d,1620237680588,9,speaker,"the object is small and green. "
7368-d,1620237705682,10,speaker,"the object is orange. "
7368-d,1620237729290,11,speaker,"the flower is small and yellow"
7368-d,1620237750833,12,speaker,"The object is yellow. "
7368-d,1620237775108,13,speaker,"The object is brown. "
7368-d,1620237790585,14,speaker,"The nails are shiny and black. "
7368-d,1620237811582,15,speaker,"the clock is purple and big. "
7368-d,1620237832062,16,speaker,"the glove is big and orange. "
7368-d,1620237888844,17,speaker,"the woman has a big chin and is frowning. "
7368-d,1620237921507,18,speaker,"small and green"
7368-d,1620237956485,19,speaker,"brush is big and red"
7368-d,1620238015046,20,speaker,"object is orange, "
7368-d,1620238044353,21,speaker,"sliver and tall"
7368-d,1620238073743,22,speaker,"blue and small. "
7368-d,1620238080711,23,speaker,"green"
7368-d,1620238102554,24,speaker,"blue"
7368-d,1620238129129,25,speaker,"greeb"
7368-d,1620238131616,25,speaker,"green"
7368-d,1620238151795,26,speaker,"brown and straight"
7368-d,1620238192476,27,speaker,"glasses, no hat"
7368-d,1620238201976,28,speaker,"red and big"
7368-d,1620238213896,29,speaker,"pink"
7368-d,1620238221521,30,speaker,"green"
7368-d,1620238239284,31,speaker,"red"
7368-d,1620238254460,32,speaker,"young and clean shaven"
7368-d,1620238277346,33,speaker,"yellow"
7368-d,1620238302494,34,speaker,"borwn and white"
7368-d,1620238312750,35,speaker,"yellow"
7368-d,1620238325740,36,speaker,"blank"
7368-d,1620238332702,37,speaker,"green"
7368-d,1620238359221,38,speaker,"small and yellow"
7368-d,1620238368648,39,speaker,"red and spotted"
7368-d,1620238388767,40,speaker,"blue"
7368-d,1620238403872,41,speaker,"cardboard and closed"
7368-d,1620238411055,42,speaker,"red"
7368-d,1620238423071,43,speaker,"green and not wrinkled"
7368-d,1620238434367,44,speaker,"big and blue"
7368-d,1620238442320,45,speaker,"big and blue"
7368-d,1620238466485,46,speaker,"sad with straight black hair"
7368-d,1620238487527,48,speaker,"blue"
7368-d,1620238515402,49,speaker,"darkest round part of the spoon. "
7368-d,1620238567471,50,speaker,"gold"
7368-d,1620238601802,51,speaker,"long and black"
7368-d,1620238613362,52,speaker,"big and red"
7368-d,1620238649514,53,speaker,"green"
7368-d,1620238664234,54,speaker,"black and white"
7368-d,1620238677228,55,speaker,"colorful and long"
7368-d,1620238723625,56,speaker,"pink"
7368-d,1620238744077,57,speaker,"small and purple"
7368-d,1620238758190,58,speaker,"small and silver"
7368-d,1620238767006,59,speaker,"green"
7368-d,1620238778315,60,speaker,"big and white"
