gameid,time,roundNum,sender,contents
5051-7,1620238285159,1,speaker,"APPLE"
5051-7,1620238319648,2,speaker,"ELEPHANT"
5051-7,1620238334498,3,speaker,"BUTTERFLY"
5051-7,1620238352715,4,speaker,"HORSE"
5051-7,1620238371579,5,speaker,"STRAWBERRY"
5051-7,1620238392246,6,speaker,"GREEN COLOUR BRUSH"
5051-7,1620238412624,7,speaker,"YELLOW COLOUR SHOE"
5051-7,1620238427889,8,speaker,"BANANA"
5051-7,1620238443731,9,speaker,"BLUE BAG"
5051-7,1620238494983,10,speaker,"ALMOST LEFT  GREEN BUTTON"
5051-7,1620238551931,11,speaker,"WATER BOTTLE"
5051-7,1620238589808,13,speaker,"LEFT SIDE 1ST OPTION CHAIR"
5051-7,1620238608747,14,speaker,"FISH"
5051-7,1620238639374,15,speaker,"LAST RIGHT OPTION SCENERIES"
5051-7,1620238653238,16,speaker,"PIG"
5051-7,1620238679079,17,speaker,"LAST LEFT OPTION FRUIT"
5051-7,1620238702603,18,speaker,"BLUE TIE"
5051-7,1620238733323,19,speaker,"SECOND OPTION SPOON"
5051-7,1620238761671,20,speaker,"FROM RIGHT THIRD  OPTION SPECKS"
5051-7,1620238794464,21,speaker,"OLD MAN WITH BEARD"
5051-7,1620238808729,22,speaker,"YELLOW T SHIRT"
5051-7,1620238830348,23,speaker,"COW"
5051-7,1620238853342,24,speaker,"LEFT SIDE 1ST OPTION LIPSTICK"
5051-7,1620238860462,25,listener,"fast"
5051-7,1620238867219,26,speaker,"GREEN SHOCKS"
5051-7,1620238875414,27,listener,"ben"
5051-7,1620238886068,28,listener,"y"
5051-7,1620238893750,30,speaker,"LOCKER"
5051-7,1620238905271,31,speaker,"EARINGS"
5051-7,1620238916905,32,speaker,"GUITAR"
5051-7,1620238938366,33,listener,"y"
5051-7,1620238949577,34,listener,"women"
5051-7,1620238961183,35,speaker,"CLOCK"
5051-7,1620238962170,35,listener,"clock"
5051-7,1620238971971,36,speaker,"CLOSED BOX"
5051-7,1620238985109,37,speaker,"DOOR"
5051-7,1620238997671,38,speaker,"GREEN PHANT"
5051-7,1620239009608,39,speaker,"GRREN"
5051-7,1620239021343,40,speaker,"HEN"
5051-7,1620239044584,41,speaker,"BIG SIZE BALL"
5051-7,1620239066591,42,speaker,"SMALL SIZE BLUE BRUSH"
5051-7,1620239094510,43,speaker,"KURLING WHITE HAIR"
5051-7,1620239104391,44,listener,"what"
5051-7,1620239109143,45,speaker,"GREEN"
5051-7,1620239116183,46,speaker,"LAST ONE"
5051-7,1620239132711,47,speaker,"BLUE SCICCOR"
5051-7,1620239141063,48,speaker,"DOG"
5051-7,1620239156328,49,speaker,"BIG SIZE CAT"
5051-7,1620239168939,50,speaker,"CARROT"
5051-7,1620239189392,51,speaker,"SMILING FACE "
5051-7,1620239208650,52,speaker,"BIG KNIFE"
5051-7,1620239222014,53,listener,"what"
5051-7,1620239222191,53,speaker,"MEALS"
5051-7,1620239239633,54,speaker,"1ST TABLE"
5051-7,1620239255152,55,listener,"what"
5051-7,1620239261543,56,speaker,"BEARD WITHOUT GLASS"
5051-7,1620239271629,57,speaker,"GREEN"
5051-7,1620239285358,58,speaker,"SMALL KEY"
5051-7,1620239300269,59,speaker,"EMPTY"
5051-7,1620239311788,60,speaker,"RED"
