gameid,time,roundNum,sender,contents
3571-e,1620238616535,1,speaker,"red color"
3571-e,1620238631063,2,speaker,"black"
3571-e,1620238647454,3,speaker,"purple fly"
3571-e,1620238659943,4,speaker,"brown tall"
3571-e,1620238669659,5,speaker,"red color"
3571-e,1620238679383,6,speaker,"green"
3571-e,1620238689152,7,speaker,"green"
3571-e,1620238700775,8,speaker,"green"
3571-e,1620238713966,9,speaker,"orange"
3571-e,1620238732781,10,speaker,"all closed striped"
3571-e,1620238746863,11,speaker,"neat green"
3571-e,1620238760989,13,speaker,"dot green"
3571-e,1620238769791,14,speaker,"orange"
3571-e,1620238778407,15,speaker,"pink"
3571-e,1620238789077,16,speaker,"small yellow"
3571-e,1620238802771,17,speaker,"odd one out color"
3571-e,1620238814265,18,speaker,"biggest"
3571-e,1620238825951,19,speaker,"odd one out color"
3571-e,1620238837111,20,speaker,"odd one"
3571-e,1620238845605,21,speaker,"bark"
3571-e,1620238859315,22,speaker,"brown "
3571-e,1620238878086,23,speaker,"long black and white"
3571-e,1620238887686,24,speaker,"pink"
3571-e,1620238897031,25,speaker,"smallest"
3571-e,1620238907886,26,speaker,"biggest"
3571-e,1620238916243,27,speaker,"smallest"
3571-e,1620238924730,28,speaker,"small"
3571-e,1620238934141,29,speaker,"odd one"
3571-e,1620238950315,30,speaker,"short sad "
3571-e,1620238964327,31,speaker,"short black"
3571-e,1620238974093,32,speaker,"eat"
3571-e,1620238988848,33,speaker,"shiny red"
3571-e,1620238998175,34,speaker,"swim"
3571-e,1620239011661,35,speaker,"two legged"
3571-e,1620239029858,36,speaker,"straight light"
3571-e,1620239042648,37,speaker,"small tri"
3571-e,1620239051601,38,speaker,"odd"
3571-e,1620239063705,39,speaker,"old smile"
3571-e,1620239075466,40,speaker,"pink"
3571-e,1620239092665,41,speaker,"milk"
3571-e,1620239104849,42,speaker,"shiny"
3571-e,1620239114143,43,speaker,"large"
3571-e,1620239124715,44,speaker,"odd"
3571-e,1620239137679,45,speaker,"pour in it"
3571-e,1620239150423,46,speaker,"tiny"
3571-e,1620239158322,47,speaker,"big"
3571-e,1620239167475,48,speaker,"big"
3571-e,1620239175396,49,speaker,"small"
3571-e,1620239184722,50,speaker,"small"
3571-e,1620239191859,51,speaker,"odd"
3571-e,1620239203385,52,speaker,"odd color"
3571-e,1620239216258,53,speaker,"big stripe"
3571-e,1620239230258,54,speaker,"big silver"
3571-e,1620239242577,55,speaker,"cap beard"
3571-e,1620239255051,56,speaker,"odd size"
3571-e,1620239271748,57,speaker,"nothing"
3571-e,1620239284090,58,speaker,"old clean shave"
3571-e,1620239294458,59,speaker,"odd color"
3571-e,1620239302482,60,speaker,"big"
3571-e,1620239304447,60,listener,"thanks"
