gameid,time,roundNum,sender,contents
9368-4,1620240333320,1,speaker,"it it"
9368-4,1620240363098,2,speaker,"it it"
9368-4,1620240367993,2,listener,"what?"
9368-4,1620240381500,2,speaker,"two"
9368-4,1620240398315,2,speaker,"elephant"
9368-4,1620240428762,3,speaker,"buteerfly"
9368-4,1620240443010,4,speaker,"hourse"
9368-4,1620240469656,5,speaker,"straber"
9368-4,1620240500632,6,speaker,"red eye"
9368-4,1620240521168,6,listener,"three of them red"
9368-4,1620240535236,6,speaker,"small one"
9368-4,1620240547679,7,speaker,"pink"
9368-4,1620240575782,8,speaker,"orange"
9368-4,1620240608410,8,speaker,"mat finish"
9368-4,1620240633164,9,speaker,"black curly"
9368-4,1620240649670,10,speaker,"sky blu"
9368-4,1620240661974,11,speaker,"githar"
9368-4,1620240679009,12,speaker,"big red"
9368-4,1620240689385,13,speaker,"fish"
9368-4,1620240700402,14,speaker,"red"
9368-4,1620240730865,15,speaker,"too much shade"
9368-4,1620240771722,15,listener,"huh?"
9368-4,1620240781181,15,speaker,"silver MIXED WOOD"
9368-4,1620240814745,16,speaker,"small yellow"
9368-4,1620240840672,17,speaker,"small blu"
9368-4,1620240850378,18,speaker,"blu"
9368-4,1620240875892,19,speaker,"old cry face"
9368-4,1620240902953,20,speaker,"red with no iron"
9368-4,1620240921759,21,speaker,"smal blu"
9368-4,1620240930536,22,speaker,"dog"
9368-4,1620240943200,23,speaker,"yellow"
9368-4,1620240955416,24,speaker,"small green"
9368-4,1620240964092,25,speaker,"yellow"
9368-4,1620240975914,26,speaker,"red"
9368-4,1620241006759,27,speaker,"wood big"
9368-4,1620241012885,27,speaker,"zoom"
9368-4,1620241022475,28,speaker,"yellow"
9368-4,1620241037745,29,speaker,"big one"
9368-4,1620241069397,30,speaker,"small triangle "
9368-4,1620241084834,31,speaker,"blu"
9368-4,1620241098555,32,speaker,"big"
9368-4,1620241113015,33,speaker,"small blu"
9368-4,1620241125359,34,speaker,"red"
9368-4,1620241141954,35,speaker,"big yellow"
9368-4,1620241154914,36,speaker,"white"
9368-4,1620241165572,37,speaker,"carrot"
9368-4,1620241183298,38,speaker,"small yellow"
9368-4,1620241192091,39,speaker,"cow"
9368-4,1620241206905,40,speaker,"small red"
9368-4,1620241217209,41,speaker,"green"
9368-4,1620241227641,42,speaker,"blu"
9368-4,1620241236567,43,speaker,"red"
9368-4,1620241247067,44,speaker,"door"
9368-4,1620241278940,45,speaker,"small anger face"
9368-4,1620241318330,46,speaker,"no cap no bread"
9368-4,1620241376030,47,speaker,"tee shirt with beard"
9368-4,1620241387366,48,speaker,"pig"
9368-4,1620241435152,49,speaker,"close cardbord"
9368-4,1620241448983,50,speaker,"big"
9368-4,1620241472248,51,speaker,"big black"
9368-4,1620241500159,52,speaker,"big black & white"
9368-4,1620241524765,53,speaker,"rose color"
9368-4,1620241540088,54,speaker,"big blu"
9368-4,1620241559496,55,speaker,"small plastic"
9368-4,1620241574774,56,speaker,"red dot"
9368-4,1620241587412,57,speaker,"bowl"
9368-4,1620241598606,58,speaker,"chicken"
9368-4,1620241612353,59,speaker,"blu"
9368-4,1620241626587,60,speaker,"white small"
