gameid,time,roundNum,sender,contents
6362-d,1620228715823,1,speaker,"the object is a tomato"
6362-d,1620228727076,2,speaker,"elephant"
6362-d,1620228733693,3,speaker,"butterfly"
6362-d,1620228739167,4,speaker,"horse"
6362-d,1620228747484,5,speaker,"strawberry"
6362-d,1620228756308,6,speaker,"smaller black cat"
6362-d,1620228768541,7,speaker,"smaller blue chair"
6362-d,1620228777308,8,speaker,"silver lock"
6362-d,1620228790868,9,speaker,"colored square painting"
6362-d,1620228799910,10,speaker,"big blue button"
6362-d,1620228820899,11,speaker,"pink balloon (all I can see)"
6362-d,1620228835131,12,speaker,"smaller blue knife"
6362-d,1620228848716,13,speaker,"angry older women"
6362-d,1620228860420,14,speaker,"curly brown hair"
6362-d,1620228873720,15,speaker,"blue skirt"
6362-d,1620228885352,16,speaker,"smaller orange"
6362-d,1620228895042,17,speaker,"black"
6362-d,1620228908441,18,speaker,"older bald beardless"
6362-d,1620228916760,19,speaker,"pink"
6362-d,1620228926930,20,speaker,"green"
6362-d,1620228935924,21,speaker,"green spotted"
6362-d,1620228946091,22,speaker,"chick"
6362-d,1620228954770,23,speaker,"pig"
6362-d,1620228962344,24,speaker,"smaller blue"
6362-d,1620228968909,25,speaker,"fish"
6362-d,1620228982247,26,speaker,"small glass bottle"
6362-d,1620228989694,27,speaker,"orange"
6362-d,1620229002687,28,speaker,"goatee w/ hat"
6362-d,1620229017021,29,speaker,"smaller red"
6362-d,1620229027826,30,speaker,"clean silver"
6362-d,1620229038007,31,speaker,"green"
6362-d,1620229050382,32,speaker,"smaller gold"
6362-d,1620229062046,33,speaker,"large triangle"
6362-d,1620229071402,34,speaker,"small red"
6362-d,1620229076874,35,speaker,"dog"
6362-d,1620229084723,36,speaker,"open wooden"
6362-d,1620229097330,37,speaker,"dry red"
6362-d,1620229109415,38,speaker,"large blue"
6362-d,1620229118362,39,speaker,"large red"
6362-d,1620229125007,40,speaker,"green"
6362-d,1620229136951,41,speaker,"tall white"
6362-d,1620229144203,42,speaker,"door"
6362-d,1620229151694,43,speaker,"carrot"
6362-d,1620229158300,44,speaker,"small yellow"
6362-d,1620229165208,45,speaker,"small green"
6362-d,1620229169881,46,speaker,"cow"
6362-d,1620229175167,47,speaker,"green"
6362-d,1620229180840,48,speaker,"guitar"
6362-d,1620229185419,49,speaker,"blue"
6362-d,1620229190811,50,speaker,"pink"
6362-d,1620229207213,51,speaker,"sad larger"
6362-d,1620229214216,52,speaker,"green"
6362-d,1620229220954,53,speaker,"smaller purple"
6362-d,1620229226058,54,speaker,"bowl"
6362-d,1620229231992,55,speaker,"smaller red"
6362-d,1620229242698,56,speaker,"non glossy red"
6362-d,1620229250394,57,speaker,"green"
6362-d,1620229255341,58,speaker,"red"
6362-d,1620229260552,59,speaker,"banana"
6362-d,1620229266857,60,speaker,"larger greebn"
