gameid,time,roundNum,sender,contents
8450-3,1620228816398,1,listener,"hello"
8450-3,1620228821447,1,speaker,"hello"
8450-3,1620228834758,1,listener,"please let me know what to click on"
8450-3,1620228863408,1,speaker,"click tomatto"
8450-3,1620228880633,2,speaker,"click elephant"
8450-3,1620228885860,2,listener,"just keep firing away with what to click on im ready"
8450-3,1620228893006,3,speaker,"betterfly"
8450-3,1620228900976,4,speaker,"horse"
8450-3,1620228910565,5,speaker,"stawberry"
8450-3,1620228920378,6,speaker,"small key"
8450-3,1620228939506,7,speaker,"ballon yellow"
8450-3,1620228951509,8,speaker,"small blue bag"
8450-3,1620228981308,9,speaker,"small blue tie"
8450-3,1620228990981,10,speaker,"blowl"
8450-3,1620228998103,11,speaker,"dog"
8450-3,1620229018060,12,speaker,"white bread guy"
8450-3,1620229030866,12,speaker,"looks little old"
8450-3,1620229043869,12,listener,"with beard?"
8450-3,1620229051905,12,speaker,"yes"
8450-3,1620229062019,13,speaker,"red"
8450-3,1620229077089,14,speaker,"green dot frog"
8450-3,1620229086733,15,speaker,"red"
8450-3,1620229102737,16,speaker,"big blue knife"
8450-3,1620229122034,17,speaker,"short wooden table"
8450-3,1620229132530,18,speaker,"green"
8450-3,1620229141087,19,speaker,"small white"
8450-3,1620229151864,20,speaker,"guitar "
8450-3,1620229165804,21,speaker,"smiling old lady"
8450-3,1620229183140,22,speaker,"big plastic bottle"
8450-3,1620229195260,23,speaker,"big blue"
8450-3,1620229201966,24,speaker,"gerrn"
8450-3,1620229210373,25,speaker,"banana"
8450-3,1620229229542,26,speaker,"big black and white frame"
8450-3,1620229238005,27,speaker,"cow"
8450-3,1620229254933,28,speaker,"brown stright"
8450-3,1620229281651,29,speaker,"silver spoon with some dirt"
8450-3,1620229294669,30,speaker,"big rectangle"
8450-3,1620229304063,30,listener,"triangle?"
8450-3,1620229309928,30,speaker,"sry "
8450-3,1620229320622,31,speaker,"small blue"
8450-3,1620229331656,32,speaker,"small pink"
8450-3,1620229343208,33,speaker,"small green"
8450-3,1620229351689,34,speaker,"small red"
8450-3,1620229357436,35,speaker,"fish"
8450-3,1620229364003,36,speaker,"pig"
8450-3,1620229371209,37,speaker,"blue"
8450-3,1620229386996,38,speaker,"green wrinkle"
8450-3,1620229394710,39,speaker,"big blue"
8450-3,1620229405923,40,speaker,"door"
8450-3,1620229431085,41,speaker,"without bread and with specs"
8450-3,1620229445027,42,speaker,"pink"
8450-3,1620229453689,43,speaker,"small green"
8450-3,1620229460303,44,speaker,"green"
8450-3,1620229467866,45,speaker,"small yellow"
8450-3,1620229475246,46,speaker,"orange'"
8450-3,1620229480453,47,speaker,"green"
8450-3,1620229486229,48,speaker,"blue"
8450-3,1620229492573,49,speaker,"blue"
8450-3,1620229508456,50,speaker,"glocy black"
8450-3,1620229533208,51,speaker,"sad big "
8450-3,1620229547020,52,speaker,"small "
8450-3,1620229553787,53,speaker,"small"
8450-3,1620229561632,54,speaker,"big "
8450-3,1620229570215,55,speaker,"sliver"
8450-3,1620229576578,56,speaker,"small "
8450-3,1620229583699,57,speaker,"white"
8450-3,1620229589379,58,speaker,"carrot"
8450-3,1620229600816,59,speaker,"closed plain box"
8450-3,1620229612865,60,speaker,"ckikken"
