gameid,time,roundNum,sender,contents
2429-5,1620229127877,1,listener,"hi"
2429-5,1620229128541,1,speaker,"Tomato"
2429-5,1620229138549,2,speaker,"elephant"
2429-5,1620229147757,3,speaker,"butterfly"
2429-5,1620229162773,4,speaker,"horse"
2429-5,1620229174165,5,speaker,"strawberry"
2429-5,1620229200149,6,speaker,"largest picture of red glasses"
2429-5,1620229212749,7,speaker,"green socks"
2429-5,1620229227229,8,speaker,"blue scissors"
2429-5,1620229241045,9,speaker,"smallest yellow egg"
2429-5,1620229258030,10,speaker,"youngest man with beard"
2429-5,1620229272125,11,speaker,"largest blue auto"
2429-5,1620229283237,12,speaker,"large white cat"
2429-5,1620229298926,13,speaker,"smallest blue brush"
2429-5,1620229309478,14,speaker,"door"
2429-5,1620229322422,15,speaker,"green stripped frog"
2429-5,1620229336214,16,speaker,"cow"
2429-5,1620229353526,17,speaker,"green brush"
2429-5,1620229366112,18,speaker,"small purple clock"
2429-5,1620229390335,19,speaker,"large orange glove"
2429-5,1620229400774,20,speaker,"green skirt"
2429-5,1620229416935,21,speaker,"large yellow chair"
2429-5,1620229424119,22,speaker,"pig"
2429-5,1620229435783,23,speaker,"red lipstick"
2429-5,1620229450655,24,speaker,"green wrinkled shorts"
2429-5,1620229464791,25,speaker,"red tie"
2429-5,1620229471327,26,speaker,"dog"
2429-5,1620229488567,27,speaker,"black flat polished hand"
2429-5,1620229516567,28,speaker,"frowning widest faced"
2429-5,1620229535864,30,speaker,"long strait blond"
2429-5,1620229551664,31,speaker,"empty frame"
2429-5,1620229561808,32,speaker,"blue umbrella"
2429-5,1620229571616,33,speaker,"yellow shoe"
2429-5,1620229586744,34,speaker,"large blue pencil"
2429-5,1620229612899,35,speaker,"square colored mountain pic"
2429-5,1620229625680,36,speaker,"Large green dress"
2429-5,1620229652417,37,speaker,"bananna"
2429-5,1620229659761,38,speaker,"carrot"
2429-5,1620229676801,39,speaker,"bearded man with glasses"
2429-5,1620229689825,40,speaker,"white lighter"
2429-5,1620229703113,41,speaker,"tall gray table"
2429-5,1620229720328,42,speaker,"small red apple"
2429-5,1620229729537,43,speaker,"fish"
2429-5,1620229742778,44,speaker,"small silver key"
2429-5,1620229750794,45,speaker,"red pepper"
2429-5,1620229770913,46,speaker,"large bottle with ridges"
2429-5,1620229785930,47,speaker,"orange shirt"
2429-5,1620229794250,48,speaker,"guitar"
2429-5,1620229807794,49,speaker,"large blue bag"
2429-5,1620229822082,50,speaker,"small yellow flower"
2429-5,1620229838506,51,speaker,"small triangle earrings"
2429-5,1620229852738,52,speaker,"frowning older lady"
2429-5,1620229870539,53,speaker,"closed wood box"
2429-5,1620229881787,54,speaker,"green pan"
2429-5,1620229889866,55,speaker,"gold lock"
2429-5,1620229909507,56,speaker,"shiny silver spoon with food "
2429-5,1620229920691,57,speaker,"glass bowl"
2429-5,1620229932003,58,speaker,"small blue knife"
2429-5,1620229943915,59,speaker,"pink pants"
2429-5,1620229952787,60,speaker,"large green button"
