gameid,time,roundNum,sender,contents
2113-1,1620229449230,1,speaker,"food"
2113-1,1620229455251,1,listener,"tomato"
2113-1,1620229463849,2,speaker,"animal"
2113-1,1620229472814,3,speaker,"wings"
2113-1,1620229492096,4,speaker,"can ride it"
2113-1,1620229503119,5,speaker,"red fruit"
2113-1,1620229521393,6,speaker,"smallest"
2113-1,1620229530949,6,speaker,"not black and white"
2113-1,1620229579460,7,speaker,"2 legs"
2113-1,1620229590885,8,speaker,"small yellow"
2113-1,1620229597022,9,speaker,"red"
2113-1,1620229607526,10,speaker,"large blue"
2113-1,1620229616167,11,speaker,"curly blonde"
2113-1,1620229638713,12,speaker,"big square chin"
2113-1,1620229654353,13,speaker,"small ridged"
2113-1,1620229663722,14,speaker,"shiny black"
2113-1,1620229673139,15,speaker,"red"
2113-1,1620229679211,16,speaker,"green"
2113-1,1620229686740,17,speaker,"big orange"
2113-1,1620229701338,17,speaker,"largest"
2113-1,1620229711167,18,speaker,"animal"
2113-1,1620229717270,19,speaker,"pink"
2113-1,1620229735487,20,speaker,"orange"
2113-1,1620229754465,21,speaker,"nothing in my square"
2113-1,1620229770913,22,speaker,"red less wrinkles"
2113-1,1620229779163,23,speaker,"large blue"
2113-1,1620229805244,24,speaker,"old bald no facial hair"
2113-1,1620229817868,25,speaker,"entryway"
2113-1,1620229828054,26,speaker,"green"
2113-1,1620229834239,27,speaker,"yellow"
2113-1,1620229842023,28,speaker,"large "
2113-1,1620229843358,28,speaker,"yellow"
2113-1,1620229854272,29,speaker,"large green"
2113-1,1620229861623,30,speaker,"large blue"
2113-1,1620229868432,31,speaker,"blue"
2113-1,1620229875520,32,speaker,"smallest"
2113-1,1620229885825,33,speaker,"clear"
2113-1,1620229891691,34,speaker,"yellow"
2113-1,1620229898665,35,speaker,"large red"
2113-1,1620229905522,36,speaker,"small blue"
2113-1,1620229910811,37,speaker,"pink"
2113-1,1620229923868,38,speaker,"large triangle"
2113-1,1620229931996,39,speaker,"large black"
2113-1,1620229938148,40,speaker,"pink"
2113-1,1620229949230,41,speaker,"crate no lid"
2113-1,1620229987815,42,speaker,"swims"
2113-1,1620229994482,43,speaker,"white"
2113-1,1620230001368,44,speaker,"pet"
2113-1,1620230007465,45,speaker,"green"
2113-1,1620230022714,46,speaker,"small white"
2113-1,1620230029131,47,speaker,"green"
2113-1,1620230036292,48,speaker,"small yellow"
2113-1,1620230051796,49,speaker,"rusty"
2113-1,1620230063638,50,speaker,"black hair crying"
2113-1,1620230071998,51,speaker,"green"
2113-1,1620230074094,51,speaker,"music"
2113-1,1620230077927,52,speaker,"blue"
2113-1,1620230082558,53,speaker,"green"
2113-1,1620230089503,54,speaker,"stripe green"
2113-1,1620230102745,55,speaker,"big white"
2113-1,1620230110313,56,speaker,"small blue"
2113-1,1620230123155,57,speaker,"beard glasses"
2113-1,1620230130609,58,speaker,"silver"
2113-1,1620230136204,59,speaker,"big red"
2113-1,1620230141627,60,speaker,"small gold"
