gameid,time,roundNum,sender,contents
3281-6,1620229660482,1,listener,"Hello."
3281-6,1620229944283,2,speaker,"elephant"
3281-6,1620229956167,2,speaker,"hi"
3281-6,1620229960568,2,speaker,"are you there"
3281-6,1620229973650,2,listener,"Yes."
3281-6,1620229983510,2,speaker,"please do quickly"
3281-6,1620229988488,3,speaker,"butterfly"
3281-6,1620230006779,4,speaker,"horse"
3281-6,1620230021200,5,speaker,"strawberry"
3281-6,1620230036643,6,speaker,"beige straight"
3281-6,1620230050467,7,speaker,"yellow tshirt"
3281-6,1620230057599,8,speaker,"red"
3281-6,1620230063989,9,speaker,"dog"
3281-6,1620230076669,10,speaker,"small cat"
3281-6,1620230079829,11,speaker,"black"
3281-6,1620230089525,11,speaker,"largest"
3281-6,1620230099025,12,speaker,"round big"
3281-6,1620230108883,13,speaker,"red largest"
3281-6,1620230117675,14,speaker,"banana"
3281-6,1620230127232,15,speaker,"open box no top"
3281-6,1620230135852,16,speaker,"big purple"
3281-6,1620230148419,17,speaker,"long leg wood"
3281-6,1620230157168,18,speaker,"old beard"
3281-6,1620230174109,19,speaker,"green"
3281-6,1620230207901,20,speaker,"big green"
3281-6,1620230215434,21,speaker,"fish"
3281-6,1620230222107,22,speaker,"blue"
3281-6,1620230233092,23,speaker,"young smile"
3281-6,1620230240187,24,speaker,"carrot"
3281-6,1620230248850,25,speaker,"yellow"
3281-6,1620230251409,25,speaker,"small"
3281-6,1620230259113,26,speaker,"big pink"
3281-6,1620230265452,27,speaker,"yellow"
3281-6,1620230273581,28,speaker,"green"
3281-6,1620230281959,29,speaker,"hen"
3281-6,1620230289411,30,speaker,"yellow big"
3281-6,1620230300335,31,speaker,"black small"
3281-6,1620230306585,32,speaker,"cow"
3281-6,1620230315524,33,speaker,"small smile"
3281-6,1620230324102,34,speaker,"green small"
3281-6,1620230335313,35,speaker,"black mate"
3281-6,1620230347230,36,speaker,"large black and white"
3281-6,1620230358178,37,speaker,"blue small"
3281-6,1620230367285,38,speaker,"silver small"
3281-6,1620230372745,39,speaker,"blue"
3281-6,1620230379931,40,speaker,"purple"
3281-6,1620230386615,41,speaker,"blue"
3281-6,1620230393633,42,speaker,"bowl"
3281-6,1620230399724,43,speaker,"pink"
3281-6,1620230405454,44,speaker,"yellow"
3281-6,1620230413953,45,speaker,"no peanut"
3281-6,1620230423486,46,speaker,"plastic big"
3281-6,1620230434207,47,speaker,"white"
3281-6,1620230441153,48,speaker,"red small"
3281-6,1620230448539,49,speaker,"green small"
3281-6,1620230456180,50,speaker,"silver big"
3281-6,1620230462280,51,speaker,"green"
3281-6,1620230474386,52,speaker,"green unwrinkled"
3281-6,1620230481747,53,speaker,"small blue"
3281-6,1620230486938,54,speaker,"door"
3281-6,1620230493483,55,speaker,"pink"
3281-6,1620230500593,56,speaker,"guitar"
3281-6,1620230507845,57,speaker,"red dot"
3281-6,1620230514733,58,speaker,"pig"
3281-6,1620230524858,59,speaker,"hat and beard"
3281-6,1620230529198,60,speaker,"long"
3281-6,1620230534793,60,speaker,"small red"
