gameid,time,roundNum,sender,contents
6441-1,1620229759473,1,speaker,"hi"
6441-1,1620229767104,1,listener,"hi there"
6441-1,1620229770022,1,speaker,"tomoto"
6441-1,1620229789902,2,speaker,"hi "
6441-1,1620229796370,2,listener,"hi again"
6441-1,1620229797550,2,speaker,"elephant"
6441-1,1620229809215,3,speaker,"hi"
6441-1,1620229815718,3,speaker,"2"
6441-1,1620229826509,3,listener,"2 what?"
6441-1,1620229836543,3,speaker,"strawberry"
6441-1,1620229849135,4,speaker,"tomoto"
6441-1,1620229860511,5,speaker,"strawberry"
6441-1,1620229870135,6,speaker,"tomoto"
6441-1,1620229885615,7,speaker,"little red bag"
6441-1,1620229918600,8,speaker,"red hand"
6441-1,1620229928875,8,listener,"which one?"
6441-1,1620229937151,8,speaker,"4"
6441-1,1620229963140,9,speaker,"long black oencil"
6441-1,1620229980319,10,speaker,"strawberry"
6441-1,1620229994026,11,speaker,"little brush"
6441-1,1620230015265,12,speaker,"little table"
6441-1,1620230043385,13,speaker,"option 3"
6441-1,1620230067920,14,speaker,"1st option"
6441-1,1620230082056,15,speaker,"4th option"
6441-1,1620230096393,16,speaker,"strawberry"
6441-1,1620230107563,17,speaker,"2nd option"
6441-1,1620230118792,18,speaker,"2nd option"
6441-1,1620230130071,19,speaker,"1st"
6441-1,1620230141905,20,speaker,"3"
6441-1,1620230155138,21,speaker,"3"
6441-1,1620230165393,22,speaker,"1"
6441-1,1620230176808,23,speaker,"3"
6441-1,1620230185681,24,speaker,"2"
6441-1,1620230196065,25,speaker,"3"
6441-1,1620230203665,26,speaker,"3"
6441-1,1620230213153,27,speaker,"1"
6441-1,1620230223282,28,speaker,"4"
6441-1,1620230234033,29,speaker,"2"
6441-1,1620230241153,30,speaker,"2"
6441-1,1620230254412,31,speaker,"4"
6441-1,1620230264442,32,speaker,"1"
6441-1,1620230272155,33,speaker,"2"
6441-1,1620230277129,34,speaker,"5"
6441-1,1620230280013,34,speaker,"3"
6441-1,1620230286745,35,speaker,"3"
6441-1,1620230291931,36,speaker,"3"
6441-1,1620230295979,37,speaker,"2"
6441-1,1620230303713,38,speaker,"3"
6441-1,1620230310660,39,speaker,"2"
6441-1,1620230317337,40,speaker,"3"
6441-1,1620230330025,41,speaker,"3"
6441-1,1620230337220,42,speaker,"2"
6441-1,1620230345738,43,speaker,"2"
6441-1,1620230352818,44,speaker,"1"
6441-1,1620230357730,45,speaker,"2"
6441-1,1620230364956,46,speaker,"1"
6441-1,1620230373977,47,speaker,"4"
6441-1,1620230382922,48,speaker,"2"
6441-1,1620230392794,49,speaker,"2"
6441-1,1620230399658,50,speaker,"1"
6441-1,1620230407042,51,speaker,"1"
6441-1,1620230418412,53,speaker,"4"
6441-1,1620230427325,54,speaker,"2"
6441-1,1620230451332,55,speaker,"2"
6441-1,1620230457456,56,speaker,"1"
6441-1,1620230476786,57,speaker,"2"
6441-1,1620230483018,58,speaker,"2"
6441-1,1620230487186,60,speaker,"1"
