gameid,time,roundNum,sender,contents
7353-8,1620229798922,1,speaker,"you eat it"
7353-8,1620229809552,2,speaker,"has a trunk"
7353-8,1620229817911,3,speaker,"compound word"
7353-8,1620229825923,4,speaker,"neigh"
7353-8,1620229832125,5,speaker,"food"
7353-8,1620229841695,6,speaker,"long and blue"
7353-8,1620229855449,7,speaker,"scared"
7353-8,1620229866927,8,speaker,"dirty wooden"
7353-8,1620229872605,9,speaker,"green"
7353-8,1620229879781,10,speaker,"clear"
7353-8,1620229886311,11,speaker,"smallest"
7353-8,1620229891117,12,speaker,"oink"
7353-8,1620229895962,13,speaker,"silver"
7353-8,1620229902236,14,speaker,"tiniest"
7353-8,1620229909078,15,speaker,"orange"
7353-8,1620229915514,16,speaker,"largest"
7353-8,1620229924437,17,speaker,"brown"
7353-8,1620229934334,18,speaker,"small and round"
7353-8,1620229940309,19,speaker,"largest"
7353-8,1620229948726,20,speaker,"small colorful"
7353-8,1620229954498,21,speaker,"smallest"
7353-8,1620229959576,22,speaker,"mooooo"
7353-8,1620229963842,23,speaker,"black"
7353-8,1620229968620,24,speaker,"largest"
7353-8,1620229976311,25,speaker,"play music"
7353-8,1620229982289,26,speaker,"nemo"
7353-8,1620229988179,27,speaker,"green"
7353-8,1620229992992,28,speaker,"blue"
7353-8,1620229998935,29,speaker,"smallest"
7353-8,1620230004852,30,speaker,"largest"
7353-8,1620230009725,31,speaker,"largest"
7353-8,1620230017984,32,speaker,"reddish orange"
7353-8,1620230024447,33,speaker,"yellow"
7353-8,1620230036884,34,speaker,"short brown"
7353-8,1620230043544,35,speaker,"small plastic"
7353-8,1620230055059,36,speaker,"bald clean shaven"
7353-8,1620230065372,37,speaker,"closed crate"
7353-8,1620230072280,38,speaker,"blue"
7353-8,1620230088941,39,speaker,"hat mustache goatee"
7353-8,1620230097103,40,speaker,"small blue"
7353-8,1620230104429,41,speaker,"peep"
7353-8,1620230111098,42,speaker,"smallest"
7353-8,1620230117754,43,speaker,"smallest"
7353-8,1620230125044,44,speaker,"straight brown"
7353-8,1620230130820,45,speaker,"blue"
7353-8,1620230137612,46,speaker,"shiny black"
7353-8,1620230143320,47,speaker,"largest"
7353-8,1620230150677,48,speaker,"nada"
7353-8,1620230156225,49,speaker,"smallest"
7353-8,1620230161419,50,speaker,"bark"
7353-8,1620230170596,51,speaker,"yellow"
7353-8,1620230175849,52,speaker,"smallest"
7353-8,1620230187323,53,speaker,"short green non wrinkled"
7353-8,1620230197870,54,speaker,"green dots"
7353-8,1620230208844,55,speaker,"pinkish purple"
7353-8,1620230217364,56,speaker,"blue"
7353-8,1620230222337,57,speaker,"green"
7353-8,1620230235205,58,speaker,"young cringing"
7353-8,1620230241820,59,speaker,"blue"
7353-8,1620230246384,60,speaker,"green"
7353-8,1620230253573,60,listener,":)"
