gameid,time,roundNum,sender,contents
0363-a,1620229825710,1,speaker,"tomato"
0363-a,1620229848068,2,speaker,"elephant"
0363-a,1620229865405,3,speaker,"butterfly"
0363-a,1620229873168,4,speaker,"horse"
0363-a,1620229885760,5,speaker,"berry"
0363-a,1620229901399,6,speaker,"blue"
0363-a,1620229911245,7,speaker,"green"
0363-a,1620229922293,8,speaker,"small red"
0363-a,1620229931032,9,speaker,"blue"
0363-a,1620229941173,10,speaker,"pink"
0363-a,1620229954736,11,speaker,"smooth wood"
0363-a,1620229968534,12,speaker,"small"
0363-a,1620229977017,13,speaker,"big"
0363-a,1620229987720,14,speaker,"big black"
0363-a,1620229994655,15,speaker,"green"
0363-a,1620230002762,16,speaker,"carrot"
0363-a,1620230009488,17,speaker,"big"
0363-a,1620230023814,18,speaker,"smallest white"
0363-a,1620230032406,19,speaker,"yellow"
0363-a,1620230040250,20,speaker,"smallest"
0363-a,1620230048103,21,speaker,"biggest"
0363-a,1620230056143,22,speaker,"smallest"
0363-a,1620230063888,23,speaker,"white"
0363-a,1620230070356,24,speaker,"bowl"
0363-a,1620230081993,25,speaker,"small color"
0363-a,1620230090742,26,speaker,"banana"
0363-a,1620230098369,27,speaker,"green"
0363-a,1620230106021,28,speaker,"big"
0363-a,1620230115707,29,speaker,"green"
0363-a,1620230126951,30,speaker,"big smooth"
0363-a,1620230149099,31,speaker,"red not shiny"
0363-a,1620230164315,32,speaker,"fat not smiling"
0363-a,1620230174125,33,speaker,"biggest"
0363-a,1620230181652,34,speaker,"pig"
0363-a,1620230190008,35,speaker,"biggesst"
0363-a,1620230196581,36,speaker,"green"
0363-a,1620230204279,37,speaker,"cow"
0363-a,1620230220322,38,speaker,"glasses mustache"
0363-a,1620230229231,39,speaker,"green"
0363-a,1620230240711,40,speaker,"big triangle"
0363-a,1620230251088,41,speaker,"blank"
0363-a,1620230258429,42,speaker,"red"
0363-a,1620230267672,43,speaker,"wrinkled red"
0363-a,1620230278640,44,speaker,"curly blonde"
0363-a,1620230288351,45,speaker,"pink"
0363-a,1620230296579,46,speaker,"small"
0363-a,1620230303726,47,speaker,"green"
0363-a,1620230317658,48,speaker,"door"
0363-a,1620230330226,49,speaker,"dog"
0363-a,1620230338490,50,speaker,"fish"
0363-a,1620230349948,51,speaker,"young bald"
0363-a,1620230358547,52,speaker,"blue"
0363-a,1620230366183,53,speaker,"big"
0363-a,1620230373930,54,speaker,"chick"
0363-a,1620230383256,55,speaker,"stripe red"
0363-a,1620230396493,56,speaker,"crying young"
0363-a,1620230405191,57,speaker,"big"
0363-a,1620230415982,58,speaker,"closed cardboard"
0363-a,1620230427124,59,speaker,"small"
0363-a,1620230435553,60,speaker,"big"
