gameid,time,roundNum,sender,contents
0108-5,1620230440973,1,speaker,"tomato"
0108-5,1620230464691,2,speaker,"elephant"
0108-5,1620230474348,3,speaker,"butterfly"
0108-5,1620230481919,4,speaker,"horse"
0108-5,1620230488281,5,speaker,"berry"
0108-5,1620230495891,6,speaker,"cow"
0108-5,1620230510416,7,speaker,"big white cat"
0108-5,1620230517512,8,speaker,"pig"
0108-5,1620230535650,9,speaker,"big plastic "
0108-5,1620230544393,10,speaker,"big yellow"
0108-5,1620230556294,11,speaker,"shiniest"
0108-5,1620230567571,12,speaker,"small circle"
0108-5,1620230576984,13,speaker,"bowl"
0108-5,1620230584153,14,speaker,"big blue"
0108-5,1620230594995,15,speaker,"small smiling"
0108-5,1620230613735,16,speaker,"small gray"
0108-5,1620230620483,17,speaker,"guitar"
0108-5,1620230630043,18,speaker,"biggest"
0108-5,1620230636560,19,speaker,"chick"
0108-5,1620230642987,20,speaker,"fish"
0108-5,1620230649601,21,speaker,"dog"
0108-5,1620230658455,22,speaker,"blank"
0108-5,1620230666225,23,speaker,"biggest"
0108-5,1620230671962,24,speaker,"red"
0108-5,1620230680990,25,speaker,"biggest"
0108-5,1620230687400,26,speaker,"smallest"
0108-5,1620230693777,27,speaker,"biggest"
0108-5,1620230705362,28,speaker,"closed cardboard"
0108-5,1620230714617,29,speaker,"red spotted"
0108-5,1620230722043,30,speaker,"blue"
0108-5,1620230730678,31,speaker,"orange"
0108-5,1620230736794,32,speaker,"green"
0108-5,1620230742141,33,speaker,"blue"
0108-5,1620230747012,34,speaker,"white"
0108-5,1620230754327,35,speaker,"carrot"
0108-5,1620230765337,36,speaker,"smallest"
0108-5,1620230772029,37,speaker,"biggest"
0108-5,1620230781930,38,speaker,"short wood"
0108-5,1620230789618,39,speaker,"purple"
0108-5,1620230804712,40,speaker,"glasses, mustache"
0108-5,1620230813271,41,speaker,"red"
0108-5,1620230820078,42,speaker,"yellow"
0108-5,1620230825169,43,speaker,"blue"
0108-5,1620230834667,44,speaker,"big green"
0108-5,1620230840187,45,speaker,"gold"
0108-5,1620230852142,46,speaker,"not wrinkled red"
0108-5,1620230869175,47,speaker,"curly blonde"
0108-5,1620230881439,48,speaker,"smallest"
0108-5,1620230887769,49,speaker,"banana"
0108-5,1620230893379,50,speaker,"door"
0108-5,1620230900728,51,speaker,"smallest"
0108-5,1620230911614,52,speaker,"young beard"
0108-5,1620230918753,53,speaker,"green"
0108-5,1620230939043,54,speaker,"dull black"
0108-5,1620230946530,55,speaker,"biggest"
0108-5,1620230958381,56,speaker,"young smiling"
0108-5,1620230964583,57,speaker,"purple"
0108-5,1620230970803,58,speaker,"red"
0108-5,1620230979644,59,speaker,"biggest"
0108-5,1620230988683,60,speaker,"small blue"
