gameid,time,roundNum,sender,contents
7185-4,1620231881992,1,listener,"pig"
7185-4,1620231888886,1,speaker,"red and round"
7185-4,1620231890813,1,listener,"horse"
7185-4,1620231899261,3,speaker,"purple"
7185-4,1620231900904,3,listener,"banana"
7185-4,1620231912314,4,listener,"tomato"
7185-4,1620231913171,4,speaker,"brown tall"
7185-4,1620231922627,5,listener,"dog"
7185-4,1620231922672,5,speaker,"red fruit"
7185-4,1620231932522,6,speaker,"dark red"
7185-4,1620231936921,6,listener,"green drawer"
7185-4,1620231946084,7,speaker,"green dress"
7185-4,1620231949093,7,listener,"blue"
