gameid,time,roundNum,sender,contents
2341-8,1620230661111,1,listener,"hi"
2341-8,1620230664874,1,speaker,"red"
2341-8,1620230666144,1,listener,"send quickly"
2341-8,1620230677458,2,speaker,"animal"
2341-8,1620230687398,3,speaker,"insect"
2341-8,1620230704008,4,speaker,"ride"
2341-8,1620230713247,5,speaker,"fruit"
2341-8,1620230730851,6,speaker,"small yellow"
2341-8,1620230747294,7,speaker,"low tan"
2341-8,1620230763225,8,speaker,"small oval"
2341-8,1620230784970,9,speaker,"red not so wrinkled"
2341-8,1620230795903,10,speaker,"yellow"
2341-8,1620230808327,11,speaker,"smallest"
2341-8,1620230816228,12,speaker,"red"
2341-8,1620230824990,13,speaker,"bowl"
2341-8,1620230842160,14,speaker,"blank"
2341-8,1620230855367,15,speaker,"small red"
2341-8,1620230867586,16,speaker,"instrument"
2341-8,1620230882400,17,speaker,"opening"
2341-8,1620230894388,18,speaker,"small blue"
2341-8,1620230902603,19,speaker,"green"
2341-8,1620230910579,20,speaker,"pink"
2341-8,1620230930321,21,speaker,"beard younger"
2341-8,1620230941658,22,speaker,"largest"
2341-8,1620230952954,23,speaker,"small blue"
2341-8,1620230960370,24,speaker,"green"
2341-8,1620230979602,25,speaker,"large smooth"
2341-8,1620230990617,26,speaker,"mammal"
2341-8,1620230999939,27,speaker,"green"
2341-8,1620231009852,28,speaker,"small blue"
2341-8,1620231017987,29,speaker,"yellow"
2341-8,1620231030603,30,speaker,"mammal"
2341-8,1620231040874,31,speaker,"small blue"
2341-8,1620231049939,32,speaker,"large"
2341-8,1620231058135,33,speaker,"oink"
2341-8,1620231070547,34,speaker,"large blue"
2341-8,1620231081115,35,speaker,"small green"
2341-8,1620231089755,36,speaker,"large"
2341-8,1620231108941,39,speaker,"bowl"
2341-8,1620231125283,41,speaker,"small red"
2341-8,1620231146119,42,speaker,"black shiny"
2341-8,1620231162844,43,speaker,"color large"
2341-8,1620231171758,44,speaker,"green"
2341-8,1620231184679,45,speaker,"small blue"
2341-8,1620231200566,46,speaker,"green white dots"
2341-8,1620231215589,47,speaker,"smile young"
2341-8,1620231228416,48,speaker,"brown curly"
2341-8,1620231240525,49,speaker,"dark"
2341-8,1620231259270,50,speaker,"small purple"
2341-8,1620231269413,51,speaker,"blue"
2341-8,1620231280028,52,speaker,"bird"
2341-8,1620231291501,53,speaker,"pink"
2341-8,1620231308228,54,speaker,"wooden closed"
2341-8,1620231329272,55,speaker,"smile thin"
2341-8,1620231346984,56,speaker,"silver clean"
2341-8,1620231358827,57,speaker,"green"
2341-8,1620231368760,58,speaker,"small green"
