gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
8178-7,1621384694768,1,clickedObj,,tomato,filler,none,target,4,1,horse,filler,none,distractor,2,4,fish,filler,none,distractor,3,3,pig,filler,none,distractor,1,2
8178-7,1621384733488,2,clickedObj,,elephant,filler,none,target,2,3,bowl,filler,none,distractor,1,2,guitar,filler,none,distractor,4,4,banana,filler,none,distractor,3,1
8178-7,1621384771918,3,clickedObj,,butterfly,filler,none,target,2,3,dog,filler,none,distractor,3,4,strawberry,filler,none,distractor,1,1,chick,filler,none,distractor,4,2
8178-7,1621384797535,4,clickedObj,,horse,filler,none,target,2,1,fish,filler,none,distractor,3,4,pig,filler,none,distractor,1,3,tomato,filler,none,distractor,4,2
8178-7,1621384838982,5,clickedObj,,strawberry,filler,none,target,3,2,dog,filler,none,distractor,4,1,chick,filler,none,distractor,2,4,butterfly,filler,none,distractor,1,3
8178-7,1621384874390,6,clickedObj,,pencil_long_blue,adjective_ordering,none,target,2,2,pencil_short_black,adjective_ordering,none,distractor,3,1,pencil_short_blue,adjective_ordering,none,distractor,4,4,pencil_long_black,adjective_ordering,none,distractor,1,3
8178-7,1621384907054,7,clickedObj,,carrot,filler,none,target,1,4,pitcher,filler,none,distractor,3,1,cow,filler,none,distractor,4,3,door,filler,none,distractor,2,2
8178-7,1621384942438,8,clickedObj,,skirt_small_blue,overinformativeness,color_sufficient,target,3,2,skirt_big_green,overinformativeness,color_sufficient,distractor,2,4,skirt_small_green,overinformativeness,color_sufficient,distractor,4,1,skirt_small_green,overinformativeness,color_sufficient,distractor,1,3
8178-7,1621384968549,9,clickedObj,,fish,filler,none,target,4,3,horse,filler,none,distractor,1,1,tomato,filler,none,distractor,2,4,pig,filler,none,distractor,3,2
8178-7,1621385004318,10,clickedObj,,bag_big_red,overinformativeness,size_sufficient,target,1,2,bag_small_red,overinformativeness,size_sufficient,distractor,2,4,bag_small_blue,overinformativeness,size_sufficient,distractor,4,1,bag_small_red,overinformativeness,size_sufficient,distractor,3,3
8178-7,1621385039430,11,clickedObj,,apple_big_green,overinformativeness,size_sufficient,target,2,4,apple_small_green,overinformativeness,size_sufficient,distractor,1,1,apple_small_green,overinformativeness,size_sufficient,distractor,4,3,apple_small_red,overinformativeness,size_sufficient,distractor,3,2
8178-7,1621385087670,12,clickedObj,,woman2_sad_fat,adjective_ordering,none,target,2,1,woman2_happy_fat,adjective_ordering,none,distractor,4,3,woman2_happy_skinny,adjective_ordering,none,distractor,1,2,woman2_sad_skinny,adjective_ordering,none,distractor,3,4
8178-7,1621385138901,13,clickedObj,,spoon_wooden_dirty,adjective_ordering,none,distractor,1,4,spoon_metal_dirty,adjective_ordering,none,target,3,3,spoon_wooden_clean,adjective_ordering,none,distractor,2,1,spoon_metal_clean,adjective_ordering,none,distractor,4,2
8178-7,1621385158941,14,clickedObj,,lighter_small_black,overinformativeness,color_sufficient,target,4,4,lighter_small_white,overinformativeness,color_sufficient,distractor,3,1,lighter_small_white,overinformativeness,color_sufficient,distractor,2,3,lighter_big_white,overinformativeness,color_sufficient,distractor,1,2
8178-7,1621385180077,15,clickedObj,,pants_small_green,overinformativeness,color_sufficient,target,4,4,pants_big_pink,overinformativeness,color_sufficient,distractor,1,1,pants_small_pink,overinformativeness,color_sufficient,distractor,3,2,pants_small_pink,overinformativeness,color_sufficient,distractor,2,3
8178-7,1621385200829,16,clickedObj,,baloon_small_yellow,overinformativeness,size_sufficient,target,2,1,balloon_big_yellow,overinformativeness,size_sufficient,distractor,1,3,balloon_big_pink,overinformativeness,size_sufficient,distractor,4,2,balloon_big_yellow,overinformativeness,size_sufficient,distractor,3,4
8178-7,1621385223548,17,clickedObj,,pig,filler,none,target,3,4,horse,filler,none,distractor,4,1,fish,filler,none,distractor,1,2,tomato,filler,none,distractor,2,3
8178-7,1621385247877,18,clickedObj,,hair_curly_blonde,adjective_ordering,none,target,1,4,hair_straight_brown,adjective_ordering,none,distractor,2,3,hair_curly_brown,adjective_ordering,none,distractor,3,2,hair_straight_blond,adjective_ordering,none,distractor,4,1
8178-7,1621385265124,19,clickedObj,,shoe_big_pink,overinformativeness,color_sufficient,target,3,1,shoe_big_yellow,overinformativeness,color_sufficient,distractor,4,4,shoe_big_yellow,overinformativeness,color_sufficient,distractor,1,3,show_small_yellow,overinformativeness,color_sufficient,distractor,2,2
8178-7,1621385302468,20,clickedObj,,woman_old_sad,adjective_ordering,none,target,3,1,woman_young_happy,adjective_ordering,none,distractor,1,2,woman_old_happy,adjective_ordering,none,distractor,2,3,woman_young_sad,adjective_ordering,none,distractor,4,4
8178-7,1621385322011,21,clickedObj,,tshirt_big_yellow,overinformativeness,color_sufficient,target,4,1,tshirt_big_orange,overinformativeness,color_sufficient,distractor,3,2,tshirt_big_orange,overinformativeness,color_sufficient,distractor,2,3,tshirt_small_orange,overinformativeness,color_sufficient,distractor,1,4
8178-7,1621385342428,22,clickedObj,,cat_small_black,overinformativeness,size_sufficient,target,2,1,cat_big_black,overinformativeness,size_sufficient,distractor,3,2,cat_big_white,overinformativeness,size_sufficient,distractor,1,3,cat_big_black,overinformativeness,size_sufficient,distractor,4,4
8178-7,1621385363964,23,clickedObj,,tie_small_red,overinformativeness,color_sufficient,target,1,4,tie_small_blue,overinformativeness,color_sufficient,distractor,2,2,tie_small_blue,overinformativeness,color_sufficient,distractor,3,3,tie_big_blue,overinformativeness,color_sufficient,distractor,4,1
8178-7,1621385378508,24,clickedObj,,cow,filler,none,target,2,1,pitcher,filler,none,distractor,3,2,carrot,filler,none,distractor,4,3,door,filler,none,distractor,1,4
8178-7,1621385410764,25,clickedObj,,picture_colored_square,adjective_ordering,none,target,2,4,picture_bw_square,adjective_ordering,none,distractor,1,2,picture_bw_rectangular,adjective_ordering,none,distractor,4,1,picture_colored_rectangular,adjective_ordering,none,distractor,3,3
8178-7,1621385427155,26,clickedObj,,door,filler,none,target,2,3,cow,filler,none,distractor,1,2,pitcher,filler,none,distractor,4,1,carrot,filler,none,distractor,3,4
8178-7,1621385443547,27,clickedObj,,dog,filler,none,target,1,1,strawberry,filler,none,distractor,4,2,butterfly,filler,none,distractor,3,4,chick,filler,none,distractor,2,3
8178-7,1621385464611,28,clickedObj,,chair_small_blue,overinformativeness,size_sufficient,target,3,4,chair_big_blue,overinformativeness,size_sufficient,distractor,1,3,chair_big_blue,overinformativeness,size_sufficient,distractor,2,1,chair_big_yellow,overinformativeness,size_sufficient,distractor,4,2
8178-7,1621385487563,29,clickedObj,,glove_big_green,overinformativeness,size_sufficient,target,1,1,glove_small_green,overinformativeness,size_sufficient,distractor,4,4,glove_small_green,overinformativeness,size_sufficient,distractor,3,2,glove_small_orange,overinformativeness,size_sufficient,distractor,2,3
8178-7,1621385510331,30,clickedObj,,car_small_green,overinformativeness,size_sufficient,target,4,2,car_big_green,overinformativeness,size_sufficient,distractor,1,3,car_big_blue,overinformativeness,size_sufficient,distractor,2,1,car_big_green,overinformativeness,size_sufficient,distractor,3,4
8178-7,1621385531539,31,clickedObj,,banana,filler,none,target,4,2,bowl,filler,none,distractor,1,1,guitar,filler,none,distractor,3,3,elephant,filler,none,distractor,2,4
8178-7,1621385555730,32,clickedObj,,pepper_big_green,overinformativeness,color_sufficient,target,2,1,pepper_big_red,overinformativeness,color_sufficient,distractor,3,3,pepper_small_red,overinformativeness,color_sufficient,distractor,1,4,pepper_big_red,overinformativeness,color_sufficient,distractor,4,2
8178-7,1621385577843,33,clickedObj,,dress_big_green,overinformativeness,size_sufficient,target,1,1,dress_small_green,overinformativeness,size_sufficient,distractor,4,4,dress_small_blue,overinformativeness,size_sufficient,distractor,3,3,dress_small_green,overinformativeness,size_sufficient,distractor,2,2
8178-7,1621385606387,34,clickedObj,,lipstick_big_red,overinformativeness,color_sufficient,target,2,3,lipstick_big_pink,overinformativeness,color_sufficient,distractor,3,2,lipstick_big_pink,overinformativeness,color_sufficient,distractor,4,1,lipstick_small_pink,overinformativeness,color_sufficient,distractor,1,4
8178-7,1621385628826,35,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,1,1,brush_small_blue,overinformativeness,size_sufficient,distractor,2,2,brush_small_red,overinformativeness,size_sufficient,distractor,4,3,brush_small_blue,overinformativeness,size_sufficient,distractor,3,4
8178-7,1621385653122,36,clickedObj,,box_open_cardboard,adjective_ordering,none,target,4,3,box_closed_wood,adjective_ordering,none,distractor,3,2,box_open_wood,adjective_ordering,none,distractor,2,1,box_closed_cardboard,adjective_ordering,none,distractor,1,4
8178-7,1621385668042,37,clickedObj,,chick,filler,none,target,2,4,butterfly,filler,none,distractor,4,3,strawberry,filler,none,distractor,3,1,dog,filler,none,distractor,1,2
8178-7,1621385704682,38,clickedObj,,shorts_wet_red,adjective_ordering,none,target,4,2,shorts_dry_red,adjective_ordering,none,distractor,3,3,shorts_wet_green,adjective_ordering,none,distractor,1,4,shorts_dry_green,adjective_ordering,none,distractor,2,1
