gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
1560-1,1621382828618,1,clickedObj,,tomato,filler,none,target,2,3,pig,filler,none,distractor,3,2,fish,filler,none,distractor,1,1,horse,filler,none,distractor,4,4
1560-1,1621382845640,2,clickedObj,,banana,filler,none,distractor,3,1,elephant,filler,none,target,1,3,bowl,filler,none,distractor,2,4,guitar,filler,none,distractor,4,2
1560-1,1621382859400,3,clickedObj,,strawberry,filler,none,distractor,3,1,dog,filler,none,distractor,4,4,butterfly,filler,none,target,2,3,chick,filler,none,distractor,1,2
1560-1,1621382882173,4,clickedObj,,horse,filler,none,target,4,2,tomato,filler,none,distractor,2,3,fish,filler,none,distractor,3,1,pig,filler,none,distractor,1,4
1560-1,1621382909922,5,clickedObj,,strawberry,filler,none,target,1,1,butterfly,filler,none,distractor,3,3,chick,filler,none,distractor,2,4,dog,filler,none,distractor,4,2
1560-1,1621382935900,6,clickedObj,,pants_small_pink,overinformativeness,color_sufficient,target,2,2,pants_big_green,overinformativeness,color_sufficient,distractor,3,4,pants_small_green,overinformativeness,color_sufficient,distractor,4,1,pants_small_green,overinformativeness,color_sufficient,distractor,1,3
1560-1,1621382970900,7,clickedObj,,cow,filler,none,distractor,3,4,door,filler,none,target,2,1,carrot,filler,none,distractor,1,3,pitcher,filler,none,distractor,4,2
1560-1,1621383018055,8,clickedObj,,frog_spotted_green,adjective_ordering,none,target,3,2,frog_spotted_red,adjective_ordering,none,distractor,2,4,frog_striped_red,adjective_ordering,none,distractor,1,1,frog_striped_green,adjective_ordering,none,distractor,4,3
1560-1,1621383049875,9,clickedObj,,lipstick_big_red,overinformativeness,color_sufficient,target,3,1,lipstick_big_pink,overinformativeness,color_sufficient,distractor,1,4,lipstick_big_pink,overinformativeness,color_sufficient,distractor,4,2,lipstick_small_pink,overinformativeness,color_sufficient,distractor,2,3
1560-1,1621383093194,10,clickedObj,,bottle_glass_big,adjective_ordering,none,target,1,1,bottle_glass_small,adjective_ordering,none,distractor,4,3,bottle_plastic_big,adjective_ordering,none,distractor,3,2,bottle_plastic_small,adjective_ordering,none,distractor,2,4
1560-1,1621383124021,11,clickedObj,,lighter_big_white,overinformativeness,color_sufficient,target,4,3,lighter_small_black,overinformativeness,color_sufficient,distractor,3,4,lighter_big_black,overinformativeness,color_sufficient,distractor,1,1,lighter_big_black,overinformativeness,color_sufficient,distractor,2,2
1560-1,1621383133652,12,clickedObj,,knife_big_red,overinformativeness,size_sufficient,distractor,4,3,knife_small_blue,overinformativeness,size_sufficient,target,3,2,knife_big_blue,overinformativeness,size_sufficient,distractor,1,1,knife_big_blue,overinformativeness,size_sufficient,distractor,2,4
1560-1,1621383166559,13,clickedObj,,toothbrush_big_green,overinformativeness,color_sufficient,target,3,1,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,2,3,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,4,2,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,1,4
1560-1,1621383192935,14,clickedObj,,carrot,filler,none,target,3,2,cow,filler,none,distractor,4,1,pitcher,filler,none,distractor,2,4,door,filler,none,distractor,1,3
