gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
1719-9,1621392584541,1,clickedObj,,horse,filler,none,distractor,4,2,fish,filler,none,distractor,1,1,tomato,filler,none,target,3,4,pig,filler,none,distractor,2,3
1719-9,1621392593340,2,clickedObj,,guitar,filler,none,distractor,1,2,elephant,filler,none,target,4,1,banana,filler,none,distractor,2,3,bowl,filler,none,distractor,3,4
1719-9,1621392601557,3,clickedObj,,butterfly,filler,none,target,4,1,dog,filler,none,distractor,1,4,chick,filler,none,distractor,2,3,strawberry,filler,none,distractor,3,2
1719-9,1621392609965,4,clickedObj,,horse,filler,none,target,2,1,pig,filler,none,distractor,1,3,tomato,filler,none,distractor,4,2,fish,filler,none,distractor,3,4
1719-9,1621392618500,5,clickedObj,,chick,filler,none,distractor,4,3,dog,filler,none,distractor,2,2,butterfly,filler,none,distractor,3,1,strawberry,filler,none,target,1,4
1719-9,1621392637906,6,clickedObj,,woman_old_happy,adjective_ordering,none,target,2,3,woman_young_sad,adjective_ordering,none,distractor,3,2,woman_young_happy,adjective_ordering,none,distractor,1,4,woman_old_sad,adjective_ordering,none,distractor,4,1
1719-9,1621392647739,7,clickedObj,,button_big_blue,overinformativeness,size_sufficient,distractor,2,2,button_big_green,overinformativeness,size_sufficient,distractor,1,1,button_small_green,overinformativeness,size_sufficient,target,4,3,button_big_green,overinformativeness,size_sufficient,distractor,3,4
1719-9,1621392655434,8,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,target,2,3,flower_small_yellow,overinformativeness,size_sufficient,distractor,1,1,flower_small_pink,overinformativeness,size_sufficient,distractor,3,4,flower_small_yellow,overinformativeness,size_sufficient,distractor,4,2
1719-9,1621392665989,9,clickedObj,,shoe_big_yellow,overinformativeness,color_sufficient,target,3,4,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,2,shoe_big_pink,overinformativeness,color_sufficient,distractor,2,3,shoe_small_pink,overinformativeness,color_sufficient,distractor,4,1
1719-9,1621392673659,10,clickedObj,,chair_big_blue,overinformativeness,size_sufficient,distractor,3,1,chair_small_blue,overinformativeness,size_sufficient,target,4,2,chair_big_yellow,overinformativeness,size_sufficient,distractor,1,3,chair_big_blue,overinformativeness,size_sufficient,distractor,2,4
1719-9,1621392681402,11,clickedObj,,frog_spotted_green,adjective_ordering,none,target,2,3,frog_striped_red,adjective_ordering,none,distractor,4,2,frog_spotted_red,adjective_ordering,none,distractor,1,1,frog_striped_green,adjective_ordering,none,distractor,3,4
1719-9,1621392695608,12,clickedObj,,table_metal_high,adjective_ordering,none,target,4,1,table_metal_low,adjective_ordering,none,distractor,3,3,table_wood_low,adjective_ordering,none,distractor,2,2,table_wood_high,adjective_ordering,none,distractor,1,4
1719-9,1621392706856,13,clickedObj,,key_big_gold,overinformativeness,size_sufficient,distractor,2,4,key_big_silver,overinformativeness,size_sufficient,distractor,4,2,key_big_gold,overinformativeness,size_sufficient,distractor,3,1,key_small_gold,overinformativeness,size_sufficient,target,1,3
1719-9,1621392715052,14,clickedObj,,umbrella_small_blue,overinformativeness,color_sufficient,target,4,1,umbrella_small_green,overinformativeness,color_sufficient,distractor,2,4,umbrella_big_green,overinformativeness,color_sufficient,distractor,3,2,umbrella_small_green,overinformativeness,color_sufficient,distractor,1,3
1719-9,1621392724232,15,clickedObj,,car_big_blue,overinformativeness,size_sufficient,distractor,4,1,car_small_blue,overinformativeness,size_sufficient,target,3,3,car_big_blue,overinformativeness,size_sufficient,distractor,1,2,car_big_green,overinformativeness,size_sufficient,distractor,2,4
1719-9,1621392762423,16,clickedObj,,bottle_plastic_big,adjective_ordering,none,target,1,3,bottle_plastic_small,adjective_ordering,none,distractor,2,4,bottle_glass_small,adjective_ordering,none,distractor,3,2,bottle_glass_big,adjective_ordering,none,distractor,4,1
1719-9,1621392779582,17,clickedObj,,scissors_big_green,overinformativeness,color_sufficient,target,3,2,scissors_big_blue,overinformativeness,color_sufficient,distractor,2,3,scissors_big_blue,overinformativeness,color_sufficient,distractor,1,4,scissors_small_blue,overinformativeness,color_sufficient,distractor,4,1
1719-9,1621392786527,18,clickedObj,,dog,filler,none,target,3,4,strawberry,filler,none,distractor,4,3,chick,filler,none,distractor,2,2,butterfly,filler,none,distractor,1,1
1719-9,1621392799309,19,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,target,1,1,clock_small_purple,overinformativeness,size_sufficient,distractor,2,2,clock_small_yellow,overinformativeness,size_sufficient,distractor,4,3,clock_small_purple,overinformativeness,size_sufficient,distractor,3,4
1719-9,1621392813300,20,clickedObj,,man_old_cleanshaven,adjective_ordering,none,target,3,2,man_young_cleanshaven,adjective_ordering,none,distractor,1,3,man_young_bearded,adjective_ordering,none,distractor,2,4,man_old_bearded,adjective_ordering,none,distractor,4,1
1719-9,1621392829084,21,clickedObj,,earring_big_round,adjective_ordering,none,target,2,4,earring_big_triangular,adjective_ordering,none,distractor,3,3,earring_small_triangular,adjective_ordering,none,distractor,4,1,earring_small_round,adjective_ordering,none,distractor,1,2
1719-9,1621392845422,22,clickedObj,,carrot,filler,none,target,3,4,pitcher,filler,none,distractor,4,3,cow,filler,none,distractor,1,1,door,filler,none,distractor,2,2
1719-9,1621392852525,23,clickedObj,,toothbrush_big_green,overinformativeness,color_sufficient,target,2,4,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,4,3,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,1,2,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,3,1
