gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
1021-0,1621394020151,1,clickedObj,,tomato,filler,none,target,3,4,horse,filler,none,distractor,1,1,fish,filler,none,distractor,2,2,pig,filler,none,distractor,4,3
1021-0,1621394044853,2,clickedObj,,elephant,filler,none,target,3,4,banana,filler,none,distractor,4,1,bowl,filler,none,distractor,2,3,guitar,filler,none,distractor,1,2
1021-0,1621394066338,3,clickedObj,,butterfly,filler,none,target,3,4,chick,filler,none,distractor,2,3,dog,filler,none,distractor,1,2,strawberry,filler,none,distractor,4,1
1021-0,1621394085557,4,clickedObj,,horse,filler,none,target,4,4,pig,filler,none,distractor,1,2,fish,filler,none,distractor,2,1,tomato,filler,none,distractor,3,3
1021-0,1621394107360,5,clickedObj,,strawberry,filler,none,target,4,2,chick,filler,none,distractor,1,4,dog,filler,none,distractor,2,3,butterfly,filler,none,distractor,3,1
1021-0,1621394159863,6,clickedObj,,car_big_green,overinformativeness,size_sufficient,target,2,1,car_small_green,overinformativeness,size_sufficient,distractor,3,4,car_small_green,overinformativeness,size_sufficient,distractor,4,3,car_small_blue,overinformativeness,size_sufficient,distractor,1,2
1021-0,1621394205314,7,clickedObj,,shoe_big_pink,overinformativeness,color_sufficient,target,3,2,show_small_yellow,overinformativeness,color_sufficient,distractor,4,1,shoe_big_yellow,overinformativeness,color_sufficient,distractor,1,4,shoe_big_yellow,overinformativeness,color_sufficient,distractor,2,3
1021-0,1621394271927,8,clickedObj,,ball_big_purple,overinformativeness,size_sufficient,target,1,4,ball_small_purple,overinformativeness,size_sufficient,distractor,2,1,ball_small_purple,overinformativeness,size_sufficient,distractor,3,3,ball_small_yellow,overinformativeness,size_sufficient,distractor,4,2
1021-0,1621394314976,9,clickedObj,,frog_spotted_red,adjective_ordering,none,target,1,3,frog_striped_red,adjective_ordering,none,distractor,3,2,frog_spotted_green,adjective_ordering,none,distractor,2,1,frog_striped_green,adjective_ordering,none,distractor,4,4
1021-0,1621394365641,10,clickedObj,,flower_small_pink,overinformativeness,size_sufficient,target,3,3,flower_big_pink,overinformativeness,size_sufficient,distractor,4,2,flower_big_yellow,overinformativeness,size_sufficient,distractor,1,4,flower_big_pink,overinformativeness,size_sufficient,distractor,2,1
