gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
5999-f,1621412298247,1,clickedObj,,tomato,filler,none,target,2,2,pig,filler,none,distractor,1,1,fish,filler,none,distractor,4,4,horse,filler,none,distractor,3,3
5999-f,1621412326927,2,clickedObj,,elephant,filler,none,target,3,1,banana,filler,none,distractor,4,2,guitar,filler,none,distractor,1,3,bowl,filler,none,distractor,2,4
5999-f,1621412362707,3,clickedObj,,butterfly,filler,none,target,1,4,strawberry,filler,none,distractor,2,1,dog,filler,none,distractor,3,2,chick,filler,none,distractor,4,3
5999-f,1621412377592,4,clickedObj,,horse,filler,none,target,4,2,tomato,filler,none,distractor,2,3,fish,filler,none,distractor,3,1,pig,filler,none,distractor,1,4
5999-f,1621412397292,5,clickedObj,,strawberry,filler,none,target,2,4,butterfly,filler,none,distractor,4,3,chick,filler,none,distractor,1,1,dog,filler,none,distractor,3,2
5999-f,1621412420592,6,clickedObj,,pencil_short_blue,adjective_ordering,none,target,2,4,pencil_long_blue,adjective_ordering,none,distractor,3,3,pencil_long_black,adjective_ordering,none,distractor,4,1,pencil_short_black,adjective_ordering,none,distractor,1,2
5999-f,1621412444547,7,clickedObj,,flower_small_pink,overinformativeness,size_sufficient,target,3,2,flower_big_yellow,overinformativeness,size_sufficient,distractor,4,1,flower_big_pink,overinformativeness,size_sufficient,distractor,1,3,flower_big_pink,overinformativeness,size_sufficient,distractor,2,4
5999-f,1621412471787,8,clickedObj,,bottle_glass_big,adjective_ordering,none,target,3,1,bottle_glass_small,adjective_ordering,none,distractor,4,3,bottle_plastic_small,adjective_ordering,none,distractor,2,2,bottle_plastic_big,adjective_ordering,none,distractor,1,4
5999-f,1621412490231,9,clickedObj,,dress_big_green,overinformativeness,size_sufficient,target,4,1,dress_small_green,overinformativeness,size_sufficient,distractor,3,3,dress_small_green,overinformativeness,size_sufficient,distractor,1,4,dress_small_blue,overinformativeness,size_sufficient,distractor,2,2
5999-f,1621412509947,10,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,target,2,3,clock_small_purple,overinformativeness,size_sufficient,distractor,1,1,clock_small_purple,overinformativeness,size_sufficient,distractor,3,4,clock_small_yellow,overinformativeness,size_sufficient,distractor,4,2
5999-f,1621412529677,11,clickedObj,,baloon_small_yellow,overinformativeness,size_sufficient,target,2,3,balloon_big_yellow,overinformativeness,size_sufficient,distractor,1,4,balloon_big_pink,overinformativeness,size_sufficient,distractor,4,2,balloon_big_yellow,overinformativeness,size_sufficient,distractor,3,1
5999-f,1621412552162,12,clickedObj,,lighter_big_white,overinformativeness,color_sufficient,target,4,3,lighter_big_black,overinformativeness,color_sufficient,distractor,2,4,lighter_big_black,overinformativeness,color_sufficient,distractor,3,2,lighter_small_black,overinformativeness,color_sufficient,distractor,1,1
5999-f,1621412580667,13,clickedObj,,chick,filler,none,target,3,1,dog,filler,none,distractor,1,4,butterfly,filler,none,distractor,4,3,strawberry,filler,none,distractor,2,2
5999-f,1621412597752,14,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,target,1,3,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,4,2,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,3,1,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,2,4
5999-f,1621412615957,15,clickedObj,,apple_big_red,overinformativeness,size_sufficient,target,2,1,apple_small_red,overinformativeness,size_sufficient,distractor,4,3,apple_small_green,overinformativeness,size_sufficient,distractor,3,2,apple_small_red,overinformativeness,size_sufficient,distractor,1,4
5999-f,1621412633297,16,clickedObj,,skirt_small_green,overinformativeness,color_sufficient,target,2,3,skirt_small_blue,overinformativeness,color_sufficient,distractor,3,2,skirt_big_blue,overinformativeness,color_sufficient,distractor,1,4,skirt_small_blue,overinformativeness,color_sufficient,distractor,4,1
