gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
5248-1,1621447438692,1,clickedObj,,tomato,filler,none,target,4,2,fish,filler,none,distractor,1,4,horse,filler,none,distractor,3,1,pig,filler,none,distractor,2,3
5248-1,1621447449730,2,clickedObj,,elephant,filler,none,target,2,1,bowl,filler,none,distractor,1,2,banana,filler,none,distractor,4,3,guitar,filler,none,distractor,3,4
5248-1,1621447479831,3,clickedObj,,butterfly,filler,none,target,2,2,dog,filler,none,distractor,1,1,chick,filler,none,distractor,3,3,strawberry,filler,none,distractor,4,4
5248-1,1621447501970,4,clickedObj,,horse,filler,none,target,1,1,pig,filler,none,distractor,3,4,fish,filler,none,distractor,2,3,tomato,filler,none,distractor,4,2
5248-1,1621447515451,5,clickedObj,,strawberry,filler,none,target,2,3,chick,filler,none,distractor,4,4,butterfly,filler,none,distractor,3,2,dog,filler,none,distractor,1,1
5248-1,1621447560390,6,clickedObj,,table_wood_high,adjective_ordering,none,target,2,3,table_metal_high,adjective_ordering,none,distractor,4,2,table_wood_low,adjective_ordering,none,distractor,1,4,table_metal_low,adjective_ordering,none,distractor,3,1
5248-1,1621447581307,7,clickedObj,,cat_big_white,overinformativeness,size_sufficient,target,4,3,cat_small_white,overinformativeness,size_sufficient,distractor,3,2,cat_small_white,overinformativeness,size_sufficient,distractor,2,4,cat_small_black,overinformativeness,size_sufficient,distractor,1,1
5248-1,1621447602851,8,clickedObj,,key_big_silver,overinformativeness,size_sufficient,target,3,4,key_small_silver,overinformativeness,size_sufficient,distractor,1,2,key_small_gold,overinformativeness,size_sufficient,distractor,4,3,key_small_silver,overinformativeness,size_sufficient,distractor,2,1
5248-1,1621447628672,9,clickedObj,,frog_spotted_green,adjective_ordering,none,target,2,2,frog_striped_green,adjective_ordering,none,distractor,4,4,frog_spotted_red,adjective_ordering,none,distractor,1,3,frog_striped_red,adjective_ordering,none,distractor,3,1
5248-1,1621447676750,10,clickedObj,,dog,filler,none,target,1,3,butterfly,filler,none,distractor,3,1,chick,filler,none,distractor,2,2,strawberry,filler,none,distractor,4,4
5248-1,1621447687757,11,clickedObj,,socks_small_blue,overinformativeness,color_sufficient,target,3,2,socks_big_green,overinformativeness,color_sufficient,distractor,2,1,socks_small_green,overinformativeness,color_sufficient,distractor,1,4,socks_small_green,overinformativeness,color_sufficient,distractor,4,3
5248-1,1621447701058,12,clickedObj,,cow,filler,none,target,3,2,door,filler,none,distractor,2,4,carrot,filler,none,distractor,1,3,pitcher,filler,none,distractor,4,1
5248-1,1621447723881,13,clickedObj,,man_old_cleanshaven,adjective_ordering,none,target,4,2,man_young_cleanshaven,adjective_ordering,none,distractor,2,1,man_old_bearded,adjective_ordering,none,distractor,1,4,man_young_bearded,adjective_ordering,none,distractor,3,3
5248-1,1621447734551,14,clickedObj,,pot_small_green,overinformativeness,color_sufficient,target,2,4,pot_small_blue,overinformativeness,color_sufficient,distractor,1,1,pot_big_blue,overinformativeness,color_sufficient,distractor,4,2,pot_small_blue,overinformativeness,color_sufficient,distractor,3,3
5248-1,1621447762470,15,clickedObj,,woman_old_happy,adjective_ordering,none,target,1,1,woman_young_happy,adjective_ordering,none,distractor,4,4,woman_old_sad,adjective_ordering,none,distractor,3,2,woman_young_sad,adjective_ordering,none,distractor,2,3
5248-1,1621447773471,16,clickedObj,,brush_small_red,overinformativeness,size_sufficient,target,3,1,brush_big_red,overinformativeness,size_sufficient,distractor,1,3,brush_big_blue,overinformativeness,size_sufficient,distractor,4,2,brush_big_red,overinformativeness,size_sufficient,distractor,2,4
5248-1,1621447800279,17,clickedObj,,clock_small_yellow,overinformativeness,size_sufficient,target,4,4,clock_big_yellow,overinformativeness,size_sufficient,distractor,2,3,clock_big_yellow,overinformativeness,size_sufficient,distractor,1,1,clock_big_purple,overinformativeness,size_sufficient,distractor,3,2
5248-1,1621447814330,18,clickedObj,,toothbrush_small_purple,overinformativeness,color_sufficient,target,1,2,toothbrush_big_green,overinformativeness,color_sufficient,distractor,2,4,toothbrush_small_green,overinformativeness,color_sufficient,distractor,3,1,toothbrush_small_green,overinformativeness,color_sufficient,distractor,4,3
5248-1,1621447835050,19,clickedObj,,lipstick_small_red,overinformativeness,color_sufficient,target,1,2,lipstick_big_pink,overinformativeness,color_sufficient,distractor,4,3,lipstick_small_pink,overinformativeness,color_sufficient,distractor,3,1,lipstick_small_pink,overinformativeness,color_sufficient,distractor,2,4
5248-1,1621447865060,20,clickedObj,,bottle_glass_small,adjective_ordering,none,target,1,4,bottle_glass_big,adjective_ordering,none,distractor,2,3,bottle_plastic_big,adjective_ordering,none,distractor,3,1,bottle_plastic_small,adjective_ordering,none,distractor,4,2
5248-1,1621447887003,21,clickedObj,,pig,filler,none,target,1,4,fish,filler,none,distractor,2,2,horse,filler,none,distractor,3,3,tomato,filler,none,distractor,4,1
5248-1,1621447904641,22,clickedObj,,flower_small_yellow,overinformativeness,size_sufficient,target,1,3,flower_big_pink,overinformativeness,size_sufficient,distractor,2,2,flower_big_yellow,overinformativeness,size_sufficient,distractor,4,1,flower_big_yellow,overinformativeness,size_sufficient,distractor,3,4
5248-1,1621447947840,23,clickedObj,,butterfly,filler,none,distractor,4,4,chick,filler,none,target,1,3,dog,filler,none,distractor,3,2,strawberry,filler,none,distractor,2,1
5248-1,1621447962955,24,clickedObj,,bag_big_blue,overinformativeness,size_sufficient,target,4,1,bag_small_blue,overinformativeness,size_sufficient,distractor,1,2,bag_small_red,overinformativeness,size_sufficient,distractor,2,4,bag_small_blue,overinformativeness,size_sufficient,distractor,3,3
5248-1,1621447994077,25,clickedObj,,box_closed_cardboard,adjective_ordering,none,target,2,3,box_open_wood,adjective_ordering,none,distractor,4,4,box_closed_wood,adjective_ordering,none,distractor,3,2,box_open_cardboard,adjective_ordering,none,distractor,1,1
5248-1,1621448003799,26,clickedObj,,knife_small_red,overinformativeness,size_sufficient,target,1,3,knife_big_blue,overinformativeness,size_sufficient,distractor,3,2,knife_big_red,overinformativeness,size_sufficient,distractor,4,4,knife_big_red,overinformativeness,size_sufficient,distractor,2,1
5248-1,1621448024633,27,clickedObj,,picture_colored_rectangular,adjective_ordering,none,target,2,3,picture_bw_rectangular,adjective_ordering,none,distractor,1,4,picture_colored_square,adjective_ordering,none,distractor,4,1,picture_bw_square,adjective_ordering,none,distractor,3,2
5248-1,1621448035702,28,clickedObj,,tshirt_big_orange,overinformativeness,color_sufficient,target,3,1,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,4,3,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,2,4,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,1,2
5248-1,1621448068033,29,clickedObj,,spoon_metal_dirty,adjective_ordering,none,distractor,1,2,spoon_wooden_dirty,adjective_ordering,none,target,4,3,spoon_wooden_clean,adjective_ordering,none,distractor,3,4,spoon_metal_clean,adjective_ordering,none,distractor,2,1
5248-1,1621448086898,30,clickedObj,,carrot,filler,none,target,4,2,cow,filler,none,distractor,3,1,door,filler,none,distractor,1,4,pitcher,filler,none,distractor,2,3
5248-1,1621448102351,31,clickedObj,,pepper_big_red,overinformativeness,color_sufficient,target,4,1,pepper_big_green,overinformativeness,color_sufficient,distractor,3,3,pepper_big_green,overinformativeness,color_sufficient,distractor,1,4,pepper_small_green,overinformativeness,color_sufficient,distractor,2,2
5248-1,1621448121248,32,clickedObj,,door,filler,none,target,3,2,pitcher,filler,none,distractor,4,4,carrot,filler,none,distractor,2,3,cow,filler,none,distractor,1,1
5248-1,1621448138305,33,clickedObj,,umbrella_small_green,overinformativeness,color_sufficient,target,4,4,umbrella_big_blue,overinformativeness,color_sufficient,distractor,1,2,umbrella_small_blue,overinformativeness,color_sufficient,distractor,3,3,umbrella_small_blue,overinformativeness,color_sufficient,distractor,2,1
5248-1,1621448175526,34,clickedObj,,chair_big_yellow,overinformativeness,size_sufficient,target,2,2,chair_small_blue,overinformativeness,size_sufficient,distractor,3,1,chair_small_yellow,overinformativeness,size_sufficient,distractor,4,3,chair_small_yellow,overinformativeness,size_sufficient,distractor,1,4
5248-1,1621448189824,35,clickedObj,,scissors_small_green,overinformativeness,color_sufficient,target,3,2,scissors_big_blue,overinformativeness,color_sufficient,distractor,1,3,scissors_small_blue,overinformativeness,color_sufficient,distractor,2,1,scissors_small_blue,overinformativeness,color_sufficient,distractor,4,4
5248-1,1621448212597,36,clickedObj,,ball_big_purple,overinformativeness,size_sufficient,target,2,1,ball_small_yellow,overinformativeness,size_sufficient,distractor,3,2,ball_small_purple,overinformativeness,size_sufficient,distractor,4,4,ball_small_purple,overinformativeness,size_sufficient,distractor,1,3
5248-1,1621448239621,37,clickedObj,,shorts_dry_red,adjective_ordering,none,target,1,1,shorts_dry_green,adjective_ordering,none,distractor,3,3,shorts_wet_red,adjective_ordering,none,distractor,2,4,shorts_wet_green,adjective_ordering,none,distractor,4,2
5248-1,1621448251124,38,clickedObj,,show_small_yellow,overinformativeness,color_sufficient,target,4,3,shoe_small_pink,overinformativeness,color_sufficient,distractor,2,4,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,2,shoe_small_pink,overinformativeness,color_sufficient,distractor,3,1
5248-1,1621448270544,39,clickedObj,,car_small_blue,overinformativeness,size_sufficient,target,3,3,car_big_blue,overinformativeness,size_sufficient,distractor,4,1,car_big_blue,overinformativeness,size_sufficient,distractor,1,4,car_big_green,overinformativeness,size_sufficient,distractor,2,2
5248-1,1621448282445,40,clickedObj,,glasses_small_red,overinformativeness,size_sufficient,target,4,3,glasses_big_red,overinformativeness,size_sufficient,distractor,1,1,glasses_big_red,overinformativeness,size_sufficient,distractor,2,4,glasses_big_blue,overinformativeness,size_sufficient,distractor,3,2
5248-1,1621448336705,41,clickedObj,,guitar,filler,none,target,4,3,bowl,filler,none,distractor,2,2,banana,filler,none,distractor,3,1,elephant,filler,none,distractor,1,4
5248-1,1621448350324,42,clickedObj,,baloon_small_pink,overinformativeness,size_sufficient,target,2,1,balloon_big_pink,overinformativeness,size_sufficient,distractor,3,3,balloon_big_yellow,overinformativeness,size_sufficient,distractor,1,2,balloon_big_pink,overinformativeness,size_sufficient,distractor,4,4
5248-1,1621448375750,43,clickedObj,,hair_straight_brown,adjective_ordering,none,target,3,2,hair_curly_brown,adjective_ordering,none,distractor,4,4,hair_straight_blond,adjective_ordering,none,distractor,2,1,hair_curly_blonde,adjective_ordering,none,distractor,1,3
5248-1,1621448415006,44,clickedObj,,dress_small_green,overinformativeness,size_sufficient,target,3,3,dress_big_blue,overinformativeness,size_sufficient,distractor,1,1,dress_big_green,overinformativeness,size_sufficient,distractor,4,4,dress_big_green,overinformativeness,size_sufficient,distractor,2,2
5248-1,1621448437189,45,clickedObj,,earring_big_round,adjective_ordering,none,target,2,4,earring_small_round,adjective_ordering,none,distractor,1,2,earring_big_triangular,adjective_ordering,none,distractor,4,3,earring_small_triangular,adjective_ordering,none,distractor,3,1
5248-1,1621448454688,46,clickedObj,,pencil_long_blue,adjective_ordering,none,target,2,4,pencil_short_blue,adjective_ordering,none,distractor,1,3,pencil_long_black,adjective_ordering,none,distractor,4,2,pencil_short_black,adjective_ordering,none,distractor,3,1
