gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
6025-7,1621423126785,1,clickedObj,,pig,filler,none,distractor,4,2,tomato,filler,none,target,3,3,fish,filler,none,distractor,2,4,horse,filler,none,distractor,1,1
6025-7,1621423156292,2,clickedObj,,banana,filler,none,distractor,2,3,bowl,filler,none,distractor,4,2,elephant,filler,none,target,3,1,guitar,filler,none,distractor,1,4
6025-7,1621423173727,3,clickedObj,,chick,filler,none,distractor,4,2,dog,filler,none,distractor,1,1,butterfly,filler,none,target,3,3,strawberry,filler,none,distractor,2,4
6025-7,1621423188424,4,clickedObj,,horse,filler,none,target,2,2,fish,filler,none,distractor,4,4,tomato,filler,none,distractor,3,1,pig,filler,none,distractor,1,3
6025-7,1621423208699,5,clickedObj,,strawberry,filler,none,target,4,3,butterfly,filler,none,distractor,3,1,dog,filler,none,distractor,2,4,chick,filler,none,distractor,1,2
6025-7,1621423222542,6,clickedObj,,cow,filler,none,target,3,3,carrot,filler,none,distractor,4,1,pitcher,filler,none,distractor,1,4,door,filler,none,distractor,2,2
6025-7,1621423246994,7,clickedObj,,dog,filler,none,distractor,3,2,butterfly,filler,none,distractor,1,3,strawberry,filler,none,distractor,2,1,chick,filler,none,target,4,4
6025-7,1621423289862,8,clickedObj,,earring_small_triangular,adjective_ordering,none,target,4,4,earring_small_round,adjective_ordering,none,distractor,3,3,earring_big_round,adjective_ordering,none,distractor,2,1,earring_big_triangular,adjective_ordering,none,distractor,1,2
6025-7,1621423313068,9,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,target,3,3,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,1,4,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,2,2,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,4,1
6025-7,1621423344444,10,clickedObj,,glasses_big_red,overinformativeness,size_sufficient,target,1,4,glasses_small_red,overinformativeness,size_sufficient,distractor,4,2,glasses_small_red,overinformativeness,size_sufficient,distractor,2,3,glasses_small_blue,overinformativeness,size_sufficient,distractor,3,1
6025-7,1621423365148,11,clickedObj,,pencil_long_black,adjective_ordering,none,target,3,1,pencil_short_black,adjective_ordering,none,distractor,4,3,pencil_short_blue,adjective_ordering,none,distractor,2,2,pencil_long_blue,adjective_ordering,none,distractor,1,4
6025-7,1621423385900,12,clickedObj,,key_small_gold,overinformativeness,size_sufficient,target,3,4,key_big_gold,overinformativeness,size_sufficient,distractor,4,1,key_big_silver,overinformativeness,size_sufficient,distractor,2,3,key_big_gold,overinformativeness,size_sufficient,distractor,1,2
6025-7,1621423404174,13,clickedObj,,dress_small_blue,overinformativeness,size_sufficient,target,1,2,dress_big_blue,overinformativeness,size_sufficient,distractor,2,3,dress_big_green,overinformativeness,size_sufficient,distractor,4,1,dress_big_blue,overinformativeness,size_sufficient,distractor,3,4
6025-7,1621423432470,14,clickedObj,,umbrella_big_green,overinformativeness,color_sufficient,target,1,1,umbrella_small_blue,overinformativeness,color_sufficient,distractor,3,3,umbrella_big_blue,overinformativeness,color_sufficient,distractor,2,2,umbrella_big_blue,overinformativeness,color_sufficient,distractor,4,4
6025-7,1621423461877,15,clickedObj,,knife_big_red,overinformativeness,size_sufficient,target,4,4,knife_small_blue,overinformativeness,size_sufficient,distractor,2,2,knife_small_red,overinformativeness,size_sufficient,distractor,3,3,knife_small_red,overinformativeness,size_sufficient,distractor,1,1
6025-7,1621423481368,16,clickedObj,,pig,filler,none,target,2,3,tomato,filler,none,distractor,4,2,fish,filler,none,distractor,1,1,horse,filler,none,distractor,3,4
6025-7,1621423507484,17,clickedObj,,hair_curly_blonde,adjective_ordering,none,target,2,2,hair_curly_brown,adjective_ordering,none,distractor,3,1,hair_straight_blond,adjective_ordering,none,distractor,4,4,hair_straight_brown,adjective_ordering,none,distractor,1,3
6025-7,1621423530058,18,clickedObj,,baloon_small_yellow,overinformativeness,size_sufficient,target,2,2,balloon_big_yellow,overinformativeness,size_sufficient,distractor,4,4,balloon_big_yellow,overinformativeness,size_sufficient,distractor,3,3,balloon_big_pink,overinformativeness,size_sufficient,distractor,1,1
6025-7,1621423553897,19,clickedObj,,car_big_green,overinformativeness,size_sufficient,target,2,2,car_small_green,overinformativeness,size_sufficient,distractor,1,1,car_small_blue,overinformativeness,size_sufficient,distractor,3,3,car_small_green,overinformativeness,size_sufficient,distractor,4,4
