gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
0674-0,1621424475211,1,clickedObj,,pig,filler,none,distractor,2,2,tomato,filler,none,target,3,4,horse,filler,none,distractor,4,3,fish,filler,none,distractor,1,1
0674-0,1621424475336,1,clickedObj,,pig,filler,none,distractor,2,2,tomato,filler,none,target,3,4,horse,filler,none,distractor,4,3,fish,filler,none,distractor,1,1
0674-0,1621424475485,1,clickedObj,,pig,filler,none,distractor,2,2,tomato,filler,none,target,3,4,horse,filler,none,distractor,4,3,fish,filler,none,distractor,1,1
0674-0,1621424496711,4,clickedObj,,pig,filler,none,distractor,4,4,tomato,filler,none,distractor,1,1,fish,filler,none,distractor,3,3,horse,filler,none,target,2,2
0674-0,1621424503001,5,clickedObj,,chick,filler,none,distractor,2,3,strawberry,filler,none,target,1,1,dog,filler,none,distractor,4,4,butterfly,filler,none,distractor,3,2
0674-0,1621424512376,6,clickedObj,,flower_big_pink,overinformativeness,size_sufficient,distractor,2,3,flower_small_yellow,overinformativeness,size_sufficient,target,1,1,flower_big_yellow,overinformativeness,size_sufficient,distractor,3,2,flower_big_yellow,overinformativeness,size_sufficient,distractor,4,4
0674-0,1621424520074,7,clickedObj,,woman_young_happy,adjective_ordering,none,target,3,4,woman_old_sad,adjective_ordering,none,distractor,2,2,woman_old_happy,adjective_ordering,none,distractor,1,3,woman_young_sad,adjective_ordering,none,distractor,4,1
0674-0,1621424526361,8,clickedObj,,button_small_blue,overinformativeness,size_sufficient,target,1,2,button_big_blue,overinformativeness,size_sufficient,distractor,3,3,button_big_blue,overinformativeness,size_sufficient,distractor,2,4,button_big_green,overinformativeness,size_sufficient,distractor,4,1
0674-0,1621424532338,9,clickedObj,,chair_small_yellow,overinformativeness,size_sufficient,distractor,2,4,chair_small_yellow,overinformativeness,size_sufficient,distractor,4,2,chair_big_yellow,overinformativeness,size_sufficient,target,3,3,chair_small_blue,overinformativeness,size_sufficient,distractor,1,1
0674-0,1621424538181,10,clickedObj,,bottle_glass_big,adjective_ordering,none,distractor,3,2,bottle_glass_small,adjective_ordering,none,target,1,3,bottle_plastic_big,adjective_ordering,none,distractor,4,4,bottle_plastic_small,adjective_ordering,none,distractor,2,1
0674-0,1621424544942,11,clickedObj,,earring_small_round,adjective_ordering,none,target,1,3,earring_big_triangular,adjective_ordering,none,distractor,2,1,earring_big_round,adjective_ordering,none,distractor,4,2,earring_small_triangular,adjective_ordering,none,distractor,3,4
0674-0,1621424551406,12,clickedObj,,skirt_small_blue,overinformativeness,color_sufficient,distractor,3,1,skirt_small_blue,overinformativeness,color_sufficient,distractor,1,3,skirt_big_blue,overinformativeness,color_sufficient,distractor,4,2,skirt_small_green,overinformativeness,color_sufficient,target,2,4
0674-0,1621424559156,13,clickedObj,,bag_small_red,overinformativeness,size_sufficient,target,4,1,bag_big_red,overinformativeness,size_sufficient,distractor,1,2,bag_big_blue,overinformativeness,size_sufficient,distractor,3,3,bag_big_red,overinformativeness,size_sufficient,distractor,2,4
0674-0,1621424565151,14,clickedObj,,dress_small_blue,overinformativeness,size_sufficient,distractor,2,2,dress_small_green,overinformativeness,size_sufficient,distractor,1,3,dress_small_green,overinformativeness,size_sufficient,distractor,4,4,dress_big_green,overinformativeness,size_sufficient,target,3,1
0674-0,1621424570770,15,clickedObj,,scissors_small_blue,overinformativeness,color_sufficient,distractor,4,3,scissors_small_blue,overinformativeness,color_sufficient,distractor,3,2,scissors_big_blue,overinformativeness,color_sufficient,distractor,2,4,scissors_small_green,overinformativeness,color_sufficient,target,1,1
0674-0,1621424576358,16,clickedObj,,lipstick_big_pink,overinformativeness,color_sufficient,distractor,2,1,lipstick_small_pink,overinformativeness,color_sufficient,distractor,3,3,lipstick_big_pink,overinformativeness,color_sufficient,distractor,1,4,lipstick_big_red,overinformativeness,color_sufficient,target,4,2
0674-0,1621424580600,17,clickedObj,,woman2_sad_skinny,adjective_ordering,none,distractor,4,4,woman2_sad_fat,adjective_ordering,none,distractor,2,2,woman2_happy_fat,adjective_ordering,none,distractor,1,3,woman2_happy_skinny,adjective_ordering,none,target,3,1
0674-0,1621424585050,18,clickedObj,,spoon_wooden_clean,adjective_ordering,none,distractor,4,1,spoon_wooden_dirty,adjective_ordering,none,distractor,3,3,spoon_metal_clean,adjective_ordering,none,distractor,2,2,spoon_metal_dirty,adjective_ordering,none,target,1,4
0674-0,1621424589426,19,clickedObj,,balloon_big_pink,overinformativeness,size_sufficient,distractor,2,2,balloon_big_yellow,overinformativeness,size_sufficient,distractor,3,1,balloon_big_pink,overinformativeness,size_sufficient,distractor,1,4,baloon_small_pink,overinformativeness,size_sufficient,target,4,3
0674-0,1621424593755,20,clickedObj,,knife_small_blue,overinformativeness,size_sufficient,distractor,1,2,knife_small_blue,overinformativeness,size_sufficient,distractor,2,1,knife_big_blue,overinformativeness,size_sufficient,target,3,4,knife_small_red,overinformativeness,size_sufficient,distractor,4,3
0674-0,1621424598066,21,clickedObj,,pepper_big_green,overinformativeness,color_sufficient,distractor,4,1,pepper_small_green,overinformativeness,color_sufficient,distractor,1,2,pepper_big_red,overinformativeness,color_sufficient,target,2,3,pepper_big_green,overinformativeness,color_sufficient,distractor,3,4
0674-0,1621424602876,22,clickedObj,,pot_small_blue,overinformativeness,color_sufficient,distractor,3,2,pot_big_blue,overinformativeness,color_sufficient,distractor,1,1,pot_small_blue,overinformativeness,color_sufficient,distractor,4,4,pot_small_green,overinformativeness,color_sufficient,target,2,3
0674-0,1621424607176,23,clickedObj,,elephant,filler,none,distractor,2,3,guitar,filler,none,distractor,3,2,banana,filler,none,distractor,1,1,bowl,filler,none,target,4,4
