gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
0626-1,1621504649405,1,clickedObj,,tomato,filler,none,target,2,1,horse,filler,none,distractor,1,4,fish,filler,none,distractor,4,2,pig,filler,none,distractor,3,3
0626-1,1621504659780,2,clickedObj,,elephant,filler,none,target,3,3,banana,filler,none,distractor,2,2,bowl,filler,none,distractor,4,1,guitar,filler,none,distractor,1,4
0626-1,1621504665081,3,clickedObj,,butterfly,filler,none,target,1,3,strawberry,filler,none,distractor,4,4,dog,filler,none,distractor,2,1,chick,filler,none,distractor,3,2
0626-1,1621504669327,4,clickedObj,,horse,filler,none,target,3,4,fish,filler,none,distractor,1,3,tomato,filler,none,distractor,2,2,pig,filler,none,distractor,4,1
0626-1,1621504674582,5,clickedObj,,strawberry,filler,none,target,3,2,dog,filler,none,distractor,1,1,butterfly,filler,none,distractor,4,3,chick,filler,none,distractor,2,4
0626-1,1621504685707,6,clickedObj,,scissors_big_green,overinformativeness,color_sufficient,target,3,2,scissors_big_blue,overinformativeness,color_sufficient,distractor,1,3,scissors_big_blue,overinformativeness,color_sufficient,distractor,4,1,scissors_small_blue,overinformativeness,color_sufficient,distractor,2,4
0626-1,1621504704065,7,clickedObj,,man2_bearded_glassed,adjective_ordering,none,target,1,4,man2_mustached_hatted,adjective_ordering,none,distractor,3,1,man2_mustached_glassed,adjective_ordering,none,distractor,2,3,man2_bearded_hatted,adjective_ordering,none,distractor,4,2
0626-1,1621504727556,8,clickedObj,,bottle_plastic_small,adjective_ordering,none,target,1,3,bottle_plastic_big,adjective_ordering,none,distractor,2,2,bottle_glass_small,adjective_ordering,none,distractor,4,1,bottle_glass_big,adjective_ordering,none,distractor,3,4
0626-1,1621504743555,9,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,target,2,1,flower_small_yellow,overinformativeness,size_sufficient,distractor,1,4,flower_small_pink,overinformativeness,size_sufficient,distractor,3,2,flower_small_yellow,overinformativeness,size_sufficient,distractor,4,3
0626-1,1621504756780,10,clickedObj,,pepper_big_green,overinformativeness,color_sufficient,target,2,1,pepper_small_red,overinformativeness,color_sufficient,distractor,3,2,pepper_big_red,overinformativeness,color_sufficient,distractor,1,4,pepper_big_red,overinformativeness,color_sufficient,distractor,4,3
0626-1,1621504798348,11,clickedObj,,picture_colored_square,adjective_ordering,none,target,2,1,picture_colored_rectangular,adjective_ordering,none,distractor,3,2,picture_bw_rectangular,adjective_ordering,none,distractor,4,3,picture_bw_square,adjective_ordering,none,distractor,1,4
