gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
1748-7,1621528702416,1,clickedObj,,tomato,filler,none,target,2,3,horse,filler,none,distractor,3,4,pig,filler,none,distractor,4,2,fish,filler,none,distractor,1,1
1748-7,1621528717269,2,clickedObj,,elephant,filler,none,target,4,2,bowl,filler,none,distractor,1,4,banana,filler,none,distractor,2,3,guitar,filler,none,distractor,3,1
1748-7,1621528744799,3,clickedObj,,butterfly,filler,none,target,4,4,strawberry,filler,none,distractor,1,2,chick,filler,none,distractor,3,3,dog,filler,none,distractor,2,1
1748-7,1621528763988,4,clickedObj,,horse,filler,none,target,4,3,fish,filler,none,distractor,3,2,tomato,filler,none,distractor,1,4,pig,filler,none,distractor,2,1
1748-7,1621528784765,5,clickedObj,,strawberry,filler,none,target,1,1,butterfly,filler,none,distractor,4,2,chick,filler,none,distractor,3,3,dog,filler,none,distractor,2,4
1748-7,1621528804270,6,clickedObj,,car_big_green,overinformativeness,size_sufficient,target,3,2,car_small_green,overinformativeness,size_sufficient,distractor,1,1,car_small_blue,overinformativeness,size_sufficient,distractor,2,3,car_small_green,overinformativeness,size_sufficient,distractor,4,4
1748-7,1621528887079,7,clickedObj,,nails_red_matte,adjective_ordering,none,target,4,4,nails_red_glossy,adjective_ordering,none,distractor,3,2,nails_black_glossy,adjective_ordering,none,distractor,1,1,nails_black_matte,adjective_ordering,none,distractor,2,3
1748-7,1621528906060,8,clickedObj,,earring_big_round,adjective_ordering,none,target,3,2,earring_big_triangular,adjective_ordering,none,distractor,1,4,earring_small_round,adjective_ordering,none,distractor,2,1,earring_small_triangular,adjective_ordering,none,distractor,4,3
1748-7,1621528930550,9,clickedObj,,shorts_wet_red,adjective_ordering,none,distractor,3,4,shorts_dry_green,adjective_ordering,none,distractor,2,2,shorts_dry_red,adjective_ordering,none,target,4,1,shorts_wet_green,adjective_ordering,none,distractor,1,3
1748-7,1621528944092,10,clickedObj,,dog,filler,none,target,4,3,strawberry,filler,none,distractor,1,1,butterfly,filler,none,distractor,3,4,chick,filler,none,distractor,2,2
1748-7,1621528958378,11,clickedObj,,pencil_short_black,adjective_ordering,none,target,3,3,pencil_short_blue,adjective_ordering,none,distractor,2,1,pencil_long_blue,adjective_ordering,none,distractor,1,2,pencil_long_black,adjective_ordering,none,distractor,4,4
1748-7,1621528973274,12,clickedObj,,tie_big_blue,overinformativeness,color_sufficient,target,4,2,tie_big_red,overinformativeness,color_sufficient,distractor,3,3,tie_small_red,overinformativeness,color_sufficient,distractor,2,4,tie_big_red,overinformativeness,color_sufficient,distractor,1,1
1748-7,1621528995244,13,clickedObj,,pants_big_green,overinformativeness,color_sufficient,target,4,3,pants_big_pink,overinformativeness,color_sufficient,distractor,1,1,pants_small_pink,overinformativeness,color_sufficient,distractor,3,2,pants_big_pink,overinformativeness,color_sufficient,distractor,2,4
1748-7,1621529010796,14,clickedObj,,brush_small_blue,overinformativeness,size_sufficient,target,2,3,brush_big_blue,overinformativeness,size_sufficient,distractor,3,2,brush_big_blue,overinformativeness,size_sufficient,distractor,4,4,brush_big_red,overinformativeness,size_sufficient,distractor,1,1
1748-7,1621529022301,15,clickedObj,,fish,filler,none,target,3,1,horse,filler,none,distractor,4,4,tomato,filler,none,distractor,2,2,pig,filler,none,distractor,1,3
1748-7,1621529036905,16,clickedObj,,bowl,filler,none,target,3,4,elephant,filler,none,distractor,2,1,guitar,filler,none,distractor,4,2,banana,filler,none,distractor,1,3
1748-7,1621529048793,17,clickedObj,,guitar,filler,none,target,2,3,banana,filler,none,distractor,3,4,bowl,filler,none,distractor,4,1,elephant,filler,none,distractor,1,2
1748-7,1621529087348,18,clickedObj,,box_open_cardboard,adjective_ordering,none,distractor,4,1,box_closed_wood,adjective_ordering,none,distractor,2,2,box_open_wood,adjective_ordering,none,target,3,3,box_closed_cardboard,adjective_ordering,none,distractor,1,4
1748-7,1621529102288,19,clickedObj,,chick,filler,none,target,2,4,dog,filler,none,distractor,1,2,butterfly,filler,none,distractor,4,3,strawberry,filler,none,distractor,3,1
1748-7,1621529118829,20,clickedObj,,bag_big_red,overinformativeness,size_sufficient,target,4,2,bag_small_red,overinformativeness,size_sufficient,distractor,1,3,bag_small_red,overinformativeness,size_sufficient,distractor,2,4,bag_small_blue,overinformativeness,size_sufficient,distractor,3,1
1748-7,1621529144810,21,clickedObj,,bottle_plastic_big,adjective_ordering,none,target,2,3,bottle_glass_small,adjective_ordering,none,distractor,1,4,bottle_glass_big,adjective_ordering,none,distractor,4,2,bottle_plastic_small,adjective_ordering,none,distractor,3,1
1748-7,1621529154881,22,clickedObj,,pepper_big_red,overinformativeness,color_sufficient,target,4,4,pepper_big_green,overinformativeness,color_sufficient,distractor,1,1,pepper_small_green,overinformativeness,color_sufficient,distractor,2,2,pepper_big_green,overinformativeness,color_sufficient,distractor,3,3
1748-7,1621529165173,23,clickedObj,,dress_small_blue,overinformativeness,size_sufficient,target,4,1,dress_big_green,overinformativeness,size_sufficient,distractor,1,4,dress_big_blue,overinformativeness,size_sufficient,distractor,3,2,dress_big_blue,overinformativeness,size_sufficient,distractor,2,3
1748-7,1621529175257,24,clickedObj,,ball_small_yellow,overinformativeness,size_sufficient,target,2,1,ball_big_yellow,overinformativeness,size_sufficient,distractor,3,3,ball_big_yellow,overinformativeness,size_sufficient,distractor,4,2,ball_big_purple,overinformativeness,size_sufficient,distractor,1,4
1748-7,1621529183923,25,clickedObj,,umbrella_big_blue,overinformativeness,color_sufficient,target,4,1,umbrella_big_green,overinformativeness,color_sufficient,distractor,1,4,umbrella_small_green,overinformativeness,color_sufficient,distractor,2,3,umbrella_big_green,overinformativeness,color_sufficient,distractor,3,2
1748-7,1621529196349,26,clickedObj,,carrot,filler,none,target,4,3,pitcher,filler,none,distractor,3,2,cow,filler,none,distractor,2,1,door,filler,none,distractor,1,4
1748-7,1621529205362,27,clickedObj,,pot_big_blue,overinformativeness,color_sufficient,target,2,3,pot_small_green,overinformativeness,color_sufficient,distractor,4,1,pot_big_green,overinformativeness,color_sufficient,distractor,3,2,pot_big_green,overinformativeness,color_sufficient,distractor,1,4
1748-7,1621529214733,28,clickedObj,,banana,filler,none,target,4,4,elephant,filler,none,distractor,2,3,guitar,filler,none,distractor,3,2,bowl,filler,none,distractor,1,1
1748-7,1621529220893,29,clickedObj,,skirt_big_blue,overinformativeness,color_sufficient,target,2,3,skirt_small_green,overinformativeness,color_sufficient,distractor,3,2,skirt_big_green,overinformativeness,color_sufficient,distractor,4,1,skirt_big_green,overinformativeness,color_sufficient,distractor,1,4
1748-7,1621529230218,30,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,4,3,button_small_green,overinformativeness,size_sufficient,distractor,1,1,button_small_blue,overinformativeness,size_sufficient,distractor,3,4,button_small_blue,overinformativeness,size_sufficient,distractor,2,2
1748-7,1621529238196,31,clickedObj,,toothbrush_small_purple,overinformativeness,color_sufficient,target,3,2,toothbrush_small_green,overinformativeness,color_sufficient,distractor,2,3,toothbrush_big_green,overinformativeness,color_sufficient,distractor,1,1,toothbrush_small_green,overinformativeness,color_sufficient,distractor,4,4
1748-7,1621529253058,32,clickedObj,,cat_big_white,overinformativeness,size_sufficient,target,3,4,cat_small_white,overinformativeness,size_sufficient,distractor,1,3,cat_small_black,overinformativeness,size_sufficient,distractor,4,2,cat_small_white,overinformativeness,size_sufficient,distractor,2,1
1748-7,1621529288078,33,clickedObj,,woman_old_sad,adjective_ordering,none,target,1,1,woman_young_happy,adjective_ordering,none,distractor,2,4,woman_young_sad,adjective_ordering,none,distractor,3,3,woman_old_happy,adjective_ordering,none,distractor,4,2
1748-7,1621529299819,34,clickedObj,,shoe_big_yellow,overinformativeness,color_sufficient,target,4,3,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,2,shoe_small_pink,overinformativeness,color_sufficient,distractor,3,4,shoe_big_pink,overinformativeness,color_sufficient,distractor,2,1
1748-7,1621529314857,35,clickedObj,,frog_striped_red,adjective_ordering,none,target,3,2,frog_spotted_green,adjective_ordering,none,distractor,4,3,frog_spotted_red,adjective_ordering,none,distractor,1,1,frog_striped_green,adjective_ordering,none,distractor,2,4
