gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
8424-1,1620234121887,1,clickedObj,,tomato,filler,none,target,2,3,horse,filler,none,distractor,3,1,pig,filler,none,distractor,1,2,fish,filler,none,distractor,4,4
8424-1,1620234137184,2,clickedObj,,elephant,filler,none,target,4,2,banana,filler,none,distractor,3,3,bowl,filler,none,distractor,1,4,guitar,filler,none,distractor,2,1
8424-1,1620234147296,3,clickedObj,,butterfly,filler,none,target,2,3,dog,filler,none,distractor,3,1,strawberry,filler,none,distractor,4,2,chick,filler,none,distractor,1,4
8424-1,1620234159293,4,clickedObj,,horse,filler,none,target,1,4,tomato,filler,none,distractor,2,2,fish,filler,none,distractor,3,3,pig,filler,none,distractor,4,1
8424-1,1620234169865,5,clickedObj,,strawberry,filler,none,target,1,3,dog,filler,none,distractor,4,1,chick,filler,none,distractor,2,4,butterfly,filler,none,distractor,3,2
8424-1,1620234178078,6,clickedObj,,tie_small_red,overinformativeness,color_sufficient,target,3,4,tie_small_blue,overinformativeness,color_sufficient,distractor,4,1,tie_small_blue,overinformativeness,color_sufficient,distractor,2,3,tie_big_blue,overinformativeness,color_sufficient,distractor,1,2
8424-1,1620234190999,7,clickedObj,,pig,filler,none,target,1,4,tomato,filler,none,distractor,4,3,fish,filler,none,distractor,2,2,horse,filler,none,distractor,3,1
8424-1,1620234208988,8,clickedObj,,frog_spotted_red,adjective_ordering,none,target,1,2,frog_spotted_green,adjective_ordering,none,distractor,4,1,frog_striped_red,adjective_ordering,none,distractor,3,4,frog_striped_green,adjective_ordering,none,distractor,2,3
8424-1,1620234220290,9,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,target,3,2,flower_small_yellow,overinformativeness,size_sufficient,distractor,4,4,flower_small_yellow,overinformativeness,size_sufficient,distractor,1,3,flower_small_pink,overinformativeness,size_sufficient,distractor,2,1
8424-1,1620234227501,10,clickedObj,,banana,filler,none,target,4,3,bowl,filler,none,distractor,3,4,elephant,filler,none,distractor,1,1,guitar,filler,none,distractor,2,2
