gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
5231-f,1620234647209,1,clickedObj,,tomato,filler,none,target,3,3,fish,filler,none,distractor,4,4,pig,filler,none,distractor,1,2,horse,filler,none,distractor,2,1
5231-f,1620234667625,2,clickedObj,,elephant,filler,none,target,1,3,banana,filler,none,distractor,2,4,bowl,filler,none,distractor,3,2,guitar,filler,none,distractor,4,1
5231-f,1620234681306,3,clickedObj,,butterfly,filler,none,target,3,3,dog,filler,none,distractor,4,4,strawberry,filler,none,distractor,2,1,chick,filler,none,distractor,1,2
5231-f,1620234694440,4,clickedObj,,horse,filler,none,target,4,4,fish,filler,none,distractor,1,2,pig,filler,none,distractor,3,1,tomato,filler,none,distractor,2,3
5231-f,1620234708500,5,clickedObj,,strawberry,filler,none,target,3,1,chick,filler,none,distractor,1,4,dog,filler,none,distractor,4,2,butterfly,filler,none,distractor,2,3
5231-f,1620234722849,6,clickedObj,,pot_big_blue,overinformativeness,color_sufficient,target,1,3,pot_small_green,overinformativeness,color_sufficient,distractor,3,2,pot_big_green,overinformativeness,color_sufficient,distractor,2,4,pot_big_green,overinformativeness,color_sufficient,distractor,4,1
5231-f,1620234734871,7,clickedObj,,dog,filler,none,target,4,1,strawberry,filler,none,distractor,2,3,butterfly,filler,none,distractor,1,2,chick,filler,none,distractor,3,4
5231-f,1620234748507,8,clickedObj,,chick,filler,none,target,2,3,dog,filler,none,distractor,4,4,butterfly,filler,none,distractor,3,1,strawberry,filler,none,distractor,1,2
5231-f,1620234760397,9,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,target,2,1,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,3,2,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,4,4,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,1,3
5231-f,1620234773338,10,clickedObj,,socks_small_blue,overinformativeness,color_sufficient,target,1,3,socks_small_green,overinformativeness,color_sufficient,distractor,2,4,socks_small_green,overinformativeness,color_sufficient,distractor,3,1,socks_big_green,overinformativeness,color_sufficient,distractor,4,2
5231-f,1620234782124,11,clickedObj,,cow,filler,none,target,4,4,door,filler,none,distractor,3,3,pitcher,filler,none,distractor,2,2,carrot,filler,none,distractor,1,1
5231-f,1620234808750,12,clickedObj,,man2_bearded_glassed,adjective_ordering,none,target,4,4,man2_mustached_hatted,adjective_ordering,none,distractor,1,1,man2_bearded_hatted,adjective_ordering,none,distractor,2,2,man2_mustached_glassed,adjective_ordering,none,distractor,3,3
5231-f,1620234831024,13,clickedObj,,nails_black_matte,adjective_ordering,none,target,2,1,nails_black_glossy,adjective_ordering,none,distractor,3,2,nails_red_matte,adjective_ordering,none,distractor,4,3,nails_red_glossy,adjective_ordering,none,distractor,1,4
5231-f,1620234869787,14,clickedObj,,bottle_glass_small,adjective_ordering,none,target,4,4,bottle_plastic_small,adjective_ordering,none,distractor,3,2,bottle_glass_big,adjective_ordering,none,distractor,1,1,bottle_plastic_big,adjective_ordering,none,distractor,2,3
5231-f,1620234886710,15,clickedObj,,lock_big_gold,overinformativeness,color_sufficient,target,1,3,lock_small_silver,overinformativeness,color_sufficient,distractor,4,4,lock_big_silver,overinformativeness,color_sufficient,distractor,3,1,lock_big_silver,overinformativeness,color_sufficient,distractor,2,2
5231-f,1620234902641,16,clickedObj,,pencil_long_black,adjective_ordering,none,target,3,4,pencil_long_blue,adjective_ordering,none,distractor,2,3,pencil_short_blue,adjective_ordering,none,distractor,1,1,pencil_short_black,adjective_ordering,none,distractor,4,2
5231-f,1620234918788,17,clickedObj,,lipstick_small_pink,overinformativeness,color_sufficient,target,2,2,lipstick_big_red,overinformativeness,color_sufficient,distractor,4,3,lipstick_small_red,overinformativeness,color_sufficient,distractor,1,1,lipstick_small_red,overinformativeness,color_sufficient,distractor,3,4
5231-f,1620234939524,18,clickedObj,,frog_striped_red,adjective_ordering,none,target,2,4,frog_spotted_green,adjective_ordering,none,distractor,4,1,frog_spotted_red,adjective_ordering,none,distractor,3,2,frog_striped_green,adjective_ordering,none,distractor,1,3
5231-f,1620234949920,19,clickedObj,,fish,filler,none,target,4,3,tomato,filler,none,distractor,3,2,horse,filler,none,distractor,2,4,pig,filler,none,distractor,1,1
5231-f,1620234979049,20,clickedObj,,hair_curly_brown,adjective_ordering,none,target,4,3,hair_straight_blond,adjective_ordering,none,distractor,2,4,hair_straight_brown,adjective_ordering,none,distractor,3,2,hair_curly_blonde,adjective_ordering,none,distractor,1,1
5231-f,1620234999008,21,clickedObj,,box_open_cardboard,adjective_ordering,none,target,1,2,box_open_wood,adjective_ordering,none,distractor,2,1,box_closed_cardboard,adjective_ordering,none,distractor,4,3,box_closed_wood,adjective_ordering,none,distractor,3,4
5231-f,1620235016977,22,clickedObj,,tie_big_red,overinformativeness,color_sufficient,target,1,4,tie_small_blue,overinformativeness,color_sufficient,distractor,2,1,tie_big_blue,overinformativeness,color_sufficient,distractor,3,2,tie_big_blue,overinformativeness,color_sufficient,distractor,4,3
5231-f,1620235033837,23,clickedObj,,cat_small_white,overinformativeness,size_sufficient,target,4,2,cat_big_white,overinformativeness,size_sufficient,distractor,3,1,cat_big_black,overinformativeness,size_sufficient,distractor,1,4,cat_big_white,overinformativeness,size_sufficient,distractor,2,3
5231-f,1620235058602,24,clickedObj,,earring_small_triangular,adjective_ordering,none,target,3,1,earring_small_round,adjective_ordering,none,distractor,4,3,earring_big_round,adjective_ordering,none,distractor,1,2,earring_big_triangular,adjective_ordering,none,distractor,2,4
