gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
4762-9,1620234693807,1,clickedObj,,tomato,filler,none,target,4,2,horse,filler,none,distractor,3,4,fish,filler,none,distractor,2,3,pig,filler,none,distractor,1,1
4762-9,1620234700641,2,clickedObj,,elephant,filler,none,target,2,4,guitar,filler,none,distractor,4,2,bowl,filler,none,distractor,3,3,banana,filler,none,distractor,1,1
4762-9,1620234706531,3,clickedObj,,butterfly,filler,none,target,1,1,dog,filler,none,distractor,2,3,chick,filler,none,distractor,4,4,strawberry,filler,none,distractor,3,2
4762-9,1620234711779,4,clickedObj,,horse,filler,none,target,1,3,fish,filler,none,distractor,3,1,tomato,filler,none,distractor,2,2,pig,filler,none,distractor,4,4
4762-9,1620234718243,5,clickedObj,,strawberry,filler,none,target,3,3,chick,filler,none,distractor,1,4,butterfly,filler,none,distractor,2,1,dog,filler,none,distractor,4,2
4762-9,1620234724886,6,clickedObj,,cat_small_white,overinformativeness,size_sufficient,target,3,2,cat_big_white,overinformativeness,size_sufficient,distractor,4,3,cat_big_white,overinformativeness,size_sufficient,distractor,1,4,cat_big_black,overinformativeness,size_sufficient,distractor,2,1
4762-9,1620234731716,7,clickedObj,,shoe_big_yellow,overinformativeness,color_sufficient,target,3,4,shoe_big_pink,overinformativeness,color_sufficient,distractor,4,3,shoe_big_pink,overinformativeness,color_sufficient,distractor,2,2,shoe_small_pink,overinformativeness,color_sufficient,distractor,1,1
4762-9,1620234740616,8,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,target,4,2,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,3,1,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,1,3,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,2,4
4762-9,1620234748235,9,clickedObj,,dress_big_blue,overinformativeness,size_sufficient,target,4,3,dress_small_blue,overinformativeness,size_sufficient,distractor,3,2,dress_small_green,overinformativeness,size_sufficient,distractor,1,4,dress_small_blue,overinformativeness,size_sufficient,distractor,2,1
4762-9,1620234757368,10,clickedObj,,fish,filler,none,target,3,3,tomato,filler,none,distractor,2,2,pig,filler,none,distractor,1,1,horse,filler,none,distractor,4,4
4762-9,1620234763956,11,clickedObj,,key_small_silver,overinformativeness,size_sufficient,target,1,1,key_big_gold,overinformativeness,size_sufficient,distractor,3,3,key_big_silver,overinformativeness,size_sufficient,distractor,2,2,key_big_silver,overinformativeness,size_sufficient,distractor,4,4
4762-9,1620234770536,12,clickedObj,,pepper_big_green,overinformativeness,color_sufficient,target,4,2,pepper_big_red,overinformativeness,color_sufficient,distractor,2,3,pepper_big_red,overinformativeness,color_sufficient,distractor,3,1,pepper_small_red,overinformativeness,color_sufficient,distractor,1,4
4762-9,1620234776618,13,clickedObj,,pants_small_green,overinformativeness,color_sufficient,target,1,2,pants_big_pink,overinformativeness,color_sufficient,distractor,2,4,pants_small_pink,overinformativeness,color_sufficient,distractor,4,3,pants_small_pink,overinformativeness,color_sufficient,distractor,3,1
4762-9,1620234782934,14,clickedObj,,carrot,filler,none,target,1,3,cow,filler,none,distractor,4,1,pitcher,filler,none,distractor,3,4,door,filler,none,distractor,2,2
4762-9,1620234798767,15,clickedObj,,woman2_happy_skinny,adjective_ordering,none,target,3,1,woman2_sad_skinny,adjective_ordering,none,distractor,2,2,woman2_happy_fat,adjective_ordering,none,distractor,4,3,woman2_sad_fat,adjective_ordering,none,distractor,1,4
