gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
8313-7,1620234751920,1,clickedObj,,tomato,filler,none,target,3,4,pig,filler,none,distractor,1,2,fish,filler,none,distractor,4,3,horse,filler,none,distractor,2,1
8313-7,1620234816695,2,clickedObj,,elephant,filler,none,target,2,1,bowl,filler,none,distractor,4,2,guitar,filler,none,distractor,1,3,banana,filler,none,distractor,3,4
8313-7,1620234838623,3,clickedObj,,butterfly,filler,none,target,2,3,strawberry,filler,none,distractor,4,1,dog,filler,none,distractor,3,4,chick,filler,none,distractor,1,2
8313-7,1620234855111,4,clickedObj,,horse,filler,none,target,3,1,fish,filler,none,distractor,1,3,tomato,filler,none,distractor,4,2,pig,filler,none,distractor,2,4
8313-7,1620234872882,5,clickedObj,,strawberry,filler,none,target,4,3,butterfly,filler,none,distractor,1,1,dog,filler,none,distractor,2,4,chick,filler,none,distractor,3,2
8313-7,1620234909384,6,clickedObj,,chick,filler,none,target,1,4,strawberry,filler,none,distractor,3,2,dog,filler,none,distractor,4,3,butterfly,filler,none,distractor,2,1
8313-7,1620234924035,7,clickedObj,,ball_big_yellow,overinformativeness,size_sufficient,target,4,4,ball_small_purple,overinformativeness,size_sufficient,distractor,3,1,ball_small_yellow,overinformativeness,size_sufficient,distractor,2,2,ball_small_yellow,overinformativeness,size_sufficient,distractor,1,3
8313-7,1620234939137,8,clickedObj,,cow,filler,none,target,3,2,pitcher,filler,none,distractor,4,1,carrot,filler,none,distractor,2,4,door,filler,none,distractor,1,3
8313-7,1620234951943,9,clickedObj,,toothbrush_big_purple,overinformativeness,color_sufficient,target,4,4,toothbrush_big_green,overinformativeness,color_sufficient,distractor,3,1,toothbrush_small_green,overinformativeness,color_sufficient,distractor,2,3,toothbrush_big_green,overinformativeness,color_sufficient,distractor,1,2
8313-7,1620234972939,10,clickedObj,,hair_curly_blonde,adjective_ordering,none,target,3,2,hair_straight_brown,adjective_ordering,none,distractor,4,4,hair_straight_blond,adjective_ordering,none,distractor,2,3,hair_curly_brown,adjective_ordering,none,distractor,1,1
8313-7,1620234984898,11,clickedObj,,skirt_big_blue,overinformativeness,color_sufficient,target,1,1,skirt_big_green,overinformativeness,color_sufficient,distractor,4,4,skirt_big_green,overinformativeness,color_sufficient,distractor,3,2,skirt_small_green,overinformativeness,color_sufficient,distractor,2,3
8313-7,1620235039109,12,clickedObj,,baloon_small_pink,overinformativeness,size_sufficient,target,2,4,balloon_big_yellow,overinformativeness,size_sufficient,distractor,4,1,balloon_big_pink,overinformativeness,size_sufficient,distractor,1,2,balloon_big_pink,overinformativeness,size_sufficient,distractor,3,3
8313-7,1620235050644,13,clickedObj,,bag_big_blue,overinformativeness,size_sufficient,target,2,1,bag_small_red,overinformativeness,size_sufficient,distractor,1,2,bag_small_blue,overinformativeness,size_sufficient,distractor,3,4,bag_small_blue,overinformativeness,size_sufficient,distractor,4,3
8313-7,1620235071216,14,clickedObj,,tshirt_big_orange,overinformativeness,color_sufficient,target,2,4,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,3,2,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,1,3,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,4,1
8313-7,1620235094579,15,clickedObj,,guitar,filler,none,target,2,2,bowl,filler,none,distractor,4,3,banana,filler,none,distractor,1,1,elephant,filler,none,distractor,3,4
