gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
2220-4,1620235398850,1,clickedObj,,tomato,filler,none,target,2,4,horse,filler,none,distractor,3,2,pig,filler,none,distractor,4,3,fish,filler,none,distractor,1,1
2220-4,1620235412510,2,clickedObj,,elephant,filler,none,target,2,2,guitar,filler,none,distractor,4,3,bowl,filler,none,distractor,1,1,banana,filler,none,distractor,3,4
2220-4,1620235422021,3,clickedObj,,butterfly,filler,none,target,3,3,strawberry,filler,none,distractor,1,4,chick,filler,none,distractor,4,1,dog,filler,none,distractor,2,2
2220-4,1620235428133,4,clickedObj,,horse,filler,none,target,4,3,pig,filler,none,distractor,3,2,tomato,filler,none,distractor,1,4,fish,filler,none,distractor,2,1
2220-4,1620235440514,5,clickedObj,,strawberry,filler,none,target,1,1,chick,filler,none,distractor,3,3,dog,filler,none,distractor,2,4,butterfly,filler,none,distractor,4,2
2220-4,1620235452580,6,clickedObj,,pot_small_blue,overinformativeness,color_sufficient,target,3,3,pot_small_green,overinformativeness,color_sufficient,distractor,1,1,pot_small_green,overinformativeness,color_sufficient,distractor,4,4,pot_big_green,overinformativeness,color_sufficient,distractor,2,2
2220-4,1620235460209,7,clickedObj,,carrot,filler,none,target,1,4,pitcher,filler,none,distractor,2,1,door,filler,none,distractor,3,2,cow,filler,none,distractor,4,3
2220-4,1620235471502,8,clickedObj,,lipstick_small_pink,overinformativeness,color_sufficient,target,4,1,lipstick_big_red,overinformativeness,color_sufficient,distractor,2,2,lipstick_small_red,overinformativeness,color_sufficient,distractor,1,3,lipstick_small_red,overinformativeness,color_sufficient,distractor,3,4
2220-4,1620235498350,9,clickedObj,,man_old_bearded,adjective_ordering,none,target,2,4,man_young_bearded,adjective_ordering,none,distractor,1,2,man_old_cleanshaven,adjective_ordering,none,distractor,4,3,man_young_cleanshaven,adjective_ordering,none,distractor,3,1
2220-4,1620235504763,10,clickedObj,,door,filler,none,target,3,2,carrot,filler,none,distractor,2,3,pitcher,filler,none,distractor,1,1,cow,filler,none,distractor,4,4
2220-4,1620235515400,11,clickedObj,,glove_big_orange,overinformativeness,size_sufficient,target,1,1,glove_small_orange,overinformativeness,size_sufficient,distractor,3,4,glove_small_green,overinformativeness,size_sufficient,distractor,4,3,glove_small_orange,overinformativeness,size_sufficient,distractor,2,2
2220-4,1620235528088,12,clickedObj,,glasses_small_red,overinformativeness,size_sufficient,target,4,2,glasses_big_blue,overinformativeness,size_sufficient,distractor,2,3,glasses_big_red,overinformativeness,size_sufficient,distractor,3,1,glasses_big_red,overinformativeness,size_sufficient,distractor,1,4
2220-4,1620235536021,13,clickedObj,,cow,filler,none,target,4,4,door,filler,none,distractor,3,2,pitcher,filler,none,distractor,2,1,carrot,filler,none,distractor,1,3
2220-4,1620235544340,14,clickedObj,,shoe_big_yellow,overinformativeness,color_sufficient,target,2,1,shoe_small_pink,overinformativeness,color_sufficient,distractor,3,2,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,4,shoe_big_pink,overinformativeness,color_sufficient,distractor,4,3
2220-4,1620235552830,15,clickedObj,,umbrella_big_blue,overinformativeness,color_sufficient,target,4,1,umbrella_small_green,overinformativeness,color_sufficient,distractor,3,4,umbrella_big_green,overinformativeness,color_sufficient,distractor,2,3,umbrella_big_green,overinformativeness,color_sufficient,distractor,1,2
2220-4,1620235566860,16,clickedObj,,bag_small_blue,overinformativeness,size_sufficient,target,4,4,bag_big_blue,overinformativeness,size_sufficient,distractor,2,1,bag_big_red,overinformativeness,size_sufficient,distractor,3,2,bag_big_blue,overinformativeness,size_sufficient,distractor,1,3
2220-4,1620235585220,17,clickedObj,,hair_straight_brown,adjective_ordering,none,target,1,4,hair_straight_blond,adjective_ordering,none,distractor,3,3,hair_curly_blonde,adjective_ordering,none,distractor,4,1,hair_curly_brown,adjective_ordering,none,distractor,2,2
2220-4,1620235601290,18,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,1,2,brush_small_blue,overinformativeness,size_sufficient,distractor,2,4,brush_small_red,overinformativeness,size_sufficient,distractor,3,3,brush_small_blue,overinformativeness,size_sufficient,distractor,4,1
2220-4,1620235611433,19,clickedObj,,fish,filler,none,target,1,4,pig,filler,none,distractor,4,3,horse,filler,none,distractor,2,2,tomato,filler,none,distractor,3,1
