gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
9994-6,1620237102192,1,clickedObj,,tomato,filler,none,target,4,3,horse,filler,none,distractor,2,1,fish,filler,none,distractor,3,4,pig,filler,none,distractor,1,2
9994-6,1620237114216,2,clickedObj,,elephant,filler,none,target,3,2,banana,filler,none,distractor,2,3,bowl,filler,none,distractor,4,4,guitar,filler,none,distractor,1,1
9994-6,1620237148382,3,clickedObj,,butterfly,filler,none,target,4,2,strawberry,filler,none,distractor,3,4,dog,filler,none,distractor,2,1,chick,filler,none,distractor,1,3
9994-6,1620237205120,4,clickedObj,,horse,filler,none,target,2,1,fish,filler,none,distractor,4,3,tomato,filler,none,distractor,3,2,pig,filler,none,distractor,1,4
9994-6,1620237257285,5,clickedObj,,strawberry,filler,none,target,3,4,butterfly,filler,none,distractor,2,1,chick,filler,none,distractor,1,2,dog,filler,none,distractor,4,3
9994-6,1620237321324,6,clickedObj,,bag_small_red,overinformativeness,size_sufficient,target,2,4,bag_big_red,overinformativeness,size_sufficient,distractor,3,1,bag_big_blue,overinformativeness,size_sufficient,distractor,4,2,bag_big_red,overinformativeness,size_sufficient,distractor,1,3
9994-6,1620237379844,7,clickedObj,,knife_small_red,overinformativeness,size_sufficient,target,4,1,knife_big_red,overinformativeness,size_sufficient,distractor,2,2,knife_big_red,overinformativeness,size_sufficient,distractor,3,4,knife_big_blue,overinformativeness,size_sufficient,distractor,1,3
9994-6,1620237405989,8,clickedObj,,bowl,filler,none,target,4,2,elephant,filler,none,distractor,3,1,banana,filler,none,distractor,2,3,guitar,filler,none,distractor,1,4
9994-6,1620237491695,9,clickedObj,,baloon_small_yellow,overinformativeness,size_sufficient,distractor,1,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,2,1,baloon_small_pink,overinformativeness,size_sufficient,distractor,4,2,balloon_big_yellow,overinformativeness,size_sufficient,target,3,4
9994-6,1620237583462,10,clickedObj,,chair_small_blue,overinformativeness,size_sufficient,target,1,2,chair_big_blue,overinformativeness,size_sufficient,distractor,4,3,chair_big_yellow,overinformativeness,size_sufficient,distractor,2,4,chair_big_blue,overinformativeness,size_sufficient,distractor,3,1
9994-6,1620237593447,11,clickedObj,,lipstick_small_pink,overinformativeness,color_sufficient,target,2,4,lipstick_small_red,overinformativeness,color_sufficient,distractor,4,3,lipstick_small_red,overinformativeness,color_sufficient,distractor,1,2,lipstick_big_red,overinformativeness,color_sufficient,distractor,3,1
