gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7368-d,1620237542728,1,clickedObj,,tomato,filler,none,target,2,2,pig,filler,none,distractor,4,1,horse,filler,none,distractor,1,3,fish,filler,none,distractor,3,4
7368-d,1620237558592,2,clickedObj,,elephant,filler,none,target,2,4,banana,filler,none,distractor,1,3,guitar,filler,none,distractor,4,2,bowl,filler,none,distractor,3,1
7368-d,1620237572610,3,clickedObj,,butterfly,filler,none,target,4,2,dog,filler,none,distractor,3,3,strawberry,filler,none,distractor,1,1,chick,filler,none,distractor,2,4
7368-d,1620237588881,4,clickedObj,,horse,filler,none,target,3,2,fish,filler,none,distractor,4,4,pig,filler,none,distractor,1,3,tomato,filler,none,distractor,2,1
7368-d,1620237589877,4,clickedObj,,horse,filler,none,target,3,2,pig,filler,none,distractor,1,3,tomato,filler,none,distractor,2,1,fish,filler,none,distractor,4,4
7368-d,1620237601126,6,clickedObj,,bowl,filler,none,target,4,4,elephant,filler,none,distractor,2,1,guitar,filler,none,distractor,1,3,banana,filler,none,distractor,3,2
7368-d,1620237642015,7,clickedObj,,earring_big_triangular,adjective_ordering,none,distractor,3,2,earring_small_round,adjective_ordering,none,distractor,2,3,earring_big_round,adjective_ordering,none,target,1,4,earring_small_triangular,adjective_ordering,none,distractor,4,1
7368-d,1620237671610,8,clickedObj,,bottle_glass_big,adjective_ordering,none,target,3,1,bottle_plastic_small,adjective_ordering,none,distractor,2,3,bottle_plastic_big,adjective_ordering,none,distractor,4,4,bottle_glass_small,adjective_ordering,none,distractor,1,2
7368-d,1620237687814,9,clickedObj,,car_small_green,overinformativeness,size_sufficient,target,3,2,car_big_green,overinformativeness,size_sufficient,distractor,2,4,car_big_green,overinformativeness,size_sufficient,distractor,4,3,car_big_blue,overinformativeness,size_sufficient,distractor,1,1
7368-d,1620237717519,10,clickedObj,,fish,filler,none,target,4,2,pig,filler,none,distractor,1,4,tomato,filler,none,distractor,2,3,horse,filler,none,distractor,3,1
7368-d,1620237742623,11,clickedObj,,flower_small_yellow,overinformativeness,size_sufficient,target,1,2,flower_big_yellow,overinformativeness,size_sufficient,distractor,3,3,flower_big_yellow,overinformativeness,size_sufficient,distractor,4,4,flower_big_pink,overinformativeness,size_sufficient,distractor,2,1
7368-d,1620237765408,12,clickedObj,,chick,filler,none,target,1,4,dog,filler,none,distractor,3,2,strawberry,filler,none,distractor,2,1,butterfly,filler,none,distractor,4,3
7368-d,1620237779272,13,clickedObj,,door,filler,none,target,2,2,cow,filler,none,distractor,3,4,carrot,filler,none,distractor,4,1,pitcher,filler,none,distractor,1,3
7368-d,1620237800738,14,clickedObj,,nails_black_glossy,adjective_ordering,none,target,4,2,nails_black_matte,adjective_ordering,none,distractor,1,4,nails_red_glossy,adjective_ordering,none,distractor,2,3,nails_red_matte,adjective_ordering,none,distractor,3,1
7368-d,1620237821215,15,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,target,2,3,clock_small_purple,overinformativeness,size_sufficient,distractor,4,4,clock_small_purple,overinformativeness,size_sufficient,distractor,1,1,clock_small_yellow,overinformativeness,size_sufficient,distractor,3,2
7368-d,1620237873355,16,clickedObj,,glove_big_orange,overinformativeness,size_sufficient,target,2,1,glove_small_orange,overinformativeness,size_sufficient,distractor,1,3,glove_small_orange,overinformativeness,size_sufficient,distractor,4,2,glove_small_green,overinformativeness,size_sufficient,distractor,3,4
7368-d,1620237901942,17,clickedObj,,woman2_sad_fat,adjective_ordering,none,target,2,1,woman2_sad_skinny,adjective_ordering,none,distractor,3,3,woman2_happy_skinny,adjective_ordering,none,distractor,4,4,woman2_happy_fat,adjective_ordering,none,distractor,1,2
7368-d,1620237938365,18,clickedObj,,apple_small_green,overinformativeness,size_sufficient,target,2,3,apple_big_red,overinformativeness,size_sufficient,distractor,3,4,apple_big_green,overinformativeness,size_sufficient,distractor,4,1,apple_big_green,overinformativeness,size_sufficient,distractor,1,2
7368-d,1620238002261,19,clickedObj,,brush_big_red,overinformativeness,size_sufficient,target,2,3,brush_small_blue,overinformativeness,size_sufficient,distractor,3,4,brush_small_red,overinformativeness,size_sufficient,distractor,4,1,brush_small_red,overinformativeness,size_sufficient,distractor,1,2
7368-d,1620238035380,20,clickedObj,,carrot,filler,none,target,2,2,pitcher,filler,none,distractor,3,3,cow,filler,none,distractor,4,1,door,filler,none,distractor,1,4
7368-d,1620238062191,21,clickedObj,,table_metal_low,adjective_ordering,none,distractor,3,1,table_wood_high,adjective_ordering,none,distractor,4,3,table_wood_low,adjective_ordering,none,distractor,2,2,table_metal_high,adjective_ordering,none,target,1,4
7368-d,1620238076037,22,clickedObj,,button_small_blue,overinformativeness,size_sufficient,target,3,3,button_big_blue,overinformativeness,size_sufficient,distractor,1,1,button_big_blue,overinformativeness,size_sufficient,distractor,4,2,button_big_green,overinformativeness,size_sufficient,distractor,2,4
7368-d,1620238082526,23,clickedObj,,pepper_small_green,overinformativeness,color_sufficient,target,4,2,pepper_big_red,overinformativeness,color_sufficient,distractor,3,1,pepper_small_red,overinformativeness,color_sufficient,distractor,2,4,pepper_small_red,overinformativeness,color_sufficient,distractor,1,3
7368-d,1620238121317,24,clickedObj,,umbrella_small_blue,overinformativeness,color_sufficient,target,1,2,umbrella_small_green,overinformativeness,color_sufficient,distractor,4,3,umbrella_small_green,overinformativeness,color_sufficient,distractor,2,1,umbrella_big_green,overinformativeness,color_sufficient,distractor,3,4
7368-d,1620238144487,25,clickedObj,,scissors_big_blue,overinformativeness,color_sufficient,distractor,4,2,scissors_small_blue,overinformativeness,color_sufficient,distractor,1,3,scissors_small_blue,overinformativeness,color_sufficient,distractor,3,4,scissors_small_green,overinformativeness,color_sufficient,target,2,1
7368-d,1620238180311,26,clickedObj,,hair_curly_brown,adjective_ordering,none,distractor,4,1,hair_straight_brown,adjective_ordering,none,target,2,4,hair_straight_blond,adjective_ordering,none,distractor,1,2,hair_curly_blonde,adjective_ordering,none,distractor,3,3
7368-d,1620238196187,27,clickedObj,,man2_mustached_glassed,adjective_ordering,none,target,1,2,man2_bearded_hatted,adjective_ordering,none,distractor,2,3,man2_mustached_hatted,adjective_ordering,none,distractor,4,1,man2_bearded_glassed,adjective_ordering,none,distractor,3,4
7368-d,1620238206556,28,clickedObj,,knife_big_red,overinformativeness,size_sufficient,target,4,2,knife_small_red,overinformativeness,size_sufficient,distractor,1,4,knife_small_blue,overinformativeness,size_sufficient,distractor,2,1,knife_small_red,overinformativeness,size_sufficient,distractor,3,3
7368-d,1620238216954,29,clickedObj,,shoe_small_pink,overinformativeness,color_sufficient,target,1,2,show_small_yellow,overinformativeness,color_sufficient,distractor,4,3,show_small_yellow,overinformativeness,color_sufficient,distractor,3,1,shoe_big_yellow,overinformativeness,color_sufficient,distractor,2,4
7368-d,1620238229969,30,clickedObj,,guitar,filler,none,target,2,3,banana,filler,none,distractor,3,2,elephant,filler,none,distractor,4,4,bowl,filler,none,distractor,1,1
7368-d,1620238243487,31,clickedObj,,lipstick_big_red,overinformativeness,color_sufficient,target,3,2,lipstick_big_pink,overinformativeness,color_sufficient,distractor,2,1,lipstick_small_pink,overinformativeness,color_sufficient,distractor,1,3,lipstick_big_pink,overinformativeness,color_sufficient,distractor,4,4
7368-d,1620238257745,32,clickedObj,,man_young_cleanshaven,adjective_ordering,none,target,2,1,man_old_bearded,adjective_ordering,none,distractor,3,4,man_young_bearded,adjective_ordering,none,distractor,1,3,man_old_cleanshaven,adjective_ordering,none,distractor,4,2
