gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
3571-e,1620238618494,1,clickedObj,,tomato,filler,none,target,4,3,fish,filler,none,distractor,3,4,pig,filler,none,distractor,2,1,horse,filler,none,distractor,1,2
3571-e,1620238636932,2,clickedObj,,elephant,filler,none,target,1,1,bowl,filler,none,distractor,3,3,banana,filler,none,distractor,2,2,guitar,filler,none,distractor,4,4
3571-e,1620238649136,3,clickedObj,,butterfly,filler,none,target,3,3,chick,filler,none,distractor,2,4,dog,filler,none,distractor,1,2,strawberry,filler,none,distractor,4,1
3571-e,1620238662154,4,clickedObj,,horse,filler,none,target,2,4,fish,filler,none,distractor,1,1,tomato,filler,none,distractor,4,2,pig,filler,none,distractor,3,3
3571-e,1620238671618,5,clickedObj,,strawberry,filler,none,target,1,2,butterfly,filler,none,distractor,3,3,chick,filler,none,distractor,4,4,dog,filler,none,distractor,2,1
3571-e,1620238681782,6,clickedObj,,toothbrush_big_green,overinformativeness,color_sufficient,target,2,2,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,4,1,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,3,3,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,1,4
3571-e,1620238692272,7,clickedObj,,guitar,filler,none,target,1,4,banana,filler,none,distractor,3,3,bowl,filler,none,distractor,4,2,elephant,filler,none,distractor,2,1
3571-e,1620238703365,8,clickedObj,,pot_big_green,overinformativeness,color_sufficient,target,4,1,pot_small_blue,overinformativeness,color_sufficient,distractor,1,2,pot_big_blue,overinformativeness,color_sufficient,distractor,3,4,pot_big_blue,overinformativeness,color_sufficient,distractor,2,3
3571-e,1620238716147,9,clickedObj,,carrot,filler,none,target,1,4,door,filler,none,distractor,2,1,pitcher,filler,none,distractor,4,3,cow,filler,none,distractor,3,2
3571-e,1620238736060,10,clickedObj,,box_closed_wood,adjective_ordering,none,target,2,1,box_closed_cardboard,adjective_ordering,none,distractor,3,3,box_open_cardboard,adjective_ordering,none,distractor,4,2,box_open_wood,adjective_ordering,none,distractor,1,4
