gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
9368-4,1620240342142,1,clickedObj,,tomato,filler,none,target,2,3,fish,filler,none,distractor,3,1,horse,filler,none,distractor,4,2,pig,filler,none,distractor,1,4
9368-4,1620240402266,2,clickedObj,,elephant,filler,none,target,2,3,banana,filler,none,distractor,3,2,guitar,filler,none,distractor,1,4,bowl,filler,none,distractor,4,1
9368-4,1620240431751,3,clickedObj,,butterfly,filler,none,target,1,2,dog,filler,none,distractor,4,3,chick,filler,none,distractor,3,1,strawberry,filler,none,distractor,2,4
9368-4,1620240451138,4,clickedObj,,horse,filler,none,target,4,2,fish,filler,none,distractor,2,4,pig,filler,none,distractor,1,3,tomato,filler,none,distractor,3,1
9368-4,1620240473430,5,clickedObj,,strawberry,filler,none,target,1,4,dog,filler,none,distractor,2,2,chick,filler,none,distractor,3,1,butterfly,filler,none,distractor,4,3
9368-4,1620240538352,6,clickedObj,,glasses_small_red,overinformativeness,size_sufficient,target,4,1,glasses_big_blue,overinformativeness,size_sufficient,distractor,3,3,glasses_big_red,overinformativeness,size_sufficient,distractor,1,2,glasses_big_red,overinformativeness,size_sufficient,distractor,2,4
9368-4,1620240549820,7,clickedObj,,pants_small_pink,overinformativeness,color_sufficient,target,4,1,pants_small_green,overinformativeness,color_sufficient,distractor,2,4,pants_big_green,overinformativeness,color_sufficient,distractor,1,2,pants_small_green,overinformativeness,color_sufficient,distractor,3,3
9368-4,1620240612360,8,clickedObj,,nails_red_matte,adjective_ordering,none,target,3,3,nails_black_glossy,adjective_ordering,none,distractor,2,4,nails_black_matte,adjective_ordering,none,distractor,4,2,nails_red_glossy,adjective_ordering,none,distractor,1,1
9368-4,1620240636403,9,clickedObj,,hair_curly_brown,adjective_ordering,none,target,3,1,hair_curly_blonde,adjective_ordering,none,distractor,4,3,hair_straight_brown,adjective_ordering,none,distractor,2,4,hair_straight_blond,adjective_ordering,none,distractor,1,2
9368-4,1620240652567,10,clickedObj,,skirt_big_blue,overinformativeness,color_sufficient,target,3,4,skirt_big_green,overinformativeness,color_sufficient,distractor,2,2,skirt_small_green,overinformativeness,color_sufficient,distractor,4,3,skirt_big_green,overinformativeness,color_sufficient,distractor,1,1
9368-4,1620240665260,11,clickedObj,,guitar,filler,none,target,2,2,bowl,filler,none,distractor,4,3,banana,filler,none,distractor,3,4,elephant,filler,none,distractor,1,1
9368-4,1620240681245,12,clickedObj,,bag_big_red,overinformativeness,size_sufficient,target,2,1,bag_small_blue,overinformativeness,size_sufficient,distractor,1,4,bag_small_red,overinformativeness,size_sufficient,distractor,4,2,bag_small_red,overinformativeness,size_sufficient,distractor,3,3
9368-4,1620240691232,13,clickedObj,,fish,filler,none,target,2,1,tomato,filler,none,distractor,1,3,pig,filler,none,distractor,3,2,horse,filler,none,distractor,4,4
