gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
0460-4,1620243233183,1,clickedObj,,tomato,filler,none,target,3,4,fish,filler,none,distractor,2,2,pig,filler,none,distractor,1,1,horse,filler,none,distractor,4,3
0460-4,1620243249156,2,clickedObj,,elephant,filler,none,target,2,4,guitar,filler,none,distractor,4,2,bowl,filler,none,distractor,1,3,banana,filler,none,distractor,3,1
0460-4,1620243270567,3,clickedObj,,butterfly,filler,none,target,4,3,dog,filler,none,distractor,1,1,chick,filler,none,distractor,3,4,strawberry,filler,none,distractor,2,2
0460-4,1620243293398,4,clickedObj,,horse,filler,none,target,4,2,tomato,filler,none,distractor,3,4,fish,filler,none,distractor,1,3,pig,filler,none,distractor,2,1
0460-4,1620243315121,5,clickedObj,,strawberry,filler,none,target,1,4,chick,filler,none,distractor,2,2,dog,filler,none,distractor,4,1,butterfly,filler,none,distractor,3,3
0460-4,1620243332238,6,clickedObj,,key_big_gold,overinformativeness,size_sufficient,target,1,3,key_small_gold,overinformativeness,size_sufficient,distractor,3,2,key_small_silver,overinformativeness,size_sufficient,distractor,2,4,key_small_gold,overinformativeness,size_sufficient,distractor,4,1
0460-4,1620243342190,7,clickedObj,,apple_small_green,overinformativeness,size_sufficient,target,1,1,apple_big_red,overinformativeness,size_sufficient,distractor,4,4,apple_big_green,overinformativeness,size_sufficient,distractor,2,3,apple_big_green,overinformativeness,size_sufficient,distractor,3,2
0460-4,1620243367092,8,clickedObj,,balloon_big_yellow,overinformativeness,size_sufficient,target,3,1,baloon_small_pink,overinformativeness,size_sufficient,distractor,2,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,4,4,baloon_small_yellow,overinformativeness,size_sufficient,distractor,1,2
0460-4,1620243378149,9,clickedObj,,glasses_big_blue,overinformativeness,size_sufficient,target,3,3,glasses_small_blue,overinformativeness,size_sufficient,distractor,2,2,glasses_small_red,overinformativeness,size_sufficient,distractor,1,1,glasses_small_blue,overinformativeness,size_sufficient,distractor,4,4
0460-4,1620243401558,10,clickedObj,,woman_old_happy,adjective_ordering,none,target,4,3,woman_old_sad,adjective_ordering,none,distractor,2,1,woman_young_happy,adjective_ordering,none,distractor,3,2,woman_young_sad,adjective_ordering,none,distractor,1,4
0460-4,1620243409500,11,clickedObj,,pants_small_pink,overinformativeness,color_sufficient,target,2,4,pants_big_green,overinformativeness,color_sufficient,distractor,1,2,pants_small_green,overinformativeness,color_sufficient,distractor,4,1,pants_small_green,overinformativeness,color_sufficient,distractor,3,3
0460-4,1620243421636,12,clickedObj,,frog_spotted_green,adjective_ordering,none,target,3,2,frog_spotted_red,adjective_ordering,none,distractor,1,3,frog_striped_green,adjective_ordering,none,distractor,4,4,frog_striped_red,adjective_ordering,none,distractor,2,1
0460-4,1620243429912,13,clickedObj,,banana,filler,none,target,4,2,guitar,filler,none,distractor,3,4,bowl,filler,none,distractor,2,1,elephant,filler,none,distractor,1,3
0460-4,1620243440983,14,clickedObj,,bowl,filler,none,target,1,4,guitar,filler,none,distractor,3,3,elephant,filler,none,distractor,2,1,banana,filler,none,distractor,4,2
0460-4,1620243447496,15,clickedObj,,toothbrush_big_green,overinformativeness,color_sufficient,target,3,4,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,1,2,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,2,1,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,4,3
0460-4,1620243467678,16,clickedObj,,shorts_wet_red,adjective_ordering,none,target,3,4,shorts_dry_green,adjective_ordering,none,distractor,4,3,shorts_wet_green,adjective_ordering,none,distractor,2,1,shorts_dry_red,adjective_ordering,none,distractor,1,2
0460-4,1620243474189,17,clickedObj,,tie_big_red,overinformativeness,color_sufficient,target,3,4,tie_small_blue,overinformativeness,color_sufficient,distractor,1,1,tie_big_blue,overinformativeness,color_sufficient,distractor,2,2,tie_big_blue,overinformativeness,color_sufficient,distractor,4,3
0460-4,1620243486065,18,clickedObj,,socks_small_green,overinformativeness,color_sufficient,target,2,4,socks_big_blue,overinformativeness,color_sufficient,distractor,3,3,socks_small_blue,overinformativeness,color_sufficient,distractor,4,2,socks_small_blue,overinformativeness,color_sufficient,distractor,1,1
0460-4,1620243496345,19,clickedObj,,bag_small_blue,overinformativeness,size_sufficient,target,3,4,bag_big_blue,overinformativeness,size_sufficient,distractor,4,3,bag_big_red,overinformativeness,size_sufficient,distractor,1,1,bag_big_blue,overinformativeness,size_sufficient,distractor,2,2
0460-4,1620243519017,20,clickedObj,,woman2_happy_fat,adjective_ordering,none,target,2,4,woman2_sad_fat,adjective_ordering,none,distractor,3,2,woman2_happy_skinny,adjective_ordering,none,distractor,1,3,woman2_sad_skinny,adjective_ordering,none,distractor,4,1
0460-4,1620243528721,21,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,4,2,brush_small_red,overinformativeness,size_sufficient,distractor,1,1,brush_small_blue,overinformativeness,size_sufficient,distractor,3,4,brush_small_blue,overinformativeness,size_sufficient,distractor,2,3
0460-4,1620243556013,22,clickedObj,,spoon_wooden_clean,adjective_ordering,none,target,4,1,spoon_metal_dirty,adjective_ordering,none,distractor,1,3,spoon_metal_clean,adjective_ordering,none,distractor,3,2,spoon_wooden_dirty,adjective_ordering,none,distractor,2,4
0460-4,1620243566677,23,clickedObj,,pencil_long_blue,adjective_ordering,none,target,2,4,pencil_long_black,adjective_ordering,none,distractor,4,1,pencil_short_black,adjective_ordering,none,distractor,3,3,pencil_short_blue,adjective_ordering,none,distractor,1,2
0460-4,1620243579230,24,clickedObj,,tshirt_big_orange,overinformativeness,color_sufficient,target,2,2,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,1,1,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,3,3,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,4,4
0460-4,1620243594820,25,clickedObj,,pot_big_blue,overinformativeness,color_sufficient,target,1,3,pot_small_green,overinformativeness,color_sufficient,distractor,2,4,pot_big_green,overinformativeness,color_sufficient,distractor,3,1,pot_big_green,overinformativeness,color_sufficient,distractor,4,2
0460-4,1620243604198,26,clickedObj,,lipstick_small_red,overinformativeness,color_sufficient,target,2,4,lipstick_small_pink,overinformativeness,color_sufficient,distractor,4,1,lipstick_small_pink,overinformativeness,color_sufficient,distractor,3,2,lipstick_big_pink,overinformativeness,color_sufficient,distractor,1,3
0460-4,1620243617147,27,clickedObj,,cow,filler,none,target,2,3,pitcher,filler,none,distractor,3,1,door,filler,none,distractor,1,4,carrot,filler,none,distractor,4,2
0460-4,1620243624486,28,clickedObj,,lighter_small_black,overinformativeness,color_sufficient,target,3,3,lighter_small_white,overinformativeness,color_sufficient,distractor,4,1,lighter_big_white,overinformativeness,color_sufficient,distractor,2,4,lighter_small_white,overinformativeness,color_sufficient,distractor,1,2
0460-4,1620243633316,29,clickedObj,,guitar,filler,none,target,3,4,banana,filler,none,distractor,1,2,bowl,filler,none,distractor,2,1,elephant,filler,none,distractor,4,3
0460-4,1620243649955,30,clickedObj,,table_metal_high,adjective_ordering,none,target,1,1,table_metal_low,adjective_ordering,none,distractor,4,3,table_wood_low,adjective_ordering,none,distractor,3,2,table_wood_high,adjective_ordering,none,distractor,2,4
0460-4,1620243657972,31,clickedObj,,ball_big_purple,overinformativeness,size_sufficient,target,4,3,ball_small_purple,overinformativeness,size_sufficient,distractor,3,2,ball_small_purple,overinformativeness,size_sufficient,distractor,1,1,ball_small_yellow,overinformativeness,size_sufficient,distractor,2,4
0460-4,1620243667201,32,clickedObj,,door,filler,none,target,4,2,pitcher,filler,none,distractor,1,3,cow,filler,none,distractor,3,4,carrot,filler,none,distractor,2,1
0460-4,1620243674676,33,clickedObj,,flower_big_pink,overinformativeness,size_sufficient,target,1,4,flower_small_yellow,overinformativeness,size_sufficient,distractor,4,3,flower_small_pink,overinformativeness,size_sufficient,distractor,3,1,flower_small_pink,overinformativeness,size_sufficient,distractor,2,2
0460-4,1620243681451,34,clickedObj,,pepper_small_red,overinformativeness,color_sufficient,target,1,3,pepper_big_green,overinformativeness,color_sufficient,distractor,4,2,pepper_small_green,overinformativeness,color_sufficient,distractor,3,1,pepper_small_green,overinformativeness,color_sufficient,distractor,2,4
0460-4,1620243702103,35,clickedObj,,earring_big_round,adjective_ordering,none,target,3,1,earring_small_triangular,adjective_ordering,none,distractor,1,4,earring_small_round,adjective_ordering,none,distractor,4,2,earring_big_triangular,adjective_ordering,none,distractor,2,3
0460-4,1620243735345,36,clickedObj,,pig,filler,none,target,2,4,tomato,filler,none,distractor,1,1,horse,filler,none,distractor,3,2,fish,filler,none,distractor,4,3
0460-4,1620243746961,37,clickedObj,,cat_small_white,overinformativeness,size_sufficient,target,3,1,cat_big_white,overinformativeness,size_sufficient,distractor,2,2,cat_big_black,overinformativeness,size_sufficient,distractor,1,3,cat_big_white,overinformativeness,size_sufficient,distractor,4,4
0460-4,1620243761192,38,clickedObj,,picture_colored_square,adjective_ordering,none,target,2,4,picture_bw_square,adjective_ordering,none,distractor,4,1,picture_bw_rectangular,adjective_ordering,none,distractor,1,3,picture_colored_rectangular,adjective_ordering,none,distractor,3,2
0460-4,1620243772096,39,clickedObj,,glove_big_green,overinformativeness,size_sufficient,target,3,3,glove_small_orange,overinformativeness,size_sufficient,distractor,2,2,glove_small_green,overinformativeness,size_sufficient,distractor,1,1,glove_small_green,overinformativeness,size_sufficient,distractor,4,4
0460-4,1620243781001,40,clickedObj,,lock_big_gold,overinformativeness,color_sufficient,target,4,1,lock_small_silver,overinformativeness,color_sufficient,distractor,2,3,lock_big_silver,overinformativeness,color_sufficient,distractor,3,4,lock_big_silver,overinformativeness,color_sufficient,distractor,1,2
0460-4,1620243789962,41,clickedObj,,skirt_big_green,overinformativeness,color_sufficient,target,4,4,skirt_small_blue,overinformativeness,color_sufficient,distractor,3,2,skirt_big_blue,overinformativeness,color_sufficient,distractor,2,1,skirt_big_blue,overinformativeness,color_sufficient,distractor,1,3
0460-4,1620243798148,42,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,2,2,button_small_blue,overinformativeness,size_sufficient,distractor,4,3,button_small_green,overinformativeness,size_sufficient,distractor,1,4,button_small_blue,overinformativeness,size_sufficient,distractor,3,1
0460-4,1620243821246,43,clickedObj,,box_closed_cardboard,adjective_ordering,none,target,1,1,box_open_cardboard,adjective_ordering,none,distractor,4,2,box_closed_wood,adjective_ordering,none,distractor,2,3,box_open_wood,adjective_ordering,none,distractor,3,4
0460-4,1620243829237,44,clickedObj,,dress_big_blue,overinformativeness,size_sufficient,target,4,3,dress_small_green,overinformativeness,size_sufficient,distractor,3,4,dress_small_blue,overinformativeness,size_sufficient,distractor,2,2,dress_small_blue,overinformativeness,size_sufficient,distractor,1,1
0460-4,1620243851239,45,clickedObj,,man_old_bearded,adjective_ordering,none,target,1,3,man_young_cleanshaven,adjective_ordering,none,distractor,4,1,man_young_bearded,adjective_ordering,none,distractor,2,2,man_old_cleanshaven,adjective_ordering,none,distractor,3,4
0460-4,1620243863953,46,clickedObj,,man2_bearded_hatted,adjective_ordering,none,target,3,2,man2_mustached_hatted,adjective_ordering,none,distractor,1,3,man2_mustached_glassed,adjective_ordering,none,distractor,4,4,man2_bearded_glassed,adjective_ordering,none,distractor,2,1
0460-4,1620243871980,47,clickedObj,,clock_big_purple,overinformativeness,size_sufficient,target,4,4,clock_small_yellow,overinformativeness,size_sufficient,distractor,2,3,clock_small_purple,overinformativeness,size_sufficient,distractor,3,1,clock_small_purple,overinformativeness,size_sufficient,distractor,1,2
0460-4,1620243883037,48,clickedObj,,fish,filler,none,target,3,4,horse,filler,none,distractor,1,3,pig,filler,none,distractor,4,1,tomato,filler,none,distractor,2,2
0460-4,1620243892233,49,clickedObj,,carrot,filler,none,target,1,3,pitcher,filler,none,distractor,2,1,door,filler,none,distractor,3,2,cow,filler,none,distractor,4,4
0460-4,1620243906656,50,clickedObj,,dog,filler,none,target,1,3,chick,filler,none,distractor,3,1,butterfly,filler,none,distractor,2,4,strawberry,filler,none,distractor,4,2
0460-4,1620243914340,51,clickedObj,,shoe_big_yellow,overinformativeness,color_sufficient,target,2,2,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,1,shoe_small_pink,overinformativeness,color_sufficient,distractor,3,3,shoe_big_pink,overinformativeness,color_sufficient,distractor,4,4
0460-4,1620243934798,52,clickedObj,,bottle_plastic_small,adjective_ordering,none,target,2,1,bottle_glass_big,adjective_ordering,none,distractor,4,2,bottle_glass_small,adjective_ordering,none,distractor,3,3,bottle_plastic_big,adjective_ordering,none,distractor,1,4
0460-4,1620243941640,53,clickedObj,,scissors_small_green,overinformativeness,color_sufficient,target,1,2,scissors_small_blue,overinformativeness,color_sufficient,distractor,4,4,scissors_big_blue,overinformativeness,color_sufficient,distractor,3,3,scissors_small_blue,overinformativeness,color_sufficient,distractor,2,1
0460-4,1620243968655,54,clickedObj,,nails_red_glossy,adjective_ordering,none,distractor,1,3,nails_black_matte,adjective_ordering,none,distractor,3,4,nails_black_glossy,adjective_ordering,none,distractor,2,1,nails_red_matte,adjective_ordering,none,target,4,2
