gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
5003-b,1620228525236,1,clickedObj,,tomato,filler,none,target,4,3,pig,filler,none,distractor,2,1,horse,filler,none,distractor,3,4,fish,filler,none,distractor,1,2
5003-b,1620228533018,2,clickedObj,,elephant,filler,none,target,3,4,bowl,filler,none,distractor,2,3,banana,filler,none,distractor,1,2,guitar,filler,none,distractor,4,1
5003-b,1620228539868,3,clickedObj,,butterfly,filler,none,target,4,2,chick,filler,none,distractor,2,1,dog,filler,none,distractor,3,4,strawberry,filler,none,distractor,1,3
5003-b,1620228544114,4,clickedObj,,horse,filler,none,target,4,4,pig,filler,none,distractor,2,1,tomato,filler,none,distractor,1,3,fish,filler,none,distractor,3,2
5003-b,1620228549104,5,clickedObj,,strawberry,filler,none,target,3,4,dog,filler,none,distractor,4,2,chick,filler,none,distractor,2,1,butterfly,filler,none,distractor,1,3
5003-b,1620228555248,6,clickedObj,,pepper_small_red,overinformativeness,color_sufficient,target,4,3,pepper_small_green,overinformativeness,color_sufficient,distractor,3,1,pepper_small_green,overinformativeness,color_sufficient,distractor,2,4,pepper_big_green,overinformativeness,color_sufficient,distractor,1,2
5003-b,1620228581347,7,clickedObj,,table_metal_low,adjective_ordering,none,distractor,2,2,table_wood_low,adjective_ordering,none,distractor,1,4,table_metal_high,adjective_ordering,none,target,4,3,table_wood_high,adjective_ordering,none,distractor,3,1
5003-b,1620228600441,8,clickedObj,,shorts_wet_red,adjective_ordering,none,target,1,1,shorts_dry_green,adjective_ordering,none,distractor,4,4,shorts_dry_red,adjective_ordering,none,distractor,2,3,shorts_wet_green,adjective_ordering,none,distractor,3,2
5003-b,1620228611627,9,clickedObj,,knife_small_blue,overinformativeness,size_sufficient,target,2,3,knife_big_blue,overinformativeness,size_sufficient,distractor,3,4,knife_big_red,overinformativeness,size_sufficient,distractor,1,2,knife_big_blue,overinformativeness,size_sufficient,distractor,4,1
5003-b,1620228619384,10,clickedObj,,hair_curly_blonde,adjective_ordering,none,target,3,1,hair_straight_brown,adjective_ordering,none,distractor,1,3,hair_straight_blond,adjective_ordering,none,distractor,4,4,hair_curly_brown,adjective_ordering,none,distractor,2,2
5003-b,1620228625683,11,clickedObj,,pencil_short_blue,adjective_ordering,none,target,3,4,pencil_long_blue,adjective_ordering,none,distractor,2,1,pencil_short_black,adjective_ordering,none,distractor,1,3,pencil_long_black,adjective_ordering,none,distractor,4,2
5003-b,1620228634409,12,clickedObj,,man2_bearded_glassed,adjective_ordering,none,target,2,4,man2_mustached_hatted,adjective_ordering,none,distractor,3,2,man2_bearded_hatted,adjective_ordering,none,distractor,4,1,man2_mustached_glassed,adjective_ordering,none,distractor,1,3
5003-b,1620228642852,13,clickedObj,,glove_big_orange,overinformativeness,size_sufficient,target,4,3,glove_small_green,overinformativeness,size_sufficient,distractor,3,2,glove_small_orange,overinformativeness,size_sufficient,distractor,1,1,glove_small_orange,overinformativeness,size_sufficient,distractor,2,4
5003-b,1620228650293,14,clickedObj,,clock_small_yellow,overinformativeness,size_sufficient,target,2,4,clock_big_yellow,overinformativeness,size_sufficient,distractor,1,1,clock_big_purple,overinformativeness,size_sufficient,distractor,3,3,clock_big_yellow,overinformativeness,size_sufficient,distractor,4,2
5003-b,1620228657111,15,clickedObj,,door,filler,none,target,1,2,carrot,filler,none,distractor,2,3,cow,filler,none,distractor,3,1,pitcher,filler,none,distractor,4,4
5003-b,1620228666717,16,clickedObj,,frog_spotted_red,adjective_ordering,none,target,4,2,frog_spotted_green,adjective_ordering,none,distractor,2,3,frog_striped_red,adjective_ordering,none,distractor,1,4,frog_striped_green,adjective_ordering,none,distractor,3,1
5003-b,1620228670972,17,clickedObj,,carrot,filler,none,target,3,1,pitcher,filler,none,distractor,1,2,cow,filler,none,distractor,2,3,door,filler,none,distractor,4,4
5003-b,1620228676718,18,clickedObj,,lighter_small_white,overinformativeness,color_sufficient,target,1,3,lighter_big_black,overinformativeness,color_sufficient,distractor,2,1,lighter_small_black,overinformativeness,color_sufficient,distractor,4,4,lighter_small_black,overinformativeness,color_sufficient,distractor,3,2
5003-b,1620228682257,19,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,1,3,brush_small_blue,overinformativeness,size_sufficient,distractor,3,1,brush_small_red,overinformativeness,size_sufficient,distractor,2,2,brush_small_blue,overinformativeness,size_sufficient,distractor,4,4
5003-b,1620228687845,20,clickedObj,,apple_small_red,overinformativeness,size_sufficient,target,2,3,apple_big_red,overinformativeness,size_sufficient,distractor,4,4,apple_big_green,overinformativeness,size_sufficient,distractor,1,1,apple_big_red,overinformativeness,size_sufficient,distractor,3,2
