gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7742-e,1620228558142,1,clickedObj,,tomato,filler,none,target,2,3,fish,filler,none,distractor,4,1,horse,filler,none,distractor,3,4,pig,filler,none,distractor,1,2
7742-e,1620228668593,2,clickedObj,,guitar,filler,none,distractor,4,2,elephant,filler,none,target,1,4,banana,filler,none,distractor,3,3,bowl,filler,none,distractor,2,1
7742-e,1620228749285,3,clickedObj,,strawberry,filler,none,distractor,1,1,chick,filler,none,distractor,2,3,butterfly,filler,none,target,3,4,dog,filler,none,distractor,4,2
7742-e,1620228768474,4,clickedObj,,fish,filler,none,distractor,3,3,pig,filler,none,distractor,4,2,tomato,filler,none,distractor,1,4,horse,filler,none,target,2,1
7742-e,1620228779573,5,clickedObj,,dog,filler,none,distractor,3,3,chick,filler,none,distractor,2,4,butterfly,filler,none,distractor,4,1,strawberry,filler,none,target,1,2
7742-e,1620228806607,6,clickedObj,,umbrella_big_green,overinformativeness,color_sufficient,target,3,1,umbrella_big_blue,overinformativeness,color_sufficient,distractor,2,3,umbrella_small_blue,overinformativeness,color_sufficient,distractor,1,4,umbrella_big_blue,overinformativeness,color_sufficient,distractor,4,2
7742-e,1620228822745,7,clickedObj,,toothbrush_big_green,overinformativeness,color_sufficient,distractor,1,2,toothbrush_small_purple,overinformativeness,color_sufficient,target,2,4,toothbrush_small_green,overinformativeness,color_sufficient,distractor,4,1,toothbrush_small_green,overinformativeness,color_sufficient,distractor,3,3
7742-e,1620228836015,8,clickedObj,,button_small_green,overinformativeness,size_sufficient,distractor,1,1,button_big_blue,overinformativeness,size_sufficient,target,4,4,button_small_blue,overinformativeness,size_sufficient,distractor,2,3,button_small_blue,overinformativeness,size_sufficient,distractor,3,2
7742-e,1620228848091,9,clickedObj,,shoe_big_pink,overinformativeness,color_sufficient,target,4,2,shoe_big_yellow,overinformativeness,color_sufficient,distractor,2,4,show_small_yellow,overinformativeness,color_sufficient,distractor,3,1,shoe_big_yellow,overinformativeness,color_sufficient,distractor,1,3
7742-e,1620228862176,10,clickedObj,,hair_straight_brown,adjective_ordering,none,distractor,1,1,hair_curly_blonde,adjective_ordering,none,distractor,3,3,hair_straight_blond,adjective_ordering,none,distractor,4,2,hair_curly_brown,adjective_ordering,none,target,2,4
