gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
4372-a,1620228710664,1,clickedObj,,tomato,filler,none,target,2,2,fish,filler,none,distractor,4,4,horse,filler,none,distractor,1,1,pig,filler,none,distractor,3,3
4372-a,1620228717799,2,clickedObj,,elephant,filler,none,target,2,3,bowl,filler,none,distractor,3,2,guitar,filler,none,distractor,1,4,banana,filler,none,distractor,4,1
4372-a,1620228722835,3,clickedObj,,butterfly,filler,none,target,1,3,strawberry,filler,none,distractor,3,4,dog,filler,none,distractor,4,1,chick,filler,none,distractor,2,2
4372-a,1620228726792,4,clickedObj,,horse,filler,none,target,2,4,pig,filler,none,distractor,4,2,tomato,filler,none,distractor,1,3,fish,filler,none,distractor,3,1
4372-a,1620228732486,5,clickedObj,,strawberry,filler,none,target,2,1,chick,filler,none,distractor,3,2,butterfly,filler,none,distractor,4,4,dog,filler,none,distractor,1,3
4372-a,1620228747914,6,clickedObj,,woman2_happy_fat,adjective_ordering,none,target,3,2,woman2_sad_skinny,adjective_ordering,none,distractor,4,4,woman2_happy_skinny,adjective_ordering,none,distractor,2,3,woman2_sad_fat,adjective_ordering,none,distractor,1,1
4372-a,1620228754338,7,clickedObj,,lighter_small_black,overinformativeness,color_sufficient,target,2,4,lighter_big_white,overinformativeness,color_sufficient,distractor,4,2,lighter_small_white,overinformativeness,color_sufficient,distractor,1,3,lighter_small_white,overinformativeness,color_sufficient,distractor,3,1
4372-a,1620228758843,8,clickedObj,,door,filler,none,target,3,4,carrot,filler,none,distractor,4,2,pitcher,filler,none,distractor,1,1,cow,filler,none,distractor,2,3
4372-a,1620228766058,9,clickedObj,,car_big_green,overinformativeness,size_sufficient,target,4,4,car_small_green,overinformativeness,size_sufficient,distractor,3,2,car_small_blue,overinformativeness,size_sufficient,distractor,1,1,car_small_green,overinformativeness,size_sufficient,distractor,2,3
4372-a,1620228772935,10,clickedObj,,chair_small_blue,overinformativeness,size_sufficient,target,2,1,chair_big_blue,overinformativeness,size_sufficient,distractor,3,3,chair_big_yellow,overinformativeness,size_sufficient,distractor,1,4,chair_big_blue,overinformativeness,size_sufficient,distractor,4,2
4372-a,1620228780136,11,clickedObj,,hair_curly_brown,adjective_ordering,none,target,2,2,hair_curly_blonde,adjective_ordering,none,distractor,3,4,hair_straight_brown,adjective_ordering,none,distractor,4,3,hair_straight_blond,adjective_ordering,none,distractor,1,1
4372-a,1620228784357,12,clickedObj,,cow,filler,none,target,4,3,door,filler,none,distractor,3,4,carrot,filler,none,distractor,1,2,pitcher,filler,none,distractor,2,1
4372-a,1620228789367,13,clickedObj,,socks_big_green,overinformativeness,color_sufficient,target,2,2,socks_small_blue,overinformativeness,color_sufficient,distractor,4,1,socks_big_blue,overinformativeness,color_sufficient,distractor,1,3,socks_big_blue,overinformativeness,color_sufficient,distractor,3,4
4372-a,1620228797776,14,clickedObj,,earring_big_triangular,adjective_ordering,none,target,3,1,earring_small_triangular,adjective_ordering,none,distractor,1,2,earring_big_round,adjective_ordering,none,distractor,2,4,earring_small_round,adjective_ordering,none,distractor,4,3
4372-a,1620228806376,15,clickedObj,,man2_bearded_hatted,adjective_ordering,none,target,2,4,man2_bearded_glassed,adjective_ordering,none,distractor,1,2,man2_mustached_hatted,adjective_ordering,none,distractor,3,3,man2_mustached_glassed,adjective_ordering,none,distractor,4,1
4372-a,1620228818784,16,clickedObj,,picture_colored_square,adjective_ordering,none,target,1,2,picture_colored_rectangular,adjective_ordering,none,distractor,3,3,picture_bw_rectangular,adjective_ordering,none,distractor,2,1,picture_bw_square,adjective_ordering,none,distractor,4,4
4372-a,1620228825220,17,clickedObj,,toothbrush_small_purple,overinformativeness,color_sufficient,target,1,4,toothbrush_small_green,overinformativeness,color_sufficient,distractor,3,3,toothbrush_small_green,overinformativeness,color_sufficient,distractor,2,2,toothbrush_big_green,overinformativeness,color_sufficient,distractor,4,1
4372-a,1620228830742,18,clickedObj,,lock_big_silver,overinformativeness,color_sufficient,target,1,3,lock_big_gold,overinformativeness,color_sufficient,distractor,2,1,lock_small_gold,overinformativeness,color_sufficient,distractor,4,2,lock_big_gold,overinformativeness,color_sufficient,distractor,3,4
4372-a,1620228840879,19,clickedObj,,table_metal_high,adjective_ordering,none,target,2,2,table_wood_low,adjective_ordering,none,distractor,1,4,table_wood_high,adjective_ordering,none,distractor,4,1,table_metal_low,adjective_ordering,none,distractor,3,3
4372-a,1620228848540,20,clickedObj,,knife_small_red,overinformativeness,size_sufficient,target,3,4,knife_big_red,overinformativeness,size_sufficient,distractor,2,3,knife_big_red,overinformativeness,size_sufficient,distractor,4,1,knife_big_blue,overinformativeness,size_sufficient,distractor,1,2
4372-a,1620228854960,21,clickedObj,,cat_big_white,overinformativeness,size_sufficient,target,3,1,cat_small_white,overinformativeness,size_sufficient,distractor,4,3,cat_small_black,overinformativeness,size_sufficient,distractor,2,2,cat_small_white,overinformativeness,size_sufficient,distractor,1,4
4372-a,1620228866237,22,clickedObj,,man_old_bearded,adjective_ordering,none,target,4,3,man_young_bearded,adjective_ordering,none,distractor,2,4,man_young_cleanshaven,adjective_ordering,none,distractor,1,2,man_old_cleanshaven,adjective_ordering,none,distractor,3,1
4372-a,1620228873013,23,clickedObj,,key_big_silver,overinformativeness,size_sufficient,target,2,4,key_small_silver,overinformativeness,size_sufficient,distractor,3,1,key_small_gold,overinformativeness,size_sufficient,distractor,4,2,key_small_silver,overinformativeness,size_sufficient,distractor,1,3
