gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
8450-3,1620228865112,1,clickedObj,,tomato,filler,none,target,3,2,pig,filler,none,distractor,2,3,horse,filler,none,distractor,4,1,fish,filler,none,distractor,1,4
8450-3,1620228886658,2,clickedObj,,elephant,filler,none,target,4,3,bowl,filler,none,distractor,2,4,banana,filler,none,distractor,1,2,guitar,filler,none,distractor,3,1
8450-3,1620228894936,3,clickedObj,,butterfly,filler,none,target,1,1,dog,filler,none,distractor,3,2,strawberry,filler,none,distractor,2,4,chick,filler,none,distractor,4,3
8450-3,1620228902356,4,clickedObj,,horse,filler,none,target,1,3,pig,filler,none,distractor,2,1,tomato,filler,none,distractor,4,4,fish,filler,none,distractor,3,2
8450-3,1620228911870,5,clickedObj,,strawberry,filler,none,target,2,4,chick,filler,none,distractor,4,2,butterfly,filler,none,distractor,1,1,dog,filler,none,distractor,3,3
8450-3,1620228924773,6,clickedObj,,key_small_gold,overinformativeness,size_sufficient,target,1,3,key_big_gold,overinformativeness,size_sufficient,distractor,2,4,key_big_silver,overinformativeness,size_sufficient,distractor,4,1,key_big_gold,overinformativeness,size_sufficient,distractor,3,2
8450-3,1620228941231,7,clickedObj,,balloon_big_yellow,overinformativeness,size_sufficient,target,2,2,baloon_small_pink,overinformativeness,size_sufficient,distractor,4,4,baloon_small_yellow,overinformativeness,size_sufficient,distractor,1,3,baloon_small_yellow,overinformativeness,size_sufficient,distractor,3,1
8450-3,1620228952636,8,clickedObj,,bag_small_blue,overinformativeness,size_sufficient,target,4,4,bag_big_blue,overinformativeness,size_sufficient,distractor,2,3,bag_big_red,overinformativeness,size_sufficient,distractor,1,2,bag_big_blue,overinformativeness,size_sufficient,distractor,3,1
8450-3,1620228983198,9,clickedObj,,tie_small_blue,overinformativeness,color_sufficient,target,1,3,tie_small_red,overinformativeness,color_sufficient,distractor,3,2,tie_big_red,overinformativeness,color_sufficient,distractor,2,4,tie_small_red,overinformativeness,color_sufficient,distractor,4,1
8450-3,1620228992390,10,clickedObj,,bowl,filler,none,target,1,3,elephant,filler,none,distractor,2,4,guitar,filler,none,distractor,3,1,banana,filler,none,distractor,4,2
8450-3,1620228999705,11,clickedObj,,dog,filler,none,target,1,1,butterfly,filler,none,distractor,2,4,strawberry,filler,none,distractor,4,3,chick,filler,none,distractor,3,2
8450-3,1620229052702,12,clickedObj,,man_old_bearded,adjective_ordering,none,target,4,4,man_young_bearded,adjective_ordering,none,distractor,1,2,man_old_cleanshaven,adjective_ordering,none,distractor,3,1,man_young_cleanshaven,adjective_ordering,none,distractor,2,3
8450-3,1620229063727,13,clickedObj,,pepper_big_red,overinformativeness,color_sufficient,target,3,2,pepper_small_green,overinformativeness,color_sufficient,distractor,4,3,pepper_big_green,overinformativeness,color_sufficient,distractor,2,1,pepper_big_green,overinformativeness,color_sufficient,distractor,1,4
8450-3,1620229081058,14,clickedObj,,frog_spotted_green,adjective_ordering,none,target,4,4,frog_striped_green,adjective_ordering,none,distractor,2,2,frog_striped_red,adjective_ordering,none,distractor,3,3,frog_spotted_red,adjective_ordering,none,distractor,1,1
8450-3,1620229090056,15,clickedObj,,lipstick_big_red,overinformativeness,color_sufficient,target,1,3,lipstick_big_pink,overinformativeness,color_sufficient,distractor,4,1,lipstick_small_pink,overinformativeness,color_sufficient,distractor,3,4,lipstick_big_pink,overinformativeness,color_sufficient,distractor,2,2
8450-3,1620229104640,16,clickedObj,,knife_big_blue,overinformativeness,size_sufficient,target,2,2,knife_small_blue,overinformativeness,size_sufficient,distractor,3,4,knife_small_red,overinformativeness,size_sufficient,distractor,4,3,knife_small_blue,overinformativeness,size_sufficient,distractor,1,1
8450-3,1620229126665,17,clickedObj,,table_wood_low,adjective_ordering,none,target,1,1,table_metal_high,adjective_ordering,none,distractor,4,4,table_wood_high,adjective_ordering,none,distractor,3,3,table_metal_low,adjective_ordering,none,distractor,2,2
8450-3,1620229134461,18,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,target,3,3,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,4,2,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,2,4,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,1,1
8450-3,1620229143125,19,clickedObj,,cat_small_white,overinformativeness,size_sufficient,target,2,4,cat_big_black,overinformativeness,size_sufficient,distractor,1,1,cat_big_white,overinformativeness,size_sufficient,distractor,4,3,cat_big_white,overinformativeness,size_sufficient,distractor,3,2
8450-3,1620229153376,20,clickedObj,,guitar,filler,none,target,4,4,banana,filler,none,distractor,3,3,bowl,filler,none,distractor,1,2,elephant,filler,none,distractor,2,1
8450-3,1620229168277,21,clickedObj,,woman_old_happy,adjective_ordering,none,target,1,1,woman_young_sad,adjective_ordering,none,distractor,4,2,woman_old_sad,adjective_ordering,none,distractor,3,3,woman_young_happy,adjective_ordering,none,distractor,2,4
8450-3,1620229186040,22,clickedObj,,bottle_plastic_big,adjective_ordering,none,target,3,4,bottle_plastic_small,adjective_ordering,none,distractor,4,3,bottle_glass_small,adjective_ordering,none,distractor,2,2,bottle_glass_big,adjective_ordering,none,distractor,1,1
8450-3,1620229197090,23,clickedObj,,pencil_long_blue,adjective_ordering,none,target,4,4,pencil_long_black,adjective_ordering,none,distractor,1,1,pencil_short_blue,adjective_ordering,none,distractor,3,3,pencil_short_black,adjective_ordering,none,distractor,2,2
8450-3,1620229205838,24,clickedObj,,pants_big_green,overinformativeness,color_sufficient,target,3,3,pants_small_pink,overinformativeness,color_sufficient,distractor,1,4,pants_big_pink,overinformativeness,color_sufficient,distractor,4,1,pants_big_pink,overinformativeness,color_sufficient,distractor,2,2
