gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7175-2,1620229010506,1,clickedObj,,tomato,filler,none,target,3,2,fish,filler,none,distractor,2,3,horse,filler,none,distractor,1,1,pig,filler,none,distractor,4,4
7175-2,1620229020433,2,clickedObj,,elephant,filler,none,target,4,1,bowl,filler,none,distractor,2,4,banana,filler,none,distractor,1,2,guitar,filler,none,distractor,3,3
7175-2,1620229030422,3,clickedObj,,butterfly,filler,none,target,4,3,dog,filler,none,distractor,1,2,chick,filler,none,distractor,2,1,strawberry,filler,none,distractor,3,4
7175-2,1620229035985,4,clickedObj,,horse,filler,none,target,1,4,tomato,filler,none,distractor,2,2,fish,filler,none,distractor,4,3,pig,filler,none,distractor,3,1
7175-2,1620229041097,5,clickedObj,,strawberry,filler,none,target,2,4,chick,filler,none,distractor,1,1,dog,filler,none,distractor,3,2,butterfly,filler,none,distractor,4,3
7175-2,1620229048915,6,clickedObj,,knife_small_blue,overinformativeness,size_sufficient,target,4,3,knife_big_blue,overinformativeness,size_sufficient,distractor,2,2,knife_big_red,overinformativeness,size_sufficient,distractor,3,1,knife_big_blue,overinformativeness,size_sufficient,distractor,1,4
7175-2,1620229056234,7,clickedObj,,apple_big_green,overinformativeness,size_sufficient,target,2,1,apple_small_green,overinformativeness,size_sufficient,distractor,1,4,apple_small_green,overinformativeness,size_sufficient,distractor,3,3,apple_small_red,overinformativeness,size_sufficient,distractor,4,2
7175-2,1620229069623,8,clickedObj,,frog_striped_green,adjective_ordering,none,target,3,3,frog_striped_red,adjective_ordering,none,distractor,4,4,frog_spotted_red,adjective_ordering,none,distractor,2,1,frog_spotted_green,adjective_ordering,none,distractor,1,2
7175-2,1620229075477,9,clickedObj,,guitar,filler,none,target,4,2,elephant,filler,none,distractor,1,4,bowl,filler,none,distractor,3,3,banana,filler,none,distractor,2,1
7175-2,1620229118070,10,clickedObj,,spoon_metal_clean,adjective_ordering,none,distractor,2,4,spoon_metal_dirty,adjective_ordering,none,target,4,1,spoon_wooden_dirty,adjective_ordering,none,distractor,3,3,spoon_wooden_clean,adjective_ordering,none,distractor,1,2
7175-2,1620229126046,11,clickedObj,,socks_big_blue,overinformativeness,color_sufficient,target,1,1,socks_big_green,overinformativeness,color_sufficient,distractor,2,4,socks_small_green,overinformativeness,color_sufficient,distractor,4,3,socks_big_green,overinformativeness,color_sufficient,distractor,3,2
7175-2,1620229135717,12,clickedObj,,ball_small_yellow,overinformativeness,size_sufficient,target,1,2,ball_big_yellow,overinformativeness,size_sufficient,distractor,4,4,ball_big_yellow,overinformativeness,size_sufficient,distractor,2,1,ball_big_purple,overinformativeness,size_sufficient,distractor,3,3
7175-2,1620229140669,13,clickedObj,,umbrella_small_green,overinformativeness,color_sufficient,distractor,2,2,umbrella_big_green,overinformativeness,color_sufficient,distractor,1,3,umbrella_big_blue,overinformativeness,color_sufficient,target,3,1,umbrella_big_green,overinformativeness,color_sufficient,distractor,4,4
7175-2,1620229147366,14,clickedObj,,key_small_silver,overinformativeness,size_sufficient,target,1,2,key_big_silver,overinformativeness,size_sufficient,distractor,3,1,key_big_gold,overinformativeness,size_sufficient,distractor,2,3,key_big_silver,overinformativeness,size_sufficient,distractor,4,4
7175-2,1620229152514,15,clickedObj,,dog,filler,none,target,1,1,strawberry,filler,none,distractor,4,3,chick,filler,none,distractor,2,2,butterfly,filler,none,distractor,3,4
7175-2,1620229159181,16,clickedObj,,glove_big_green,overinformativeness,size_sufficient,target,1,3,glove_small_green,overinformativeness,size_sufficient,distractor,4,1,glove_small_green,overinformativeness,size_sufficient,distractor,2,2,glove_small_orange,overinformativeness,size_sufficient,distractor,3,4
7175-2,1620229165875,17,clickedObj,,pants_big_pink,overinformativeness,color_sufficient,target,3,1,pants_big_green,overinformativeness,color_sufficient,distractor,2,3,pants_big_green,overinformativeness,color_sufficient,distractor,1,4,pants_small_green,overinformativeness,color_sufficient,distractor,4,2
7175-2,1620229171704,18,clickedObj,,shoe_big_pink,overinformativeness,color_sufficient,target,4,1,show_small_yellow,overinformativeness,color_sufficient,distractor,1,4,shoe_big_yellow,overinformativeness,color_sufficient,distractor,3,2,shoe_big_yellow,overinformativeness,color_sufficient,distractor,2,3
7175-2,1620229185789,19,clickedObj,,woman2_sad_fat,adjective_ordering,none,target,1,2,woman2_happy_skinny,adjective_ordering,none,distractor,3,3,woman2_sad_skinny,adjective_ordering,none,distractor,4,4,woman2_happy_fat,adjective_ordering,none,distractor,2,1
7175-2,1620229190438,20,clickedObj,,banana,filler,none,target,4,4,guitar,filler,none,distractor,2,3,bowl,filler,none,distractor,3,2,elephant,filler,none,distractor,1,1
