gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7353-8,1620229801485,1,clickedObj,,tomato,filler,none,target,1,4,horse,filler,none,distractor,2,2,pig,filler,none,distractor,4,1,fish,filler,none,distractor,3,3
7353-8,1620229811165,2,clickedObj,,elephant,filler,none,target,4,4,banana,filler,none,distractor,1,3,guitar,filler,none,distractor,2,2,bowl,filler,none,distractor,3,1
7353-8,1620229820906,3,clickedObj,,strawberry,filler,none,distractor,4,4,dog,filler,none,distractor,1,2,chick,filler,none,distractor,2,3,butterfly,filler,none,target,3,1
7353-8,1620229827703,4,clickedObj,,horse,filler,none,target,2,3,pig,filler,none,distractor,1,1,tomato,filler,none,distractor,3,2,fish,filler,none,distractor,4,4
7353-8,1620229833655,5,clickedObj,,strawberry,filler,none,target,2,1,butterfly,filler,none,distractor,1,2,chick,filler,none,distractor,3,4,dog,filler,none,distractor,4,3
7353-8,1620229843266,6,clickedObj,,pencil_long_blue,adjective_ordering,none,target,2,4,pencil_long_black,adjective_ordering,none,distractor,4,1,pencil_short_blue,adjective_ordering,none,distractor,3,3,pencil_short_black,adjective_ordering,none,distractor,1,2
7353-8,1620229858555,7,clickedObj,,woman2_sad_skinny,adjective_ordering,none,target,2,1,woman2_happy_skinny,adjective_ordering,none,distractor,3,3,woman2_happy_fat,adjective_ordering,none,distractor,4,4,woman2_sad_fat,adjective_ordering,none,distractor,1,2
7353-8,1620229868456,8,clickedObj,,spoon_wooden_dirty,adjective_ordering,none,target,1,2,spoon_metal_clean,adjective_ordering,none,distractor,3,4,spoon_wooden_clean,adjective_ordering,none,distractor,2,3,spoon_metal_dirty,adjective_ordering,none,distractor,4,1
7353-8,1620229873875,9,clickedObj,,pepper_small_green,overinformativeness,color_sufficient,target,1,2,pepper_small_red,overinformativeness,color_sufficient,distractor,2,4,pepper_small_red,overinformativeness,color_sufficient,distractor,4,1,pepper_big_red,overinformativeness,color_sufficient,distractor,3,3
7353-8,1620229881644,10,clickedObj,,bowl,filler,none,target,3,1,banana,filler,none,distractor,2,3,guitar,filler,none,distractor,1,2,elephant,filler,none,distractor,4,4
7353-8,1620229887875,11,clickedObj,,brush_small_red,overinformativeness,size_sufficient,target,2,4,brush_big_red,overinformativeness,size_sufficient,distractor,3,1,brush_big_blue,overinformativeness,size_sufficient,distractor,1,2,brush_big_red,overinformativeness,size_sufficient,distractor,4,3
7353-8,1620229892528,12,clickedObj,,pig,filler,none,target,3,2,horse,filler,none,distractor,2,1,fish,filler,none,distractor,4,4,tomato,filler,none,distractor,1,3
7353-8,1620229897276,13,clickedObj,,lock_small_silver,overinformativeness,color_sufficient,target,4,4,lock_small_gold,overinformativeness,color_sufficient,distractor,3,1,lock_big_gold,overinformativeness,color_sufficient,distractor,1,2,lock_small_gold,overinformativeness,color_sufficient,distractor,2,3
7353-8,1620229903605,14,clickedObj,,cat_small_white,overinformativeness,size_sufficient,target,4,3,cat_big_black,overinformativeness,size_sufficient,distractor,1,1,cat_big_white,overinformativeness,size_sufficient,distractor,2,4,cat_big_white,overinformativeness,size_sufficient,distractor,3,2
7353-8,1620229910235,15,clickedObj,,carrot,filler,none,target,1,2,cow,filler,none,distractor,3,4,door,filler,none,distractor,2,1,pitcher,filler,none,distractor,4,3
7353-8,1620229917105,16,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,target,4,4,flower_small_pink,overinformativeness,size_sufficient,distractor,2,1,flower_small_yellow,overinformativeness,size_sufficient,distractor,3,3,flower_small_yellow,overinformativeness,size_sufficient,distractor,1,2
7353-8,1620229926045,17,clickedObj,,door,filler,none,target,1,2,pitcher,filler,none,distractor,3,3,cow,filler,none,distractor,4,1,carrot,filler,none,distractor,2,4
7353-8,1620229935645,18,clickedObj,,earring_small_round,adjective_ordering,none,target,4,4,earring_small_triangular,adjective_ordering,none,distractor,2,1,earring_big_round,adjective_ordering,none,distractor,1,3,earring_big_triangular,adjective_ordering,none,distractor,3,2
7353-8,1620229941845,19,clickedObj,,button_big_blue,overinformativeness,size_sufficient,target,1,4,button_small_blue,overinformativeness,size_sufficient,distractor,4,1,button_small_green,overinformativeness,size_sufficient,distractor,3,3,button_small_blue,overinformativeness,size_sufficient,distractor,2,2
7353-8,1620229950305,20,clickedObj,,picture_colored_square,adjective_ordering,none,target,1,2,picture_bw_rectangular,adjective_ordering,none,distractor,2,4,picture_bw_square,adjective_ordering,none,distractor,4,1,picture_colored_rectangular,adjective_ordering,none,distractor,3,3
7353-8,1620229955941,21,clickedObj,,glove_small_orange,overinformativeness,size_sufficient,target,2,3,glove_big_orange,overinformativeness,size_sufficient,distractor,3,2,glove_big_orange,overinformativeness,size_sufficient,distractor,4,1,glove_big_green,overinformativeness,size_sufficient,distractor,1,4
7353-8,1620229960665,22,clickedObj,,cow,filler,none,target,4,3,carrot,filler,none,distractor,3,4,door,filler,none,distractor,2,2,pitcher,filler,none,distractor,1,1
7353-8,1620229965046,23,clickedObj,,lighter_big_black,overinformativeness,color_sufficient,target,4,4,lighter_small_white,overinformativeness,color_sufficient,distractor,2,3,lighter_big_white,overinformativeness,color_sufficient,distractor,1,2,lighter_big_white,overinformativeness,color_sufficient,distractor,3,1
7353-8,1620229971185,24,clickedObj,,chair_big_blue,overinformativeness,size_sufficient,target,2,3,chair_small_blue,overinformativeness,size_sufficient,distractor,4,4,chair_small_blue,overinformativeness,size_sufficient,distractor,1,2,chair_small_yellow,overinformativeness,size_sufficient,distractor,3,1
7353-8,1620229977636,25,clickedObj,,guitar,filler,none,target,1,4,elephant,filler,none,distractor,2,1,banana,filler,none,distractor,4,2,bowl,filler,none,distractor,3,3
7353-8,1620229984205,26,clickedObj,,fish,filler,none,target,1,1,pig,filler,none,distractor,3,3,horse,filler,none,distractor,4,4,tomato,filler,none,distractor,2,2
7353-8,1620229989301,27,clickedObj,,pants_big_green,overinformativeness,color_sufficient,target,3,3,pants_big_pink,overinformativeness,color_sufficient,distractor,4,1,pants_big_pink,overinformativeness,color_sufficient,distractor,1,2,pants_small_pink,overinformativeness,color_sufficient,distractor,2,4
7353-8,1620229994165,28,clickedObj,,scissors_big_blue,overinformativeness,color_sufficient,target,4,2,scissors_big_green,overinformativeness,color_sufficient,distractor,2,4,scissors_small_green,overinformativeness,color_sufficient,distractor,3,3,scissors_big_green,overinformativeness,color_sufficient,distractor,1,1
