gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
0363-a,1620229839490,1,clickedObj,,tomato,filler,none,target,3,2,horse,filler,none,distractor,4,3,fish,filler,none,distractor,2,1,pig,filler,none,distractor,1,4
0363-a,1620229852756,2,clickedObj,,elephant,filler,none,target,2,1,banana,filler,none,distractor,1,4,guitar,filler,none,distractor,4,2,bowl,filler,none,distractor,3,3
0363-a,1620229867124,3,clickedObj,,butterfly,filler,none,target,4,3,strawberry,filler,none,distractor,1,4,dog,filler,none,distractor,2,1,chick,filler,none,distractor,3,2
0363-a,1620229877420,4,clickedObj,,horse,filler,none,target,2,1,pig,filler,none,distractor,4,3,fish,filler,none,distractor,3,2,tomato,filler,none,distractor,1,4
0363-a,1620229888427,5,clickedObj,,strawberry,filler,none,target,4,2,dog,filler,none,distractor,3,3,chick,filler,none,distractor,1,4,butterfly,filler,none,distractor,2,1
0363-a,1620229904946,6,clickedObj,,scissors_small_blue,overinformativeness,color_sufficient,target,2,3,scissors_big_green,overinformativeness,color_sufficient,distractor,4,2,scissors_small_green,overinformativeness,color_sufficient,distractor,3,4,scissors_small_green,overinformativeness,color_sufficient,distractor,1,1
0363-a,1620229913600,7,clickedObj,,pepper_big_green,overinformativeness,color_sufficient,target,2,1,pepper_big_red,overinformativeness,color_sufficient,distractor,1,3,pepper_small_red,overinformativeness,color_sufficient,distractor,3,4,pepper_big_red,overinformativeness,color_sufficient,distractor,4,2
0363-a,1620229924873,8,clickedObj,,glasses_small_red,overinformativeness,size_sufficient,target,2,2,glasses_big_red,overinformativeness,size_sufficient,distractor,4,1,glasses_big_blue,overinformativeness,size_sufficient,distractor,3,3,glasses_big_red,overinformativeness,size_sufficient,distractor,1,4
0363-a,1620229932729,9,clickedObj,,tie_big_blue,overinformativeness,color_sufficient,target,3,4,tie_big_red,overinformativeness,color_sufficient,distractor,2,1,tie_big_red,overinformativeness,color_sufficient,distractor,1,2,tie_small_red,overinformativeness,color_sufficient,distractor,4,3
0363-a,1620229943713,10,clickedObj,,shoe_big_pink,overinformativeness,color_sufficient,target,2,3,shoe_big_yellow,overinformativeness,color_sufficient,distractor,1,2,shoe_big_yellow,overinformativeness,color_sufficient,distractor,4,4,show_small_yellow,overinformativeness,color_sufficient,distractor,3,1
0363-a,1620229960677,11,clickedObj,,spoon_wooden_clean,adjective_ordering,none,target,4,3,spoon_wooden_dirty,adjective_ordering,none,distractor,2,2,spoon_metal_clean,adjective_ordering,none,distractor,1,4,spoon_metal_dirty,adjective_ordering,none,distractor,3,1
0363-a,1620229970528,12,clickedObj,,chair_small_yellow,overinformativeness,size_sufficient,target,1,1,chair_big_blue,overinformativeness,size_sufficient,distractor,3,4,chair_big_yellow,overinformativeness,size_sufficient,distractor,2,3,chair_big_yellow,overinformativeness,size_sufficient,distractor,4,2
0363-a,1620229979492,13,clickedObj,,flower_big_yellow,overinformativeness,size_sufficient,target,4,2,flower_small_pink,overinformativeness,size_sufficient,distractor,2,1,flower_small_yellow,overinformativeness,size_sufficient,distractor,1,4,flower_small_yellow,overinformativeness,size_sufficient,distractor,3,3
0363-a,1620229989503,14,clickedObj,,pencil_long_black,adjective_ordering,none,target,1,1,pencil_short_blue,adjective_ordering,none,distractor,4,4,pencil_long_blue,adjective_ordering,none,distractor,3,2,pencil_short_black,adjective_ordering,none,distractor,2,3
0363-a,1620229996342,15,clickedObj,,pants_big_green,overinformativeness,color_sufficient,target,4,2,pants_big_pink,overinformativeness,color_sufficient,distractor,2,3,pants_big_pink,overinformativeness,color_sufficient,distractor,1,1,pants_small_pink,overinformativeness,color_sufficient,distractor,3,4
0363-a,1620230004030,16,clickedObj,,carrot,filler,none,target,1,2,cow,filler,none,distractor,3,1,door,filler,none,distractor,2,4,pitcher,filler,none,distractor,4,3
0363-a,1620230011366,17,clickedObj,,bag_big_blue,overinformativeness,size_sufficient,target,1,4,bag_small_blue,overinformativeness,size_sufficient,distractor,3,1,bag_small_blue,overinformativeness,size_sufficient,distractor,2,3,bag_small_red,overinformativeness,size_sufficient,distractor,4,2
0363-a,1620230026150,18,clickedObj,,table_metal_low,adjective_ordering,none,target,1,2,table_metal_high,adjective_ordering,none,distractor,3,4,table_wood_high,adjective_ordering,none,distractor,4,3,table_wood_low,adjective_ordering,none,distractor,2,1
0363-a,1620230033846,19,clickedObj,,lock_small_gold,overinformativeness,color_sufficient,target,1,2,lock_small_silver,overinformativeness,color_sufficient,distractor,3,4,lock_small_silver,overinformativeness,color_sufficient,distractor,2,3,lock_big_silver,overinformativeness,color_sufficient,distractor,4,1
0363-a,1620230041623,20,clickedObj,,clock_small_purple,overinformativeness,size_sufficient,target,1,2,clock_big_yellow,overinformativeness,size_sufficient,distractor,3,4,clock_big_purple,overinformativeness,size_sufficient,distractor,4,1,clock_big_purple,overinformativeness,size_sufficient,distractor,2,3
0363-a,1620230049754,21,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,3,2,brush_small_blue,overinformativeness,size_sufficient,distractor,2,4,brush_small_blue,overinformativeness,size_sufficient,distractor,4,3,brush_small_red,overinformativeness,size_sufficient,distractor,1,1
0363-a,1620230057602,22,clickedObj,,apple_small_green,overinformativeness,size_sufficient,target,4,2,apple_big_green,overinformativeness,size_sufficient,distractor,2,4,apple_big_red,overinformativeness,size_sufficient,distractor,3,3,apple_big_green,overinformativeness,size_sufficient,distractor,1,1
0363-a,1620230065282,23,clickedObj,,lighter_small_white,overinformativeness,color_sufficient,target,4,2,lighter_small_black,overinformativeness,color_sufficient,distractor,1,3,lighter_small_black,overinformativeness,color_sufficient,distractor,2,1,lighter_big_black,overinformativeness,color_sufficient,distractor,3,4
