gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
6191-a,1620231764852,1,clickedObj,,tomato,filler,none,target,3,4,pig,filler,none,distractor,1,3,fish,filler,none,distractor,2,1,horse,filler,none,distractor,4,2
6191-a,1620231776760,2,clickedObj,,elephant,filler,none,target,2,2,guitar,filler,none,distractor,1,4,banana,filler,none,distractor,3,3,bowl,filler,none,distractor,4,1
6191-a,1620231805275,3,clickedObj,,butterfly,filler,none,target,3,2,chick,filler,none,distractor,4,3,strawberry,filler,none,distractor,2,4,dog,filler,none,distractor,1,1
6191-a,1620231831084,4,clickedObj,,horse,filler,none,target,3,3,pig,filler,none,distractor,2,1,fish,filler,none,distractor,4,4,tomato,filler,none,distractor,1,2
6191-a,1620231844382,5,clickedObj,,strawberry,filler,none,target,3,4,chick,filler,none,distractor,1,2,butterfly,filler,none,distractor,2,3,dog,filler,none,distractor,4,1
6191-a,1620231854652,6,clickedObj,,lighter_small_black,overinformativeness,color_sufficient,target,4,2,lighter_big_white,overinformativeness,color_sufficient,distractor,1,4,lighter_small_white,overinformativeness,color_sufficient,distractor,3,1,lighter_small_white,overinformativeness,color_sufficient,distractor,2,3
6191-a,1620231869534,7,clickedObj,,door,filler,none,target,1,3,pitcher,filler,none,distractor,3,2,cow,filler,none,distractor,2,4,carrot,filler,none,distractor,4,1
6191-a,1620231891578,8,clickedObj,,box_open_cardboard,adjective_ordering,none,target,4,2,box_open_wood,adjective_ordering,none,distractor,2,1,box_closed_wood,adjective_ordering,none,distractor,3,3,box_closed_cardboard,adjective_ordering,none,distractor,1,4
6191-a,1620231924483,9,clickedObj,,woman2_happy_skinny,adjective_ordering,none,distractor,2,1,woman2_sad_skinny,adjective_ordering,none,distractor,1,3,woman2_sad_fat,adjective_ordering,none,distractor,4,2,woman2_happy_fat,adjective_ordering,none,target,3,4
6191-a,1620231937986,10,clickedObj,,pot_big_green,overinformativeness,color_sufficient,target,4,3,pot_big_blue,overinformativeness,color_sufficient,distractor,2,2,pot_big_blue,overinformativeness,color_sufficient,distractor,1,1,pot_small_blue,overinformativeness,color_sufficient,distractor,3,4
